gpt_query,gpt_positive matches,gpt_llm only matches,gpt_gt only matches,gpt_correct task inferences,gpt_missed task inferences,gpt_correct goal classifications,gpt_missing goal classifications,gpt_positive matches count,gpt_llm only matches count,gpt_gt only matches count,gpt_correct task inferences count,gpt_missed task inferences count
which 10 regions have the most health centers,[],"['retrieve value', 'sort']",['find extreme'],[],[],FALSE,FALSE,0,2,1,0,0
look up regions that names start with the letter a,[],['retrieve value'],['filter'],[],[],TRUE,FALSE,0,1,1,0,0
make a list of the number of total hfs in descending order,['sort'],[],[],[],[],TRUE,FALSE,1,0,0,0,0
what is the average count of hospitals,[],['average'],['characterize distribution'],[],[],FALSE,FALSE,0,1,1,0,0
what is the number of clinics that are in mara,[],['retrieve value'],"['filter', 'filter']",[],[],FALSE,FALSE,0,1,2,0,0
what's the distribution of the entire hfs,[],['distribution'],['characterize distribution'],[],[],TRUE,FALSE,0,1,1,0,0
which region has the lowest population ratio of hf,['find extremum'],[],[],['find extremum'],['find extremum'],FALSE,FALSE,1,0,0,1,1
enter the regions from this table,[],['retrieve value'],[],['retrieve value'],['retrieve value'],TRUE,FALSE,0,1,0,1,1
look for the region that has the most people living in it,['find extremum'],[],[],['find extremum'],['find extremum'],FALSE,FALSE,1,0,0,1,1
remove any regions with a population ratio of hf lower than 15,['filter'],[],[],[],[],TRUE,FALSE,1,0,0,0,0
the population range needs to be discovered,[],['range'],['determine range'],[],[],FALSE,FALSE,0,1,1,0,0
do any regions have their population ratio over 20 hf,['filter'],[],[],['filter'],['filter'],FALSE,FALSE,1,0,0,1,1
"when the score difference is more than 5, please list the extreme matches to this",['filter'],['retrieve value'],['find extremum'],[],[],FALSE,FALSE,1,1,1,0,0
please indicate the friendly tournament matches in which the home team beat the away team,['filter'],[],[],[],[],FALSE,FALSE,1,0,0,0,0
tell me all the tournament matches that the home team won against the away team,['filter'],[],[],['filter'],['filter'],FALSE,FALSE,1,0,0,1,1
which group of nations won the most games,[],"['comparison', 'aggregate']",['compare'],[],[],FALSE,FALSE,0,2,1,0,0
"based on the number of matches, can you tell me what the distribution of cities is",[],['distribution'],['characterize distribution'],[],[],TRUE,FALSE,0,1,1,0,0
what group of nations of have the most games,[],['aggregate'],['find extremum'],[],[],FALSE,FALSE,0,1,1,0,0
what countries have won a similar number of games,[],['comparison'],['cluster'],[],[],TRUE,FALSE,0,1,1,0,0
do you know which videos have more than 100 tags,['filter'],[],[],[],[],TRUE,FALSE,1,0,0,0,0
"in the videos by ' eminemvevo ', what are the average number of comments made",[],['average calculation'],['summarize'],[],[],TRUE,FALSE,0,1,1,0,0
which videos are missing thumbnail links,[],['identify missing'],['filter'],[],[],FALSE,FALSE,0,1,1,0,0
show me the video with the highest number of tags,['find extremum'],[],[],[],[],FALSE,FALSE,1,0,0,0,0
indicate the number of likes that ' plush- bad unboxing fan mail ' receives,['retrieve value'],[],['filter'],[],[],TRUE,FALSE,1,0,1,0,0
what is the number if likes from the ' plush- bad unboxing fan mail ' video,['retrieve value'],[],['filter'],[],[],TRUE,FALSE,1,0,1,0,0
discover the most liked removed video,[],['find extremum'],"['sort', 'retrieve value']",[],[],TRUE,FALSE,0,1,2,0,0
are there are special characters included in the title,[],['retrieve value'],['filter'],[],[],FALSE,FALSE,0,1,1,0,0
do videos with longer titles get more attention,[],['correlation'],['correlate'],[],[],TRUE,FALSE,0,1,1,0,0
tell me about the ' plush- bad unboxing fan mail ' video,['retrieve value'],[],['filter'],[],[],TRUE,FALSE,1,0,1,0,0
can you show me how the likes are distributed,[],['distribution'],['characterize distribution'],[],[],FALSE,FALSE,0,1,1,0,0
what is the propensity of the number of vehicles in japan and korea from the year 2000 to 2010,[],['retrieve value'],[''],[],[],FALSE,FALSE,0,1,1,0,0
does life expectancy have any relation with the percentage of smokers,[],['correlation'],['dependency'],[],[],TRUE,FALSE,0,1,1,0,0
is the male to female ratio more imbalanced in the last decade in russia,[],['comparison'],[''],[],[],FALSE,FALSE,0,1,1,0,0
is the speed of economic development relative to the population of each country,[],['relationship'],[''],[],[],FALSE,FALSE,0,1,1,0,0
show me the gdp ranking of european countries,[],['ranking'],[''],[],[],FALSE,FALSE,0,1,1,0,0
"to cluster the states in the us, i wish to use middle income",[],['clustering'],['cluster'],[],[],TRUE,FALSE,0,1,1,0,0
do all the countries in africa have a lower average pci than all the countries in europe,[],['comparison'],[''],[],[],FALSE,FALSE,0,1,1,0,0
could you tell me the continental location of the poorest ( lowest income ) country,[],['find extremum'],['retrieve value'],[],[],TRUE,FALSE,0,1,1,0,0
"when looking at the average income in european countries, what is the variance",[],['variance'],['characterize distribution'],[],[],TRUE,FALSE,0,1,1,0,0
what are the minimum and maximum populations of the chinese provinces,[],['find extremum'],[],[],[],FALSE,FALSE,0,1,0,0,0
what is the average height of the floors of these buildings,[],['average calculation'],['characterize distribution'],[],[],TRUE,FALSE,0,1,1,0,0
compare the number of tall buildings in hong kong with taiwan,[],['comparison'],"['compare', 'filter']",[],[],FALSE,FALSE,0,1,2,0,0
compare the number of tall buildings in hong kong with taiwan,[],['comparison'],"['compare', 'filter']",[],[],FALSE,FALSE,0,1,2,0,0
what location has the highest number of tall buildings,[],['find extremum'],[],['find extremum'],['find extremum'],FALSE,FALSE,0,1,0,1,1
"provide the total sum of all the separated, divorced, and widowed people in lindi",[],['sum'],"['compute derived value', 'filter']",[],[],TRUE,FALSE,0,1,2,0,0
does simiyu have a similar structure of peope as that of katavi,[],['comparison'],"['similarity', 'filter']",[],[],TRUE,FALSE,0,1,2,0,0
can you tell me how mara attributes are distributed,['distribution'],[],['filter'],[],[],FALSE,FALSE,1,0,1,0,0
is the total attribute of one area equal to the sum of the other attributes in any area,[],['comparison'],['compare'],[],[],TRUE,FALSE,0,1,1,0,0
relationship between imdb rating and rotten tomatoes rating,[],['relationship'],['correlation'],[],[],TRUE,FALSE,0,1,1,0,0
what's the production budget for movies in different years,[],['summarize'],['characterize distribution'],[],[],TRUE,FALSE,0,1,1,0,0
movie gross and budget relationship based on genre,[],['relationship'],['dependency'],[],[],TRUE,FALSE,0,1,1,0,0
show me imdb rating versus rotten tomatoes rating,['correlation'],[],[],['correlation'],['correlation'],TRUE,FALSE,1,0,0,1,1
what creative type of movie had the highest production budget for each content rating,[],['find extremum'],['characterize distribution'],[],[],FALSE,FALSE,0,1,1,0,0
what is the relationship between production budget and worldwide gross for each major genre,[],['relationship'],['dependency'],[],[],FALSE,FALSE,0,1,1,0,0
what is the relationship between release year and average production budget,[],['relationship'],['dependency'],[],[],FALSE,FALSE,0,1,1,0,0
what major genre had the highest average worldwide gross,[],"['comparison', 'aggregate']",['find extremum'],[],[],FALSE,FALSE,0,2,1,0,0
what major genre had the lowest average worldwide gross,[],"['comparison', 'aggregate']",['find extremum'],[],[],FALSE,FALSE,0,2,1,0,0
how much did average worldwide gross vary by major genre,[],"['comparison', 'summarize']",['find extremum'],[],[],FALSE,FALSE,0,2,1,0,0
how many movies are there are of each creative type,[],['count'],['characterize distribution'],[],[],FALSE,FALSE,0,1,1,0,0
which creative type had the most movies,[],['count'],['characterize distribution'],[],[],FALSE,FALSE,0,1,1,0,0
which creative type had the fewest movies,[],['count'],['characterize distribution'],[],[],FALSE,FALSE,0,1,1,0,0
what is the total worldwide gross for each major genre across time,['summarize'],[],[],['summarize'],['summarize'],FALSE,FALSE,1,0,0,1,1
is there a relationship between production budget and worldwide gross for each content rating,[],['relationship'],['correlate'],[],[],TRUE,FALSE,0,1,1,0,0
what is the distribution of running times for each movie,[],['distribution'],['characterize distribution'],[],[],FALSE,FALSE,0,1,1,0,0
is there a relationship between imdb rating and rotten tomatoes rating,[],['relationship'],['correlation'],[],[],TRUE,FALSE,0,1,1,0,0
movie run time distribution,[],['distribution'],['characterize distribution'],[],[],FALSE,FALSE,0,1,1,0,0
how production budget changes over release years,['trend'],[],[],['trend'],['trend'],FALSE,FALSE,1,0,0,1,1
what was the average production budget of movies by year,[],['summarize'],['trend'],[],[],FALSE,FALSE,0,1,1,0,0
"what's the average production budget of the different rated movies, separated by creative type",[],"['average calculation', 'grouping']",['compare'],[],[],FALSE,FALSE,0,2,1,0,0
which genre movie makes most worldwide gross,['find extremum'],['comparison'],[],['find extremum'],['find extremum'],FALSE,FALSE,1,1,0,1,1
are imdb rating and rotten tomatoes rating related,[],['correlation'],['correlate'],[],[],FALSE,FALSE,0,1,1,0,0
what is the worldwide gross distribution per genre,[],['distribution'],['characterize distribution'],[],[],FALSE,FALSE,0,1,1,0,0
what's the breakdown of production budget by creative type per content rating,[],['breakdown'],['compare'],[],[],FALSE,FALSE,0,1,1,0,0
how does rotten tomatoes rating change as imdb rating,[],['correlation'],['correlate'],[],[],TRUE,FALSE,0,1,1,0,0
what is the total worldwide gross earned by each major genre and content rating,[],['summarization'],['compare'],[],[],FALSE,FALSE,0,1,1,0,0
"for each genre and rating, what is the total world-wide gross earnings",[],['aggregation'],['compare'],[],[],TRUE,FALSE,0,1,1,0,0
how much did each type of movie earn in across the whole world,[],['summarization'],['compare'],[],[],FALSE,FALSE,0,1,1,0,0
how much money did movies of each genre and rating make,[],['summarize'],['compare'],[],[],FALSE,FALSE,0,1,1,0,0
"what was the average budget for each content rating and creative type, as multiple column charts",[],['summarize'],['compare'],[],[],FALSE,FALSE,0,1,1,0,0
what is the average production budget in each year,[],['summarize'],['characterize distribution'],[],[],FALSE,FALSE,0,1,1,0,0
compare imdb rating to rotten tomatoes rating,[],['comparison'],['compare'],[],[],TRUE,FALSE,0,1,1,0,0
which creative types have the most movies,[],['count'],['characterize distribution'],[],[],FALSE,FALSE,0,1,1,0,0
"on average, how much was earned by movies of each genre",[],['average'],"['compare', 'characterize distribution']",[],[],FALSE,FALSE,0,1,2,0,0
how many movies are of each length,[],['distribution'],['characterize distribution'],[],[],TRUE,FALSE,0,1,1,0,0
help me see outliers in imdb and rotten tomatoes ratings,[],['identify outliers'],['find anomalies'],[],[],TRUE,FALSE,0,1,1,0,0
what was the average worldwide gross of movies by genre,[],['average'],['characterize distribution'],[],[],FALSE,FALSE,0,1,1,0,0
how much did major genres gross in total,[],['summarization'],['compare'],[],[],FALSE,FALSE,0,1,1,0,0
gross across genres regarding content rating,[],"['aggregation', 'comparison']",['compare'],[],[],FALSE,FALSE,0,2,1,0,0
what's the distribution of running times by movie,[],['distribution'],['characterize distribution'],[],[],TRUE,FALSE,0,1,1,0,0
how many movies are there in 20 minute bins of running time,[],['distribution'],['characterize distribution'],[],[],TRUE,FALSE,0,1,1,0,0
how many movies are there for each creative type,[],['count'],['characterize distribution'],[],[],FALSE,FALSE,0,1,1,0,0
show me the variation in the amount ordered by different entities in different orders,[],['variation'],[''],[],[],FALSE,FALSE,0,1,1,0,0
worldwide gross for each genre for each year 1995 to now,[],"['aggregation', 'grouping']","['filter', 'compare']",[],[],FALSE,FALSE,0,2,2,0,0
"cumulative gross for each content rating, by major genre",[],['aggregation'],['compare'],[],[],TRUE,FALSE,0,1,1,0,0
relation between worldwide gross and production budget for each major genre,[],['relationship'],['dependency'],[],[],TRUE,FALSE,0,1,1,0,0
which position has the highest average of playing time,['find extremum'],[],[],['find extremum'],['find extremum'],FALSE,FALSE,1,0,0,1,1
name movies released in 2017,[],['retrieve value'],['filter'],[],[],FALSE,FALSE,0,1,1,0,0
is the normal distribuition satisfied by the length of the movies,[],['distribution'],['characterize distribution'],[],[],TRUE,FALSE,0,1,1,0,0
sort the movies by length,['sort'],[],['filter'],[],[],TRUE,FALSE,1,0,1,0,0
how long is the run time of average r-rated movies,[],['average calculation'],"['characterize distribution', 'filter']",[],[],TRUE,FALSE,0,1,2,0,0
give me the numbers of movies that were released in 2017,[],['count'],"['compute derived value', 'filter']",[],[],TRUE,FALSE,0,1,2,0,0
is there an average run time for movies,[],['average calculation'],['characterize distribution'],[],[],FALSE,FALSE,0,1,1,0,0
is the running time of movies recently longer than it used to be,[],['comparison'],['trend'],[],[],FALSE,FALSE,0,1,1,0,0
do movie tags and duration have a connection,[],['correlation'],['dependency'],[],[],FALSE,FALSE,0,1,1,0,0
determine if the running time of movies has increased in recent years,['trend'],[],[],[],[],TRUE,FALSE,1,0,0,0,0
show me the dates that netflix released movies,[],['retrieve value'],"['characterize distribution', 'filter']",[],[],TRUE,FALSE,0,1,2,0,0
does any movies not have a description,[],['existence'],['summarize'],[],[],TRUE,FALSE,0,1,1,0,0
at what point was data added to the table for netflix,['retrieve value'],[],[],[],[],TRUE,FALSE,1,0,0,0,0
"what is the percentage of the white population in blount county, alabama",[],['retrieve value'],"['compute derived value', 'compare', 'filter']",[],[],FALSE,FALSE,0,1,3,0,0
"what percentage of the blount county, alabama population is white",[],['retrieve value'],"['compute derived value', 'compare', 'filter']",[],[],FALSE,FALSE,0,1,3,0,0
sort all the counties in connecticut by the percentages of the hispanic population,['sort'],[],[],[],[],TRUE,FALSE,1,0,0,0,0
tell me which county has the greatest number of female residents,['find extremum'],[],[],['find extremum'],['find extremum'],FALSE,FALSE,1,0,0,1,1
calculate the average black population for each state,[],['average calculation'],['compute derived value'],[],[],FALSE,FALSE,0,1,1,0,0
i want to see the distribution of the school rankings in geita in 2006,[],['distribution'],"['characterize distribution', 'filter']",[],[],FALSE,FALSE,0,1,2,0,0
do the pass rate and the ownership of schools have any correlation,['correlation'],[],[],[],[],TRUE,FALSE,1,0,0,0,0
create a list of schools showing the descending order by change_p,['sort'],[],[],['sort'],['sort'],TRUE,FALSE,1,0,0,1,1
can you provide a list of school names in geita,['retrieve value'],[],['filter'],['retrieve value'],['retrieve value'],TRUE,FALSE,1,0,1,1,1
determine if there are any schools in neighboring regions that have similar avg_m,[],['comparison'],['similarity'],[],[],FALSE,FALSE,0,1,1,0,0
can you tell me what peacland english medium school's change pre is in 2016,['retrieve value'],[],[],['retrieve value'],['retrieve value'],TRUE,FALSE,1,0,0,1,1
list the values of kwema modern pr school's change_p in all the years,['retrieve value'],[],[],['retrieve value'],['retrieve value'],TRUE,FALSE,1,0,0,1,1
what schools have similar avg_m in the neighboring region,[],"['comparison', 'filter']",['similarity'],[],[],TRUE,FALSE,0,2,1,0,0
which of these school have a pass rate of over 90,[],['filter'],['compare'],[],[],TRUE,FALSE,0,1,1,0,0
they want to know what tactic is most effective during football,[],['comparison'],['compare'],[],[],TRUE,FALSE,0,1,1,0,0
were you aware of the most recent news,[],['retrieve value'],[''],[],[],FALSE,FALSE,0,1,1,0,0
the clubs should be arranged by their shooting attempts,[],['sort'],['compare'],[],[],TRUE,FALSE,0,1,1,0,0
what was the total amount of goals scored in the game that liverpool played in,[],['summarize'],['compute derived value'],[],[],TRUE,FALSE,0,1,1,0,0
the games are sorted by experts by their date,['sort'],[],[],['sort'],['sort'],TRUE,FALSE,1,0,0,1,1
rank these clubs by their shooting attempts,[],['ranking'],['rank'],[],[],FALSE,FALSE,0,1,1,0,0
are the students who are younger more likely to use wechat,[],['correlation'],"['correlate', 'filter']",[],[],TRUE,FALSE,0,1,2,0,0
can lower study times among students cause greater failure rates in class,[],['correlation'],['correlate'],[],[],TRUE,FALSE,0,1,1,0,0
can you name an unusual reason for choosing this school,[],['retrieve value'],['characterize distribution'],[],[],FALSE,FALSE,0,1,1,0,0
could you show me the list sorted by study time ( longest to shortest ),['sort'],[],[],[],[],TRUE,FALSE,1,0,0,0,0
find the distribution by age,[],['distribution'],['characterize distribution'],[],[],FALSE,FALSE,0,1,1,0,0
can you tell me which students have fathers that are teachers,[],['retrieve value'],['filter'],[],[],TRUE,FALSE,0,1,1,0,0
retrieve the students with fathers who work as teachers,[],['retrieve'],['filter'],[],[],FALSE,FALSE,0,1,1,0,0
tell me the youngest students in the dataset,[],['retrieve value'],['find extremum'],[],[],TRUE,FALSE,0,1,1,0,0
tell me the types of jobs the student's mothers have,[],['retrieve value'],['characterize distribution'],[],[],TRUE,FALSE,0,1,1,0,0
i 'm wondering would the travel time decrease for students if they spent more time studying,[],['correlation'],['correlate'],[],[],FALSE,FALSE,0,1,1,0,0
would more time spent on studying reduce travel time for students,[],['correlation'],['correlate'],[],[],FALSE,FALSE,0,1,1,0,0
do countries with high populations wish to slow down population growth,[],['correlation'],['correlate'],[],[],FALSE,FALSE,0,1,1,0,0
can you tell me the state which may have the largest average population in the next year,[],"['projection', 'aggregation']",['compare'],[],[],TRUE,FALSE,0,2,1,0,0
can you see any abnormalities in the suicide rates,[],['identify outliers'],['find anomalies'],[],[],FALSE,FALSE,0,1,1,0,0
name the country with the lowest suicide rate,['find extremum'],[],[],['find extremum'],['find extremum'],TRUE,FALSE,1,0,0,1,1
do you know the average number of suicides in europe,[],['average'],['compute derived data'],[],[],TRUE,FALSE,0,1,1,0,0
are there any countries with anomalously low suicides rates,[],['find extremum'],['find anomalies'],[],[],FALSE,FALSE,0,1,1,0,0
is there similarities between gdp per capita and suicide rates,[],['correlation'],['similarity'],[],[],FALSE,FALSE,0,1,1,0,0
were there any countries with abnormally low suicide rates,[],['find extremum'],['find anomalies'],[],[],TRUE,FALSE,0,1,1,0,0
"with the suicide larger than 100, determine the ages in albania",[],"['filter', 'retrieve value']",['characterize distribution'],[],[],FALSE,FALSE,0,2,1,0,0
the country with the lowest suicide rate is,['find extremum'],[],[],['find extremum'],['find extremum'],TRUE,FALSE,1,0,0,1,1
what is the distribution rate of suicide,[],['distribution'],['characterize distribution'],[],[],TRUE,FALSE,0,1,1,0,0
what is the total number of all suicides in 1999,[],['sum'],"['characterize distribution', 'filter']",[],[],FALSE,FALSE,0,1,2,0,0
would there be any clustering of countries in terms of suicide rates,['clustering'],[],[],[],[],TRUE,FALSE,1,0,0,0,0
create a list showing the ages of people who committed suicide in albania,['retrieve value'],[],['filter'],[],[],FALSE,FALSE,1,0,1,0,0
"for the gdp of china, has it gone up or down over the last decade",['trend'],[],['filter'],['trend'],['trend'],TRUE,FALSE,1,0,1,1,1
"of all countries, how is the gdp distribution",[],['distribution'],['characterize distribution'],[],[],FALSE,FALSE,0,1,1,0,0
has there been an increase or decrease in the gdp of china over the last 10 years,['trend'],[],['filter'],['trend'],['trend'],FALSE,FALSE,1,0,1,1,1
how much is the average of profit of each state,[],['average'],['compare'],[],[],FALSE,FALSE,0,1,1,0,0
how do the company earn in each state,[],['summarize'],['compare'],[],[],FALSE,FALSE,0,1,1,0,0
what were the total sales for each date in each category,[],['summarize'],['compare'],[],[],FALSE,FALSE,0,1,1,0,0
how much was sold each day for each category,[],['summarize'],['compare'],[],[],TRUE,FALSE,0,1,1,0,0
what is the average profit for each state,[],['average'],['compare'],[],[],FALSE,FALSE,0,1,1,0,0
what is the relationship between profit and sales,[],['relationship'],['dependency'],[],[],TRUE,FALSE,0,1,1,0,0
what is the average profit of each ship mode divided by segment,[],['aggregation'],['compare'],[],[],FALSE,FALSE,0,1,1,0,0
what is the sales forecast for each date,[],['summarize'],['compare'],[],[],FALSE,FALSE,0,1,1,0,0
how many orders were placed for each order quantity,[],['aggregate'],['characterize distribution'],[],[],FALSE,FALSE,0,1,1,0,0
what is the relationship between sales and profit for each region,[],['relationship'],['dependency'],[],[],FALSE,FALSE,0,1,1,0,0
how many orders were placed for each sub-category,[],['count'],['characterize distribution'],[],[],FALSE,FALSE,0,1,1,0,0
"what is the total profit for each region, based on ship status",[],['summarize'],['compare'],[],[],FALSE,FALSE,0,1,1,0,0
what is the sales trend of the different product categories,['trend'],[],[],[],[],FALSE,FALSE,1,0,0,0,0
how many products have 3 or more quantity ordered,[],['count'],['compare'],[],[],FALSE,FALSE,0,1,1,0,0
how many products are ordered in single quantity,[],['count'],['compare'],[],[],FALSE,FALSE,0,1,1,0,0
density of sales across regions and their profitability,[],"['distribution', 'correlation']",['compare'],[],[],FALSE,FALSE,0,2,1,0,0
what are the profits across different states,[],['summarize'],['compare'],[],[],FALSE,FALSE,0,1,1,0,0
what product category has more orders placed,[],['comparison'],['compare'],[],[],FALSE,FALSE,0,1,1,0,0
sales forecast between jan 2016 and july 2017,[],['filter'],['retrieve value'],[],[],TRUE,FALSE,0,1,1,0,0
i want to know how many orders there are by the quantity of the order,[],['distribution'],['compute derived value'],[],[],TRUE,FALSE,0,1,1,0,0
what is our profit based on shipping mode by customer segment,[],['aggregation'],['compare'],[],[],FALSE,FALSE,0,1,1,0,0
what is the sales vs profit ratio of the four regions,[],"['ratio', 'comparison']",['compare'],[],[],FALSE,FALSE,0,2,1,0,0
what is the average profit of each state,[],['average'],['compare'],[],[],FALSE,FALSE,0,1,1,0,0
what is the sales vs profit ratio of all the zones,[],"['ratio', 'comparison']",['compare'],[],[],FALSE,FALSE,0,2,1,0,0
what is the average profit of different segments on the ship modes of transport,[],"['average calculation', 'grouping']",['compare'],[],[],FALSE,FALSE,0,2,1,0,0
how much is the profit for sales for each,[],['aggregation'],['compare'],[],[],TRUE,FALSE,0,1,1,0,0
what is the correlation between sales and profit by region,[],['correlation'],"['correlate', 'compare']",[],[],FALSE,FALSE,0,1,2,0,0
can you create a graph showing sales and profit by region,[],['comparison'],['compare'],[],[],TRUE,FALSE,0,1,1,0,0
"from all of the universities in london, list the one who has the most faculties",[],['find extremum'],['filter'],[],[],TRUE,FALSE,0,1,1,0,0
show me a university that has more than 30 faculties and more than 50 teachers,['filter'],[],[],[],[],FALSE,FALSE,1,0,0,0,0
universities with similar number of teachers,[],['grouping'],['similarity'],[],[],FALSE,FALSE,0,1,1,0,0
"from all of the universities in london, list the one who has the most faculties",[],['find extremum'],['filter'],[],[],TRUE,FALSE,0,1,1,0,0
the universities cover which locations,[],['retrieve value'],['characterize distribution'],[],[],FALSE,FALSE,0,1,1,0,0
what is the teacher distribution of new york universities,[],['distribution'],"['characterize distribution', 'filter']",[],[],FALSE,FALSE,0,1,2,0,0
would teachers in harvard be considered outliers if the university was in new york,[],['outlier detection'],"['find anomalies', 'filter']",[],[],FALSE,FALSE,0,1,2,0,0
what is the number of divisions in harvard university,[],['retrieve value'],['filter'],[],[],FALSE,FALSE,0,1,1,0,0
which movie is the highest-grossing,['find extremum'],[],[],['find extremum'],['find extremum'],FALSE,FALSE,1,0,0,1,1
do you feel that midfield players have a lower market value than front court players,[],['comparison'],"['comparision', 'filter']",[],[],TRUE,FALSE,0,1,2,0,0
can you tell me if there is a correlation between revenue and the release year,['correlation'],[],[],[],[],TRUE,FALSE,1,0,0,0,0
is there a typical film lengths group,[],['distribution'],[''],[],[],FALSE,FALSE,0,1,1,0,0
in the premier league how are the transferred players ages distributed,[],['distribution'],"['characterize distribution', 'filter']",[],[],FALSE,FALSE,0,1,2,0,0
tell me a reason why top backcourt players have a higher market value than the top frontcourt player,[],['comparison'],['filter'],[],[],TRUE,FALSE,0,1,1,0,0
which player had an abnormal transfer_fee,[],['identify outliers'],['find anomalies'],[],[],FALSE,FALSE,0,1,1,0,0
how old was david when he was transferred in 2010,['retrieve value'],[],['filter'],[],[],FALSE,FALSE,1,0,1,0,0
"what player had a market value of 50,000,000 and was transferred for 58,500,000 in the 2010鈥毭劽011",[],['retrieve value'],"['filter', 'filter']",[],[],FALSE,FALSE,0,1,2,0,0
"for the center forward position, what was the highest market value for the 2011-2012 season",['find extremum'],[],['filter'],[],[],FALSE,FALSE,1,0,1,0,0
tell me the numbers of the transferred players in different leagues in the 2010-2011 season,[],['count'],"['compare', 'filter']",[],[],TRUE,FALSE,0,1,2,0,0
"what player had a market value of 50,000,000 and was transferred for 58,500,000 in the 2010‚äì2011",[],['retrieve value'],"['filter', 'filter']",[],[],FALSE,FALSE,0,1,2,0,0
could you buy a player with his market value higher than a transfer fee,[],['comparison'],['filter'],[],[],FALSE,FALSE,0,1,1,0,0
what is the average transfer_fee for players who transferred to the premier league,[],['average calculation'],"['characterize distribution', 'filter']",[],[],TRUE,FALSE,0,1,2,0,0
list center-backs by what their transfer_fee was,[],['sort'],"['retrieve value', 'filter']",[],[],TRUE,FALSE,0,1,2,0,0
which player was the oldest that was transferred,['find extremum'],[],[],[],[],FALSE,FALSE,1,0,0,0,0
what is the distribution of the leagues who paid for transferred players in 2010,[],['distribution'],"['characterize distribution', 'filter']",[],[],FALSE,FALSE,0,1,2,0,0
are you aware of any clustering of the seasons in which players were transferred to the premier league,['clustering'],[],['filter'],[],[],FALSE,FALSE,1,0,1,0,0
"if you were to average it out, how upbeat would you say the songs are",[],['average'],['characterize distribution'],[],[],TRUE,FALSE,0,1,1,0,0
describe the popularity of the loudest song,['retrieve value'],[],[],['retrieve value'],['retrieve value'],TRUE,FALSE,1,0,0,1,1
can you help me find some popular songs,[],['retrieve value'],['sort'],[],[],TRUE,FALSE,0,1,1,0,0
"in terms of length, how long is ' beautiful people '",['retrieve value'],[],['filter'],[],[],FALSE,FALSE,1,0,1,0,0
tell me which genres were mentioned,[],['retrieve value'],['summarize'],[],[],TRUE,FALSE,0,1,1,0,0
what songs of the pop genrea has sam smith released,[],['retrieve value'],"['compare', 'filter']",[],[],FALSE,FALSE,0,1,2,0,0
are there singers who span multiple genres,[],['identify'],['retrieve value'],[],[],FALSE,FALSE,0,1,1,0,0
determine in what year the income of undergraduate students was higher,[],['find extremum'],"['compare', 'trend']",[],[],TRUE,FALSE,0,1,2,0,0
how are postgraduate student numbers distributed every year,[],['distribution'],['characterize distribution'],[],[],FALSE,FALSE,0,1,1,0,0
could you tell me if there is any correlation between the number of undergraduate and postgraduate students,['correlation'],[],[],[],[],TRUE,FALSE,1,0,0,0,0
state the average income of postgraduate students in each country,[],['average calculation'],['compare'],[],[],FALSE,FALSE,0,1,1,0,0
what is the number of postgraduate students for each year,[],['retrieve value'],['characterize distribution'],[],[],TRUE,FALSE,0,1,1,0,0
"in each year, what is the distribution of the number of postgraduates",[],['distribution'],['characterize distribution'],[],[],FALSE,FALSE,0,1,1,0,0
the chart teaches them the horsepower range,[],['range'],['determine range'],[],[],TRUE,FALSE,0,1,1,0,0
name me a country that's happiness score does not coincide with the region it belongs to,[],['identify outliers'],['dependency'],[],[],TRUE,FALSE,0,1,1,0,0
tell me the country with the lowest trust score,['find extremum'],[],[],['find extremum'],['find extremum'],FALSE,FALSE,1,0,0,1,1
is there a correlation between happiness scores and other attributes,['correlation'],[],[],[],[],FALSE,FALSE,1,0,0,0,0
"what countries, other than finland, have higher happiness scores and lower gdp",[],"['comparison', 'filter']",['compare'],[],[],FALSE,FALSE,0,2,1,0,0
can you tell me the area in the previous decade that increased rapidly in the happiness score,[],['trend analysis'],['trend'],[],[],FALSE,FALSE,0,1,1,0,0
"can you tell me, in terms of economy, what is the range across all countries",[],['range'],['determine range'],[],[],TRUE,FALSE,0,1,1,0,0
show me any clustering there may be in the gdp that has a happiness score of larger than 5,['clustering'],[],[],[],[],FALSE,FALSE,1,0,0,0,0
within the last year have any countries experienced a sudden decrease in happiness score,['trend'],['comparison'],[],['trend'],['trend'],TRUE,FALSE,1,1,0,1,1
can you tell me the range of happiness score in western europe,[],['range'],"['determine range', 'filter']",[],[],FALSE,FALSE,0,1,2,0,0
"out of all the countries, which ones have a happiness score higher then finland",['filter'],[],[],['filter'],['filter'],TRUE,FALSE,1,0,0,1,1
can you tell me in what range will the number of countries in each region fall,[],['distribution'],['characterize distribution'],[],[],FALSE,FALSE,0,1,1,0,0
please identify the parameters of the happiness score in western europe,[],['retrieve value'],"['characterize distribution', 'filter']",[],[],TRUE,FALSE,0,1,2,0,0
show all the countries with happiness scores higher than 5,['filter'],[],[],[],[],TRUE,FALSE,1,0,0,0,0
name the continent that contains the greatest number of countries that are top 10 on the happiness index,[],"['aggregate', 'compare']",['find extremum'],[],[],FALSE,FALSE,0,2,1,0,0
do any countries have happiness scores that don 't match with their gdp,[],['comparison'],['characterize distribution'],[],[],FALSE,FALSE,0,1,1,0,0
"of all the countries trust score, which country has the lowest",['find extremum'],[],[],['find extremum'],['find extremum'],FALSE,FALSE,1,0,0,1,1
