mixtral_query,mixtral_positive matches,mixtral_llm only matches,mixtral_gt only matches,mixtral_correct task inferences,mixtral_missed task inferences,mixtral_correct goal classifications,mixtral_missing goal classifications,mixtral_positive matches count,mixtral_llm only matches count,mixtral_gt only matches count,mixtral_correct task inferences count,mixtral_missed task inferences count
could you tell me the continental location of the poorest ( lowest income ) country,[],['find extremum'],['retrieve value'],[],[],True,False,0,1,1,0,0
"when looking at the average income in european countries, what is the variance",[],['calculate statistic'],['characterize distribution'],[],[],True,False,0,1,1,0,0
what are the minimum and maximum populations of the chinese provinces,[],['find extreme'],['find extremum'],[],[],False,False,0,1,1,0,0
what is the average height of the floors of these buildings,[],['calculate mean'],['characterize distribution'],[],[],True,False,0,1,1,0,0
compare the number of tall buildings in hong kong with taiwan,[],"['relationship', 'aggregation']","['compare', 'filter']",[],[],True,False,0,2,2,0,0
compare the number of tall buildings in hong kong with taiwan,[],"['relationship', 'aggregation']","['compare', 'filter']",[],[],True,False,0,2,2,0,0
what location has the highest number of tall buildings,[],['aggregation'],['find extremum'],[],[],False,False,0,1,1,0,0
"provide the total sum of all the separated, divorced, and widowed people in lindi",[],['aggregation'],"['compute derived value', 'filter']",[],[],True,False,0,1,2,0,0
does simiyu have a similar structure of peope as that of katavi,[],['comparison'],"['similarity', 'filter']",[],[],True,False,0,1,2,0,0
can you tell me how mara attributes are distributed,['distribution'],[],['filter'],[],[],False,False,1,0,1,0,0
is the total attribute of one area equal to the sum of the other attributes in any area,[],"['relationship', 'equality']",['compare'],[],[],True,False,0,2,1,0,0
relationship between imdb rating and rotten tomatoes rating,['correlation'],[],[],['correlation'],['correlation'],False,False,1,0,0,1,1
what's the production budget for movies in different years,[],['relationship'],['characterize distribution'],[],[],False,False,0,1,1,0,0
movie gross and budget relationship based on genre,[],['relationship'],['dependency'],[],[],False,False,0,1,1,0,0
show me imdb rating versus rotten tomatoes rating,[],['relationship'],['correlation'],[],[],False,False,0,1,1,0,0
what creative type of movie had the highest production budget for each content rating,[],"['retrieve value', 'aggregation']",['characterize distribution'],[],[],False,False,0,2,1,0,0
what is the relationship between production budget and worldwide gross for each major genre,[],['relationship'],['dependency'],[],[],True,False,0,1,1,0,0
what is the relationship between release year and average production budget,[],['correlation'],['dependency'],[],[],True,False,0,1,1,0,0
what major genre had the highest average worldwide gross,[],"['aggregation', 'ranking']",['find extremum'],[],[],False,False,0,2,1,0,0
what major genre had the lowest average worldwide gross,[],"['aggregation', 'ranking']",['find extremum'],[],[],False,False,0,2,1,0,0
how much did average worldwide gross vary by major genre,[],"['correlation', 'aggregation']",['find extremum'],[],[],False,False,0,2,1,0,0
how many movies are there are of each creative type,[],['distribution'],['characterize distribution'],[],[],True,False,0,1,1,0,0
which creative type had the most movies,[],"['aggregation', 'ranking']",['characterize distribution'],[],[],False,False,0,2,1,0,0
which creative type had the fewest movies,[],"['aggregation', 'ranking']",['characterize distribution'],[],[],False,False,0,2,1,0,0
what is the total worldwide gross for each major genre across time,[],['aggregation'],['summarize'],[],[],False,False,0,1,1,0,0
is there a relationship between production budget and worldwide gross for each content rating,[],['relationship'],['correlate'],[],[],False,False,0,1,1,0,0
what is the distribution of running times for each movie,[],['distribution'],['characterize distribution'],[],[],False,False,0,1,1,0,0
is there a relationship between imdb rating and rotten tomatoes rating,['correlation'],[],[],['correlation'],['correlation'],False,False,1,0,0,1,1
movie run time distribution,[],['distribution'],['characterize distribution'],[],[],False,False,0,1,1,0,0
how production budget changes over release years,[],"['correlation', 'relationship']",['trend'],[],[],True,False,0,2,1,0,0
what was the average production budget of movies by year,[],['aggregation'],['trend'],[],[],False,False,0,1,1,0,0
"what's the average production budget of the different rated movies, separated by creative type",[],"['aggregate', 'separate', 'calculate mean']",['compare'],[],[],False,False,0,3,1,0,0
which genre movie makes most worldwide gross,[],"['aggregation', 'retrieval']",['find extremum'],[],[],False,False,0,2,1,0,0
are imdb rating and rotten tomatoes rating related,[],['correlation'],['correlate'],[],[],True,False,0,1,1,0,0
what is the worldwide gross distribution per genre,[],['distribution'],['characterize distribution'],[],[],True,False,0,1,1,0,0
what's the breakdown of production budget by creative type per content rating,[],"['breakdown', 'categorization']",['compare'],[],[],False,False,0,2,1,0,0
how does rotten tomatoes rating change as imdb rating,[],['correlation'],['correlate'],[],[],False,False,0,1,1,0,0
what is the total worldwide gross earned by each major genre and content rating,[],['aggregation'],['compare'],[],[],False,False,0,1,1,0,0
"for each genre and rating, what is the total world-wide gross earnings",[],['aggregation'],['compare'],[],[],True,False,0,1,1,0,0
how much did each type of movie earn in across the whole world,[],['aggregation'],['compare'],[],[],False,False,0,1,1,0,0
how much money did movies of each genre and rating make,[],"['aggregation', 'correlation']",['compare'],[],[],True,False,0,2,1,0,0
"what was the average budget for each content rating and creative type, as multiple column charts",[],"['aggregation', 'categorization', 'relationship']",['compare'],[],[],False,False,0,3,1,0,0
what is the average production budget in each year,[],['aggregate'],['characterize distribution'],[],[],False,False,0,1,1,0,0
compare imdb rating to rotten tomatoes rating,[],['correlation'],['compare'],[],[],False,False,0,1,1,0,0
which creative types have the most movies,[],"['aggregation', 'ranking']",['characterize distribution'],[],[],False,False,0,2,1,0,0
"on average, how much was earned by movies of each genre",[],['aggregation'],"['compare', 'characterize distribution']",[],[],False,False,0,1,2,0,0
how many movies are of each length,[],['distribution'],['characterize distribution'],[],[],True,False,0,1,1,0,0
help me see outliers in imdb and rotten tomatoes ratings,[],['identify outlier'],['find anomalies'],[],[],False,False,0,1,1,0,0
what was the average worldwide gross of movies by genre,[],['aggregate'],['characterize distribution'],[],[],False,False,0,1,1,0,0
how much did major genres gross in total,[],['aggregation'],['compare'],[],[],False,False,0,1,1,0,0
gross across genres regarding content rating,[],"['correlation', 'aggregation']",['compare'],[],[],False,False,0,2,1,0,0
what's the distribution of running times by movie,[],['distribution'],['characterize distribution'],[],[],True,False,0,1,1,0,0
how many movies are there in 20 minute bins of running time,[],"['binning', 'frequency']",['characterize distribution'],[],[],True,False,0,2,1,0,0
how many movies are there for each creative type,[],['distribution'],['characterize distribution'],[],[],True,False,0,1,1,0,0
show me the variation in the amount ordered by different entities in different orders,[],['variation'],[''],[],[],False,False,0,1,1,0,0
worldwide gross for each genre for each year 1995 to now,[],"['aggregation', 'categorization']","['filter', 'compare']",[],[],True,False,0,2,2,0,0
"cumulative gross for each content rating, by major genre",[],['aggregation'],['compare'],[],[],True,False,0,1,1,0,0
relation between worldwide gross and production budget for each major genre,[],['relationship'],['dependency'],[],[],False,False,0,1,1,0,0
which position has the highest average of playing time,[],"['aggregation', 'ranking']",['find extremum'],[],[],False,False,0,2,1,0,0
name movies released in 2017,[],['retrieve list'],['filter'],[],[],True,False,0,1,1,0,0
is the normal distribuition satisfied by the length of the movies,[],['distribution analysis'],['characterize distribution'],[],[],True,False,0,1,1,0,0
sort the movies by length,[],['sorting'],"['sort', 'filter']",[],[],True,False,0,1,2,0,0
how long is the run time of average r-rated movies,[],['calculate mean'],"['characterize distribution', 'filter']",[],[],True,False,0,1,2,0,0
give me the numbers of movies that were released in 2017,[],['retrieve_value'],"['compute derived value', 'filter']",[],[],True,False,0,1,2,0,0
is there an average run time for movies,[],['calculate mean'],['characterize distribution'],[],[],False,False,0,1,1,0,0
is the running time of movies recently longer than it used to be,[],['compare over time'],['trend'],[],[],True,False,0,1,1,0,0
do movie tags and duration have a connection,[],['correlation'],['dependency'],[],[],False,False,0,1,1,0,0
determine if the running time of movies has increased in recent years,['trend'],['correlation'],[],['trend'],['trend'],True,False,1,1,0,1,1
show me the dates that netflix released movies,[],['retrieve value'],"['characterize distribution', 'filter']",[],[],True,False,0,1,2,0,0
does any movies not have a description,[],['existence check'],['summarize'],[],[],True,False,0,1,1,0,0
at what point was data added to the table for netflix,['retrieve value'],[],[],[],[],True,False,1,0,0,0,0
"what is the percentage of the white population in blount county, alabama",[],['calculate proportion'],"['compute derived value', 'compare', 'filter']",[],[],False,False,0,1,3,0,0
"what percentage of the blount county, alabama population is white",[],['retrieve value'],"['compute derived value', 'compare', 'filter']",[],[],False,False,0,1,3,0,0
sort all the counties in connecticut by the percentages of the hispanic population,['sort'],['rank'],[],['sort'],['sort'],True,False,1,1,0,1,1
tell me which county has the greatest number of female residents,['find extremum'],[],[],['find extremum'],['find extremum'],True,False,1,0,0,1,1
calculate the average black population for each state,[],['aggregation'],['compute derived value'],[],[],True,False,0,1,1,0,0
i want to see the distribution of the school rankings in geita in 2006,[],['distribution'],"['characterize distribution', 'filter']",[],[],False,False,0,1,2,0,0
do the pass rate and the ownership of schools have any correlation,['correlation'],[],[],[],[],False,False,1,0,0,0,0
create a list of schools showing the descending order by change_p,['sort'],[],[],['sort'],['sort'],True,False,1,0,0,1,1
can you provide a list of school names in geita,['retrieve value'],[],['filter'],['retrieve value'],['retrieve value'],True,False,1,0,1,1,1
determine if there are any schools in neighboring regions that have similar avg_m,[],['relationship'],['similarity'],[],[],False,False,0,1,1,0,0
list the values of kwema modern pr school's change_p in all the years,[],['retrieval'],['retrieve value'],[],[],True,False,0,1,1,0,0
what schools have similar avg_m in the neighboring region,[],"['similarity search', 'spatial join']",['similarity'],[],[],False,False,0,2,1,0,0
which of these school have a pass rate of over 90,[],['filter'],['compare'],[],[],True,False,0,1,1,0,0
they want to know what tactic is most effective during football,[],"['correlation', 'compare groups']",['compare'],[],[],True,False,0,2,1,0,0
were you aware of the most recent news,[],[],[''],[],[],False,False,0,0,1,0,0
the clubs should be arranged by their shooting attempts,[],['sort'],['compare'],[],[],True,False,0,1,1,0,0
what was the total amount of goals scored in the game that liverpool played in,[],['retrieval'],['compute derived value'],[],[],True,False,0,1,1,0,0
the games are sorted by experts by their date,['sort'],[],[],['sort'],['sort'],True,False,1,0,0,1,1
rank these clubs by their shooting attempts,[],['ranking'],['rank'],[],[],True,False,0,1,1,0,0
are the students who are younger more likely to use wechat,[],['correlation'],"['correlate', 'filter']",[],[],True,False,0,1,2,0,0
can lower study times among students cause greater failure rates in class,[],['correlation'],['correlate'],[],[],True,False,0,1,1,0,0
can you name an unusual reason for choosing this school,[],['retrieval'],['characterize distribution'],[],[],False,False,0,1,1,0,0
could you show me the list sorted by study time ( longest to shortest ),['sort'],['rank'],[],[],[],True,False,1,1,0,0,0
find the distribution by age,[],['distribution'],['characterize distribution'],[],[],False,False,0,1,1,0,0
can you tell me which students have fathers that are teachers,['filter'],[],[],[],[],True,False,1,0,0,0,0
retrieve the students with fathers who work as teachers,['filter'],['retrieve value'],[],['filter'],['filter'],True,False,1,1,0,1,1
tell me the youngest students in the dataset,['find extremum'],[],[],['find extremum'],['find extremum'],True,False,1,0,0,1,1
tell me the types of jobs the student's mothers have,[],['retrieve value'],['characterize distribution'],[],[],True,False,0,1,1,0,0
i 'm wondering would the travel time decrease for students if they spent more time studying,[],['correlation'],['correlate'],[],[],False,False,0,1,1,0,0
would more time spent on studying reduce travel time for students,[],['correlation'],['correlate'],[],[],True,False,0,1,1,0,0
do countries with high populations wish to slow down population growth,[],['correlation'],['correlate'],[],[],False,False,0,1,1,0,0
can you tell me the state which may have the largest average population in the next year,[],"['prediction', 'ranking']",['compare'],[],[],True,False,0,2,1,0,0
can you see any abnormalities in the suicide rates,[],['anomaly detection'],['find anomalies'],[],[],False,False,0,1,1,0,0
name the country with the lowest suicide rate,[],['retrieval'],['find extremum'],[],[],True,False,0,1,1,0,0
do you know the average number of suicides in europe,[],['aggregation'],['compute derived data'],[],[],True,False,0,1,1,0,0
are there any countries with anomalously low suicides rates,[],['anomaly detection'],['find anomalies'],[],[],False,False,0,1,1,0,0
is there similarities between gdp per capita and suicide rates,[],['correlation'],['similarity'],[],[],False,False,0,1,1,0,0
were there any countries with abnormally low suicide rates,[],['anomaly detection'],['find anomalies'],[],[],True,False,0,1,1,0,0
"with the suicide larger than 100, determine the ages in albania",[],"['filter', 'retrieve attribute']",['characterize distribution'],[],[],False,False,0,2,1,0,0
the country with the lowest suicide rate is,[],['retrieval'],['find extremum'],[],[],True,False,0,1,1,0,0
what is the distribution rate of suicide,[],['distribution'],['characterize distribution'],[],[],True,False,0,1,1,0,0
what is the total number of all suicides in 1999,[],['aggregation'],"['characterize distribution', 'filter']",[],[],False,False,0,1,2,0,0
would there be any clustering of countries in terms of suicide rates,['clustering'],['correlation'],[],[],[],True,False,1,1,0,0,0
create a list showing the ages of people who committed suicide in albania,['retrieve value'],[],['filter'],['retrieve value'],['retrieve value'],False,False,1,0,1,1,1
"for the gdp of china, has it gone up or down over the last decade",['trend'],[],['filter'],['trend'],['trend'],True,False,1,0,1,1,1
"of all countries, how is the gdp distribution",[],['distribution'],['characterize distribution'],[],[],False,False,0,1,1,0,0
has there been an increase or decrease in the gdp of china over the last 10 years,['trend'],['correlation'],['filter'],['trend'],['trend'],True,False,1,1,1,1,1
how much is the average of profit of each state,[],['aggregation'],['compare'],[],[],True,False,0,1,1,0,0
how do the company earn in each state,[],"['relationship', 'aggregation']",['compare'],[],[],False,False,0,2,1,0,0
what were the total sales for each date in each category,[],['aggregation'],['compare'],[],[],True,False,0,1,1,0,0
how much was sold each day for each category,[],['aggregation'],['compare'],[],[],False,False,0,1,1,0,0
what is the average profit for each state,[],"['aggregate', 'calculate mean']",['compare'],[],[],True,False,0,2,1,0,0
what is the relationship between profit and sales,[],['relationship'],['dependency'],[],[],False,False,0,1,1,0,0
what is the average profit of each ship mode divided by segment,[],['aggregate'],['compare'],[],[],True,False,0,1,1,0,0
what is the sales forecast for each date,[],"['retrieve value', 'aggregation']",['compare'],[],[],False,False,0,2,1,0,0
how many orders were placed for each order quantity,[],['distribution'],['characterize distribution'],[],[],True,False,0,1,1,0,0
what is the relationship between sales and profit for each region,[],['relationship'],['dependency'],[],[],True,False,0,1,1,0,0
how many orders were placed for each sub-category,[],['aggregation'],['characterize distribution'],[],[],False,False,0,1,1,0,0
"what is the total profit for each region, based on ship status",[],['aggregation'],['compare'],[],[],False,False,0,1,1,0,0
what is the sales trend of the different product categories,['trend'],['categorization'],[],[],[],True,False,1,1,0,0,0
how many products have 3 or more quantity ordered,[],['count'],['compare'],[],[],False,False,0,1,1,0,0
how many products are ordered in single quantity,[],['frequency distribution'],['compare'],[],[],False,False,0,1,1,0,0
density of sales across regions and their profitability,[],"['distribution', 'correlation']",['compare'],[],[],False,False,0,2,1,0,0
what are the profits across different states,[],['aggregation'],['compare'],[],[],True,False,0,1,1,0,0
what product category has more orders placed,[],"['aggregation', 'comparison']",['compare'],[],[],False,False,0,2,1,0,0
sales forecast between jan 2016 and july 2017,[],['aggregate'],"['retrieve value', 'filter']",[],[],True,False,0,1,2,0,0
i want to know how many orders there are by the quantity of the order,[],['aggregation'],['compute derived value'],[],[],False,False,0,1,1,0,0
what is our profit based on shipping mode by customer segment,[],['aggregation'],['compare'],[],[],False,False,0,1,1,0,0
what is the sales vs profit ratio of the four regions,[],['ratio calculation'],['compare'],[],[],False,False,0,1,1,0,0
what is the average profit of each state,[],"['aggregate', 'calculate mean']",['compare'],[],[],False,False,0,2,1,0,0
what is the sales vs profit ratio of all the zones,[],['correlation'],['compare'],[],[],False,False,0,1,1,0,0
what is the average profit of different segments on the ship modes of transport,[],['aggregate'],['compare'],[],[],False,False,0,1,1,0,0
how much is the profit for sales for each,[],['aggregation'],['compare'],[],[],True,False,0,1,1,0,0
what is the correlation between sales and profit by region,[],['correlation'],"['correlate', 'compare']",[],[],False,False,0,1,2,0,0
can you create a graph showing sales and profit by region,[],"['relationship', 'aggregation']",['compare'],[],[],False,False,0,2,1,0,0
"from all of the universities in london, list the one who has the most faculties",[],['retrieval'],['filter'],[],[],True,False,0,1,1,0,0
show me a university that has more than 30 faculties and more than 50 teachers,['filter'],['conditional selection'],[],['filter'],['filter'],True,False,1,1,0,1,1
universities with similar number of teachers,[],['relationship'],['similarity'],[],[],False,False,0,1,1,0,0
"from all of the universities in london, list the one who has the most faculties",[],['retrieval'],['filter'],[],[],True,False,0,1,1,0,0
the universities cover which locations,[],['list'],['characterize distribution'],[],[],True,False,0,1,1,0,0
what is the teacher distribution of new york universities,[],['distribution'],"['characterize distribution', 'filter']",[],[],False,False,0,1,2,0,0
would teachers in harvard be considered outliers if the university was in new york,[],['identify outlier'],"['find anomalies', 'filter']",[],[],False,False,0,1,2,0,0
what is the number of divisions in harvard university,[],['retrieve value'],['filter'],[],[],False,False,0,1,1,0,0
which movie is the highest-grossing,['find extremum'],[],[],['find extremum'],['find extremum'],False,False,1,0,0,1,1
do you feel that midfield players have a lower market value than front court players,[],['relationship'],"['comparision', 'filter']",[],[],True,False,0,1,2,0,0
can you tell me if there is a correlation between revenue and the release year,['correlation'],[],[],[],[],False,False,1,0,0,0,0
is there a typical film lengths group,[],['distribution'],[''],[],[],False,False,0,1,1,0,0
in the premier league how are the transferred players ages distributed,[],['distribution'],"['characterize distribution', 'filter']",[],[],False,False,0,1,2,0,0
tell me a reason why top backcourt players have a higher market value than the top frontcourt player,[],['correlation'],['filter'],[],[],False,False,0,1,1,0,0
which player had an abnormal transfer_fee,[],['anomaly detection'],['find anomalies'],[],[],True,False,0,1,1,0,0
how old was david when he was transferred in 2010,[],['retrieval'],"['retrieve value', 'filter']",[],[],False,False,0,1,2,0,0
"what player had a market value of 50,000,000 and was transferred for 58,500,000 in the 2010鈥毭劽011",[],['retrieve value'],"['filter', 'filter']",[],[],False,False,0,1,2,0,0
"for the center forward position, what was the highest market value for the 2011-2012 season",['find extremum'],[],['filter'],['find extremum'],['find extremum'],True,False,1,0,1,1,1
tell me the numbers of the transferred players in different leagues in the 2010-2011 season,[],['aggregation'],"['compare', 'filter']",[],[],True,False,0,1,2,0,0
"what player had a market value of 50,000,000 and was transferred for 58,500,000 in the 2010‚äì2011",[],['retrieve value'],"['filter', 'filter']",[],[],False,False,0,1,2,0,0
could you buy a player with his market value higher than a transfer fee,[],['compare'],['filter'],[],[],False,False,0,1,1,0,0
what is the average transfer_fee for players who transferred to the premier league,[],['calculate mean'],"['characterize distribution', 'filter']",[],[],True,False,0,1,2,0,0
list center-backs by what their transfer_fee was,[],"['sort', 'rank']","['retrieve value', 'filter']",[],[],True,False,0,2,2,0,0
which player was the oldest that was transferred,['find extremum'],[],[],[],[],False,False,1,0,0,0,0
what is the distribution of the leagues who paid for transferred players in 2010,[],['distribution'],"['characterize distribution', 'filter']",[],[],True,False,0,1,2,0,0
are you aware of any clustering of the seasons in which players were transferred to the premier league,['clustering'],[],['filter'],[],[],False,False,1,0,1,0,0
"if you were to average it out, how upbeat would you say the songs are",[],['aggregation'],['characterize distribution'],[],[],False,False,0,1,1,0,0
describe the popularity of the loudest song,[],['retrieval'],['retrieve value'],[],[],True,False,0,1,1,0,0
can you help me find some popular songs,[],['retrieval'],['sort'],[],[],False,False,0,1,1,0,0
"in terms of length, how long is ' beautiful people '",['retrieve value'],[],['filter'],['retrieve value'],['retrieve value'],True,False,1,0,1,1,1
what songs of the pop genrea has sam smith released,[],"['filter', 'retrieve value']",['compare'],[],[],False,False,0,2,1,0,0
are there singers who span multiple genres,[],['identification'],['retrieve value'],[],[],False,False,0,1,1,0,0
determine in what year the income of undergraduate students was higher,['compare'],['find max'],['trend'],[],[],True,False,1,1,1,0,0
how are postgraduate student numbers distributed every year,[],['distribution'],['characterize distribution'],[],[],False,False,0,1,1,0,0
could you tell me if there is any correlation between the number of undergraduate and postgraduate students,['correlation'],[],[],[],[],False,False,1,0,0,0,0
state the average income of postgraduate students in each country,[],['aggregate'],['compare'],[],[],True,False,0,1,1,0,0
what is the number of postgraduate students for each year,[],['retrieve value'],['characterize distribution'],[],[],True,False,0,1,1,0,0
"in each year, what is the distribution of the number of postgraduates",[],['distribution'],['characterize distribution'],[],[],False,False,0,1,1,0,0
the chart teaches them the horsepower range,[],['distribution'],['determine range'],[],[],False,False,0,1,1,0,0
name me a country that's happiness score does not coincide with the region it belongs to,[],['correlation'],['dependency'],[],[],False,False,0,1,1,0,0
tell me the country with the lowest trust score,[],['retrieval'],['find extremum'],[],[],True,False,0,1,1,0,0
is there a correlation between happiness scores and other attributes,['correlation'],[],[],[],[],False,False,1,0,0,0,0
"what countries, other than finland, have higher happiness scores and lower gdp",['compare'],['filter'],[],['compare'],['compare'],True,False,1,1,0,1,1
can you tell me the area in the previous decade that increased rapidly in the happiness score,[],['identify change over time'],['trend'],[],[],False,False,0,1,1,0,0
"can you tell me, in terms of economy, what is the range across all countries",[],['range'],['determine range'],[],[],False,False,0,1,1,0,0
show me any clustering there may be in the gdp that has a happiness score of larger than 5,['clustering'],[],[],[],[],False,False,1,0,0,0,0
within the last year have any countries experienced a sudden decrease in happiness score,[],['find anomaly'],['trend'],[],[],False,False,0,1,1,0,0
can you tell me the range of happiness score in western europe,[],['range'],"['determine range', 'filter']",[],[],True,False,0,1,2,0,0
"out of all the countries, which ones have a happiness score higher then finland",['filter'],['compare'],[],['filter'],['filter'],True,False,1,1,0,1,1
can you tell me in what range will the number of countries in each region fall,[],['distribution'],['characterize distribution'],[],[],False,False,0,1,1,0,0
please identify the parameters of the happiness score in western europe,[],['characteristic'],"['characterize distribution', 'filter']",[],[],True,False,0,1,2,0,0
show all the countries with happiness scores higher than 5,['filter'],['retrieve value'],[],[],[],True,False,1,1,0,0,0
name the continent that contains the greatest number of countries that are top 10 on the happiness index,[],"['aggregation', 'ranking']",['find extremum'],[],[],True,False,0,2,1,0,0
do any countries have happiness scores that don 't match with their gdp,[],"['correlation', 'relationship']",['characterize distribution'],[],[],False,False,0,2,1,0,0
"of all the countries trust score, which country has the lowest",['find extremum'],[],[],['find extremum'],['find extremum'],True,False,1,0,0,1,1
name the country that scores the least on trust,['find extremum'],[],[],['find extremum'],['find extremum'],True,False,1,0,0,1,1
what is the range across all the countries in terms of economy,[],['range'],['find extremum'],[],[],True,False,0,1,1,0,0
"organize the countries based on happiness score, with the score limit on each group being 10",[],"['ranking', 'binning']",['characterize distribution'],[],[],True,False,0,2,1,0,0
show me the distribution of the health score as it is presented in different regions,[],['distribution'],['characterize distribution'],[],[],False,False,0,1,1,0,0
tell me the average gdp of countries in western europe,[],['aggregate'],"['characterize distribution', 'filter']",[],[],True,False,0,1,2,0,0
organize the countries by their region,[],['organization'],['sort'],[],[],False,False,0,1,1,0,0
"for all the regions, can you show me the pattern of the happiness score",[],['pattern identification'],['cluster'],[],[],False,False,0,1,1,0,0
what are all the countries that have a happiness score similar to fineland 5 is an acceptable error score,[],['similar items'],"['filter', 'similarity']",[],[],False,False,0,1,2,0,0
what is the range of economy across all the countries,[],['range'],['determine range'],[],[],True,False,0,1,1,0,0
rank countries high to low by their family score,[],['ranking'],['sort'],[],[],True,False,0,1,1,0,0
can we conclude that higher happiness comes from higher freedom,[],['correlation'],['correlate'],[],[],True,False,0,1,1,0,0
what dimension of the happiness index has the maximum fluctuation,[],['find extremum'],"['summarize', 'compare']",[],[],False,False,0,1,2,0,0
retrieve the country that has had a sudden decrease in happiness score within a year,[],['identify change point'],['filter'],[],[],False,False,0,1,1,0,0
"across all regions, what is the happiness score pattern",[],['pattern identification'],['characterize distribution'],[],[],False,False,0,1,1,0,0
the health score is highest in which country,[],['find extreme'],['find extremum'],[],[],True,False,0,1,1,0,0
the highest health score is held by which country,[],['find extreme'],['find extremum'],[],[],True,False,0,1,1,0,0
please help me identify the least common age,[],['find extremum'],['find anomalies'],[],[],True,False,0,1,1,0,0
