mixtral_query,mixtral_positive matches,mixtral_llm only matches,mixtral_gt only matches,mixtral_correct task inferences,mixtral_missed task inferences,mixtral_positive matches count,mixtral_llm only matches count,mixtral_gt only matches count,mixtral_correct task inferences count,mixtral_missed task inferences count
could you tell me the continental location of the poorest ( lowest income ) country,['retrieve value'],set(),[],['retrieve value'],['retrieve value'],1,0,0,1,1
"when looking at the average income in european countries, what is the variance",[],"{'retrieve value', 'compute derived value'}","['characterize distribution', 'characterize distribution']",[],[],0,2,2,0,0
what are the minimum and maximum populations of the chinese provinces,['find extremum'],{'filter'},['find extremum '],[],[],1,1,1,0,0
what is the average height of the floors of these buildings,[],{'compute derived value'},['characterize distribution'],[],[],0,1,1,0,0
compare the number of tall buildings in hong kong with taiwan,[],{'comparison'},"['compare', ' filter']",[],[],0,2,2,0,0
compare the number of tall buildings in hong kong with taiwan,[],{'comparison'},"['compare', ' filter']",[],[],0,2,2,0,0
what location has the highest number of tall buildings,[],"{'determine range', 'filter'}","['find extremum ', 'find extremum ']",[],[],0,2,2,0,0
"provide the total sum of all the separated, divorced, and widowed people in lindi",[],set(),[],[],[],0,0,0,0,0
does simiyu have a similar structure of peope as that of katavi,[],{'compare'},"['similarity', ' filter']",[],[],0,2,2,0,0
can you tell me how mara attributes are distributed,[],{'retrieve value'},"['distribution', ' filter']",[],[],0,2,2,0,0
is the total attribute of one area equal to the sum of the other attributes in any area,[],{'determine range'},['compare'],[],[],0,1,1,0,0
relationship between imdb rating and rotten tomatoes rating,[],{'correlation'},['correlate'],[],[],0,1,1,0,0
what's the production budget for movies in different years,[],{'retrieve value'},['characterize distribution'],[],[],0,1,1,0,0
movie gross and budget relationship based on genre,['dependency'],{'correlation'},['dependency'],['dependency'],['dependency'],1,1,1,1,1
show me imdb rating versus rotten tomatoes rating,['correlate'],set(),[],[],[],1,0,0,0,0
what creative type of movie had the highest production budget for each content rating,[],"{'filter', 'find extremum'}","['characterize distribution', 'characterize distribution']",[],[],0,2,2,0,0
what is the relationship between production budget and worldwide gross for each major genre,[],{'relationship'},['dependency'],[],[],0,1,1,0,0
what is the relationship between release year and average production budget,[],"{'compute derived value', 'correlation analysis'}","['dependency', 'dependency']",[],[],0,2,2,0,0
what major genre had the highest average worldwide gross,[],{'compute derived value'},['find extremum'],[],[],0,1,1,0,0
what major genre had the lowest average worldwide gross,[],{'compute derived value'},['find extremum'],[],[],0,1,1,0,0
how much did average worldwide gross vary by major genre,[],{'compute derived value'},['find extremum'],[],[],0,1,1,0,0
how many movies are there are of each creative type,[],"{'count', 'grouping'}","['characterize distribution', 'characterize distribution']",[],[],0,2,2,0,0
which creative type had the most movies,[],{'retrieve value'},['characterize distribution'],[],[],0,1,1,0,0
which creative type had the fewest movies,[],{'retrieve value'},['characterize distribution'],[],[],0,1,1,0,0
what is the total worldwide gross for each major genre across time,['summarize'],"{'group by', 'dependency'}","['summarize', 'summarize']",['summarize'],['summarize'],1,2,2,1,1
is there a relationship between production budget and worldwide gross for each content rating,[],{'relationship'},['correlate'],[],[],0,1,1,0,0
what is the distribution of running times for each movie,['characterize distribution'],set(),[],[],[],1,0,0,0,0
is there a relationship between imdb rating and rotten tomatoes rating,[],{'correlation'},['correlate'],[],[],0,1,1,0,0
movie run time distribution,['characterize distribution'],set(),[],[],[],1,0,0,0,0
how production budget changes over release years,['trend'],set(),[],['trend'],['trend'],1,0,0,1,1
what was the average production budget of movies by year,[],"{'compute derived value', 'grouping'}","['trend', 'trend']",[],[],0,2,2,0,0
"what's the average production budget of the different rated movies, separated by creative type",[],"{'compute derived value', 'grouping'}","['compare', 'compare']",[],[],0,2,2,0,0
which genre movie makes most worldwide gross,[],{'retrieve value'},['find extremum'],[],[],0,1,1,0,0
are imdb rating and rotten tomatoes rating related,[],{'correlation'},['correlate'],[],[],0,1,1,0,0
what is the worldwide gross distribution per genre,['characterize distribution'],set(),[],[],[],1,0,0,0,0
what's the breakdown of production budget by creative type per content rating,[],"{'retrieve value', 'grouping'}","['compare', 'compare']",[],[],0,2,2,0,0
how does rotten tomatoes rating change as imdb rating,[],{'correlation'},['correlate'],[],[],0,1,1,0,0
what is the total worldwide gross earned by each major genre and content rating,[],{'aggregation'},['compare'],[],[],0,1,1,0,0
"for each genre and rating, what is the total world-wide gross earnings",[],"{'summarize', 'group by'}","['compare', 'compare']",[],[],0,2,2,0,0
how much did each type of movie earn in across the whole world,[],"{'summarize', 'compute derived value'}","['compare', 'compare']",[],[],0,2,2,0,0
how much money did movies of each genre and rating make,[],{'retrieve value'},['compare'],[],[],0,1,1,0,0
"what was the average budget for each content rating and creative type, as multiple column charts",[],"{'relationship', 'aggregation', 'categorization'}","['compare', 'compare', 'compare']",[],[],0,3,3,0,0
what is the average production budget in each year,[],{'compute derived value'},['characterize distribution'],[],[],0,1,1,0,0
compare imdb rating to rotten tomatoes rating,['compare'],set(),[],[],[],1,0,0,0,0
which creative types have the most movies,[],{'retrieve value'},['characterize distribution'],[],[],0,1,1,0,0
"on average, how much was earned by movies of each genre",[],"{'compute derived value', 'grouping'}","['compare', ' characterize distribution', 'compare', ' characterize distribution']",[],[],0,4,4,0,0
how many movies are of each length,[],"{'histogram', 'bar chart'}","['characterize distribution', 'characterize distribution']",[],[],0,2,2,0,0
help me see outliers in imdb and rotten tomatoes ratings,[],{'identify outlier'},['find anomalies'],[],[],0,1,1,0,0
what was the average worldwide gross of movies by genre,[],{'aggregate'},['characterize distribution'],[],[],0,1,1,0,0
how much did major genres gross in total,[],{'summarize'},['compare'],[],[],0,1,1,0,0
gross across genres regarding content rating,[],"{'summarize', 'group by'}","['compare', 'compare']",[],[],0,2,2,0,0
what's the distribution of running times by movie,['characterize distribution'],set(),[],[],[],1,0,0,0,0
how many movies are there in 20 minute bins of running time,[],{'retrieve value'},['characterize distribution'],[],[],0,1,1,0,0
how many movies are there for each creative type,[],"{'count', 'grouping'}","['characterize distribution', 'characterize distribution']",[],[],0,2,2,0,0
show me the variation in the amount ordered by different entities in different orders,[],"{'determine range', 'characterize distribution'}","['', '']",[],[],0,2,2,0,0
worldwide gross for each genre for each year 1995 to now,['compare'],"{'summarize', 'dependency'}","['filter', ' compare', 'filter', 'filter', ' compare']",[],[],1,5,5,0,0
"cumulative gross for each content rating, by major genre",[],"{'compute derived value', 'grouping'}","['compare', 'compare']",[],[],0,2,2,0,0
relation between worldwide gross and production budget for each major genre,[],"{'retrieve value', 'group by', 'correlation'}","['dependency', 'dependency', 'dependency']",[],[],0,3,3,0,0
which position has the highest average of playing time,[],{'compute derived value'},['find extremum'],[],[],0,1,1,0,0
name movies released in 2017,[],{'retrieve value'},['filter'],[],[],0,1,1,0,0
is the normal distribuition satisfied by the length of the movies,['characterize distribution'],{'determine range'},['characterize distribution'],['characterize distribution'],['characterize distribution'],1,1,1,1,1
sort the movies by length,['sort'],set(),[],[],[],1,0,0,0,0
how long is the run time of average r-rated movies,[],{'compute derived value'},"['characterize distribution', ' filter']",[],[],0,2,2,0,0
give me the numbers of movies that were released in 2017,[],{'retrieve value'},"['compute derived value', ' filter']",[],[],0,2,2,0,0
is there an average run time for movies,[],{'compute derived value'},['characterize distribution'],[],[],0,1,1,0,0
is the running time of movies recently longer than it used to be,[],{'determine range'},['trend'],[],[],0,1,1,0,0
do movie tags and duration have a connection,[],{'correlation'},['dependency'],[],[],0,1,1,0,0
determine if the running time of movies has increased in recent years,['trend'],{'compute derived value'},['trend'],['trend'],['trend'],1,1,1,1,1
show me the dates that netflix released movies,[],{'retrieve value'},"['characterize distribution', ' filter']",[],[],0,2,2,0,0
does any movies not have a description,[],set(),[],[],[],0,0,0,0,0
at what point was data added to the table for netflix,['retrieve value'],set(),[],[],[],1,0,0,0,0
"what is the percentage of the white population in blount county, alabama",[],{'retrieve value'},"['compute derived value', ' compare', ' filter']",[],[],0,3,3,0,0
"what percentage of the blount county, alabama population is white",[],{'retrieve value'},"['compute derived value', ' compare', ' filter']",[],[],0,3,3,0,0
sort all the counties in connecticut by the percentages of the hispanic population,['sort'],{'characterize distribution'},['sort'],['sort'],['sort'],1,1,1,1,1
tell me which county has the greatest number of female residents,[],{'retrieve value'},['find extremum'],[],[],0,1,1,0,0
calculate the average black population for each state,['compute derived value'],set(),[],[],[],1,0,0,0,0
i want to see the distribution of the school rankings in geita in 2006,['characterize distribution'],set(),[],['characterize distribution'],['characterize distribution'],1,0,0,1,1
do the pass rate and the ownership of schools have any correlation,[],{'correlation'},['correlate'],[],[],0,1,1,0,0
create a list of schools showing the descending order by change_p,['sort'],set(),[],['sort'],['sort'],1,0,0,1,1
can you provide a list of school names in geita,['retrieve value'],set(),[],['retrieve value'],['retrieve value'],1,0,0,1,1
determine if there are any schools in neighboring regions that have similar avg_m,[],"{'compare', 'characterize distribution'}","['similarity', 'similarity']",[],[],0,2,2,0,0
list the values of kwema modern pr school's change_p in all the years,['retrieve value'],{'filter'},['retrieve value'],['retrieve value'],['retrieve value'],1,1,1,1,1
what schools have similar avg_m in the neighboring region,[],"{'compare', 'characterize distribution'}","['similarity', 'similarity']",[],[],0,2,2,0,0
which of these school have a pass rate of over 90,['filter'],set(),['compare'],[],[],1,1,1,0,0
they want to know what tactic is most effective during football,['compare'],"{'retrieve value', 'summarize data'}","['compare', 'compare']",['compare'],['compare'],1,2,2,1,1
were you aware of the most recent news,[],{'find extremum'},[''],[],[],0,1,1,0,0
the clubs should be arranged by their shooting attempts,[],{'sort'},['compare'],[],[],0,1,1,0,0
what was the total amount of goals scored in the game that liverpool played in,[],{'summarize'},['compute derived value'],[],[],0,1,1,0,0
the games are sorted by experts by their date,['sort'],set(),[],['sort'],['sort'],1,0,0,1,1
rank these clubs by their shooting attempts,[],{'sort'},['rank'],[],[],0,1,1,0,0
are the students who are younger more likely to use wechat,[],"{'determine range', 'characterize distribution'}","['correlate', ' filter', 'correlate', ' filter']",[],[],0,4,4,0,0
can lower study times among students cause greater failure rates in class,[],{'correlation'},['correlate'],[],[],0,1,1,0,0
can you name an unusual reason for choosing this school,['characterize distribution'],set(),[],['characterize distribution'],['characterize distribution'],1,0,0,1,1
could you show me the list sorted by study time ( longest to shortest ),['sort'],set(),[],[],[],1,0,0,0,0
find the distribution by age,['characterize distribution'],set(),[],[],[],1,0,0,0,0
can you tell me which students have fathers that are teachers,[],{'retrieve value'},['filter'],[],[],0,1,1,0,0
retrieve the students with fathers who work as teachers,[],{'retrieve value'},['filter'],[],[],0,1,1,0,0
tell me the youngest students in the dataset,['find extremum'],set(),[],['find extremum'],['find extremum'],1,0,0,1,1
tell me the types of jobs the student's mothers have,[],{'retrieve value'},['characterize distribution'],[],[],0,1,1,0,0
i 'm wondering would the travel time decrease for students if they spent more time studying,[],{'correlation'},['correlate'],[],[],0,1,1,0,0
would more time spent on studying reduce travel time for students,[],{'correlation'},['correlate'],[],[],0,1,1,0,0
do countries with high populations wish to slow down population growth,[],set(),[],[],[],0,0,0,0,0
can you tell me the state which may have the largest average population in the next year,[],{'forecasting'},['compare'],[],[],0,1,1,0,0
can you see any abnormalities in the suicide rates,[],"{'determine range', 'characterize distribution'}","['find anomalies', 'find anomalies']",[],[],0,2,2,0,0
name the country with the lowest suicide rate,[],{'retrieve value'},['find extremum'],[],[],0,1,1,0,0
do you know the average number of suicides in europe,[],set(),[],[],[],0,0,0,0,0
are there any countries with anomalously low suicides rates,['find anomalies'],"{'determine range', 'characterize distribution'}","['find anomalies', 'find anomalies']",['find anomalies'],['find anomalies'],1,2,2,1,1
is there similarities between gdp per capita and suicide rates,[],"{'compare', 'characterize distribution', 'find anomalies'}","['similarity', 'similarity', 'similarity']",[],[],0,3,3,0,0
were there any countries with abnormally low suicide rates,['find anomalies'],"{'determine range', 'characterize distribution'}","['find anomalies', 'find anomalies']",['find anomalies'],['find anomalies'],1,2,2,1,1
"with the suicide larger than 100, determine the ages in albania",[],{'filter'},['characterize distribution'],[],[],0,1,1,0,0
the country with the lowest suicide rate is,[],{'retrieve value'},['find extremum'],[],[],0,1,1,0,0
what is the distribution rate of suicide,['characterize distribution'],set(),[],['characterize distribution'],['characterize distribution'],1,0,0,1,1
what is the total number of all suicides in 1999,[],{'summarize'},"['characterize distribution', ' filter']",[],[],0,2,2,0,0
would there be any clustering of countries in terms of suicide rates,[],"{'retrieve value', 'characterize distribution', 'group by dimension reduction'}","['clustering', 'clustering', 'clustering']",[],[],0,3,3,0,0
create a list showing the ages of people who committed suicide in albania,['retrieve value'],set(),[],['retrieve value'],['retrieve value'],1,0,0,1,1
"for the gdp of china, has it gone up or down over the last decade",['trend'],set(),[],[],[],1,0,0,0,0
"of all countries, how is the gdp distribution",['characterize distribution'],set(),[],[],[],1,0,0,0,0
has there been an increase or decrease in the gdp of china over the last 10 years,['trend'],set(),[],['trend'],['trend'],1,0,0,1,1
how much is the average of profit of each state,[],{'compute derived value'},['compare'],[],[],0,1,1,0,0
how do the company earn in each state,[],"{'summarize', 'retrieve value'}","['compare', 'compare']",[],[],0,2,2,0,0
what were the total sales for each date in each category,[],"{'summarize', 'group by'}","['compare', 'compare']",[],[],0,2,2,0,0
how much was sold each day for each category,[],{'aggregation'},['compare'],[],[],0,1,1,0,0
what is the average profit for each state,[],{'compute derived value'},['compare'],[],[],0,1,1,0,0
what is the relationship between profit and sales,[],{'relationship'},['dependency'],[],[],0,1,1,0,0
what is the average profit of each ship mode divided by segment,[],{'compute derived value'},['compare'],[],[],0,1,1,0,0
what is the sales forecast for each date,[],{'retrieve value'},['compare'],[],[],0,1,1,0,0
how many orders were placed for each order quantity,[],"{'determine range', 'count'}","['characterize distribution', 'characterize distribution']",[],[],0,2,2,0,0
what is the relationship between sales and profit for each region,[],"{'characterize distribution', 'correlation'}","['dependency', 'dependency']",[],[],0,2,2,0,0
how many orders were placed for each sub-category,[],"{'group by', 'count'}","['characterize distribution', 'characterize distribution']",[],[],0,2,2,0,0
"what is the total profit for each region, based on ship status",[],"{'summarize', 'group by'}","['compare', 'compare']",[],[],0,2,2,0,0
what is the sales trend of the different product categories,['trend'],set(),[],[],[],1,0,0,0,0
how many products have 3 or more quantity ordered,[],{'count'},['compare'],[],[],0,1,1,0,0
how many products are ordered in single quantity,[],{'count'},['compare'],[],[],0,1,1,0,0
density of sales across regions and their profitability,[],"{'determine range', 'characterize distribution'}","['compare', 'compare']",[],[],0,2,2,0,0
what are the profits across different states,[],{'retrieve value'},['compare'],[],[],0,1,1,0,0
what product category has more orders placed,[],{'count'},['compare'],[],[],0,1,1,0,0
sales forecast between jan 2016 and july 2017,['retrieve value'],set(),[],['retrieve value'],['retrieve value'],1,0,0,1,1
i want to know how many orders there are by the quantity of the order,[],"{'retrieve value', 'count'}","['compute derived value', 'compute derived value']",[],[],0,2,2,0,0
what is our profit based on shipping mode by customer segment,[],{'summarize'},['compare'],[],[],0,1,1,0,0
what is the sales vs profit ratio of the four regions,[],{'compute derived value'},['compare'],[],[],0,1,1,0,0
what is the average profit of each state,[],{'compute derived value'},['compare'],[],[],0,1,1,0,0
what is the sales vs profit ratio of all the zones,[],{'compute derived value'},['compare'],[],[],0,1,1,0,0
what is the average profit of different segments on the ship modes of transport,[],{'compute derived value'},['compare'],[],[],0,1,1,0,0
how much is the profit for sales for each,[],"{'summarize', 'compute derived value'}","['compare', 'compare']",[],[],0,2,2,0,0
what is the correlation between sales and profit by region,[],{'correlation'},"['correlate', ' compare']",[],[],0,2,2,0,0
can you create a graph showing sales and profit by region,['compare'],{'summarize'},['compare'],['compare'],['compare'],1,1,1,1,1
"from all of the universities in london, list the one who has the most faculties",[],{'retrieve value'},['filter'],[],[],0,1,1,0,0
show me a university that has more than 30 faculties and more than 50 teachers,['filter'],{'retrieve value'},['filter'],['filter'],['filter'],1,1,1,1,1
universities with similar number of teachers,[],{'cluster'},['similarity'],[],[],0,1,1,0,0
"from all of the universities in london, list the one who has the most faculties",[],{'retrieve value'},['filter'],[],[],0,1,1,0,0
the universities cover which locations,[],{'retrieve value'},['characterize distribution'],[],[],0,1,1,0,0
what is the teacher distribution of new york universities,[],{'retrieve value'},"['characterize distribution', ' filter']",[],[],0,2,2,0,0
would teachers in harvard be considered outliers if the university was in new york,[],"{'determine range', 'characterize distribution'}","['find anomalies', ' filter', 'find anomalies', ' filter']",[],[],0,4,4,0,0
what is the number of divisions in harvard university,[],{'retrieve value'},['filter'],[],[],0,1,1,0,0
which movie is the highest-grossing,['find extremum'],{'retrieve value'},['find extremum'],['find extremum'],['find extremum'],1,1,1,1,1
do you feel that midfield players have a lower market value than front court players,[],{'relationship'},"['compare', ' filter']",[],[],0,2,2,0,0
can you tell me if there is a correlation between revenue and the release year,[],{'correlation'},['correlate'],[],[],0,1,1,0,0
is there a typical film lengths group,[],{'cluster'},[''],[],[],0,1,1,0,0
in the premier league how are the transferred players ages distributed,['characterize distribution'],set(),[],[],[],1,0,0,0,0
tell me a reason why top backcourt players have a higher market value than the top frontcourt player,[],{'correlation'},['filter'],[],[],0,1,1,0,0
which player had an abnormal transfer_fee,[],{'determine range'},['find anomalies'],[],[],0,1,1,0,0
how old was david when he was transferred in 2010,['retrieve value'],set(),[],['retrieve value'],['retrieve value'],1,0,0,1,1
"what player had a market value of 50,000,000 and was transferred for 58,500,000 in the 2010鈥毭劽011",[],{'retrieve value'},"['filter', ' filter']",[],[],0,2,2,0,0
"for the center forward position, what was the highest market value for the 2011-2012 season",['find extremum'],set(),[],['find extremum'],['find extremum'],1,0,0,1,1
tell me the numbers of the transferred players in different leagues in the 2010-2011 season,[],"{'group by', 'count'}","['compare', ' filter', 'compare', ' filter']",[],[],0,4,4,0,0
"what player had a market value of 50,000,000 and was transferred for 58,500,000 in the 2010‚äì2011",[],{'retrieve value'},"['filter', ' filter']",[],[],0,2,2,0,0
could you buy a player with his market value higher than a transfer fee,['filter'],set(),[],['filter'],['filter'],1,0,0,1,1
what is the average transfer_fee for players who transferred to the premier league,[],{'calculate mean'},"['characterize distribution', ' filter']",[],[],0,2,2,0,0
list center-backs by what their transfer_fee was,['retrieve value'],set(),[],['retrieve value'],['retrieve value'],1,0,0,1,1
which player was the oldest that was transferred,['find extremum'],{'retrieve value'},['find extremum'],['find extremum'],['find extremum'],1,1,1,1,1
what is the distribution of the leagues who paid for transferred players in 2010,['characterize distribution'],{'determine range'},"['characterize distribution', ' filter']",['characterize distribution'],['characterize distribution'],1,2,2,1,1
are you aware of any clustering of the seasons in which players were transferred to the premier league,['cluster'],set(),[],[],[],1,0,0,0,0
"if you were to average it out, how upbeat would you say the songs are",[],{'compute derived value'},['characterize distribution'],[],[],0,1,1,0,0
describe the popularity of the loudest song,['retrieve value'],{'find extremum'},['retrieve value'],['retrieve value'],['retrieve value'],1,1,1,1,1
can you help me find some popular songs,[],{'retrieve value'},['sort'],[],[],0,1,1,0,0
"in terms of length, how long is ' beautiful people '",['retrieve value'],set(),[],['retrieve value'],['retrieve value'],1,0,0,1,1
what songs of the pop genrea has sam smith released,[],{'retrieve value'},"['compare', ' filter']",[],[],0,2,2,0,0
are there singers who span multiple genres,[],{'characterize distribution'},['retrieve value'],[],[],0,1,1,0,0
determine in what year the income of undergraduate students was higher,[],{'find extremum'},"['compare', ' trend']",[],[],0,2,2,0,0
how are postgraduate student numbers distributed every year,['characterize distribution'],set(),[],['characterize distribution'],['characterize distribution'],1,0,0,1,1
could you tell me if there is any correlation between the number of undergraduate and postgraduate students,[],{'correlation'},['correlate'],[],[],0,1,1,0,0
state the average income of postgraduate students in each country,[],{'compute derived value'},['compare'],[],[],0,1,1,0,0
what is the number of postgraduate students for each year,[],{'retrieve value'},['characterize distribution'],[],[],0,1,1,0,0
"in each year, what is the distribution of the number of postgraduates",['characterize distribution'],set(),[],[],[],1,0,0,0,0
the chart teaches them the horsepower range,[],{'characterize distribution'},['determine range'],[],[],0,1,1,0,0
name me a country that's happiness score does not coincide with the region it belongs to,[],{'retrieve value'},['dependency'],[],[],0,1,1,0,0
tell me the country with the lowest trust score,[],{'retrieve value'},['find extremum'],[],[],0,1,1,0,0
is there a correlation between happiness scores and other attributes,[],{'correlation'},['correlate'],[],[],0,1,1,0,0
"what countries, other than finland, have higher happiness scores and lower gdp",[],"{'filter', 'retrieve value'}","['compare', 'compare']",[],[],0,2,2,0,0
can you tell me the area in the previous decade that increased rapidly in the happiness score,[],"{'determine range', 'compute derived value'}","['trend', 'trend']",[],[],0,2,2,0,0
"can you tell me, in terms of economy, what is the range across all countries",['determine range'],set(),[],[],[],1,0,0,0,0
show me any clustering there may be in the gdp that has a happiness score of larger than 5,['cluster'],set(),[],[],[],1,0,0,0,0
within the last year have any countries experienced a sudden decrease in happiness score,[],"{'determine range', 'filter', 'characterize distribution'}","['trend', 'trend', 'trend']",[],[],0,3,3,0,0
can you tell me the range of happiness score in western europe,['determine range'],set(),[],[],[],1,0,0,0,0
"out of all the countries, which ones have a happiness score higher then finland",['filter'],{'retrieve value'},['filter'],['filter'],['filter'],1,1,1,1,1
can you tell me in what range will the number of countries in each region fall,[],set(),[],[],[],0,0,0,0,0
please identify the parameters of the happiness score in western europe,[],{'retrieve value'},"['characterize distribution', ' filter']",[],[],0,2,2,0,0
show all the countries with happiness scores higher than 5,[],{'retrieve value'},['filter'],[],[],0,1,1,0,0
name the continent that contains the greatest number of countries that are top 10 on the happiness index,[],{'retrieve value'},['find extremum'],[],[],0,1,1,0,0
do any countries have happiness scores that don 't match with their gdp,[],{'correlate'},['characterize distribution'],[],[],0,1,1,0,0
"of all the countries trust score, which country has the lowest",[],{'retrieve value'},['find extremum'],[],[],0,1,1,0,0
name the country that scores the least on trust,[],{'retrieve value'},['find extremum'],[],[],0,1,1,0,0
what is the range across all the countries in terms of economy,[],{'determine range'},['find extremum'],[],[],0,1,1,0,0
"organize the countries based on happiness score, with the score limit on each group being 10",[],{'sort'},['characterize distribution'],[],[],0,1,1,0,0
show me the distribution of the health score as it is presented in different regions,['distribution'],set(),[],[],[],1,0,0,0,0
tell me the average gdp of countries in western europe,[],{'compute derived value'},"['characterize distribution', ' filter']",[],[],0,2,2,0,0
organize the countries by their region,['sort'],set(),[],[],[],1,0,0,0,0
"for all the regions, can you show me the pattern of the happiness score",[],{'retrieve value'},['cluster'],[],[],0,1,1,0,0
what are all the countries that have a happiness score similar to fineland 5 is an acceptable error score,[],{'find anomalies'},"['filter', ' similarity']",[],[],0,2,2,0,0
what is the range of economy across all the countries,['determine range'],set(),[],[],[],1,0,0,0,0
rank countries high to low by their family score,['sort'],set(),[],['sort'],['sort'],1,0,0,1,1
can we conclude that higher happiness comes from higher freedom,[],{'correlation'},['correlate'],[],[],0,1,1,0,0
what dimension of the happiness index has the maximum fluctuation,[],"{'find extremum', 'characterize distribution'}","['summarize', ' compare', 'summarize', ' compare']",[],[],0,4,4,0,0
retrieve the country that has had a sudden decrease in happiness score within a year,[],{'retrieve value'},['filter'],[],[],0,1,1,0,0
"across all regions, what is the happiness score pattern",[],{'trend'},['characterize distribution'],[],[],0,1,1,0,0
the health score is highest in which country,[],{'retrieve value'},['find extremum'],[],[],0,1,1,0,0
the highest health score is held by which country,['find extremum'],set(),[],['find extremum'],['find extremum'],1,0,0,1,1
please help me identify the least common age,[],{'determine range'},['Find Anomalies'],[],[],0,1,1,0,0
