gemini_query,gemini_positive matches,gemini_llm only matches,gemini_gt only matches,gemini_correct task inferences,gemini_missed task inferences,gemini_positive matches count,gemini_llm only matches count,gemini_gt only matches count,gemini_correct task inferences count,gemini_missed task inferences count
do videos with longer titles get more attention,['correlate'],set(),[],['correlate'],['correlate'],1,0,0,1,1
tell me about the ' plush- bad unboxing fan mail ' video,[],{'summarize'},"['retrieve value', ' filter']",[],[],0,2,2,0,0
can you show me how the likes are distributed,['characterize distribution'],set(),[],[],[],1,0,0,0,0
what is the propensity of the number of vehicles in japan and korea from the year 2000 to 2010,[],"{'trend', 'compare'}","['', '']",[],[],0,2,2,0,0
does life expectancy have any relation with the percentage of smokers,[],{'correlation'},['dependency'],[],[],0,1,1,0,0
is the male to female ratio more imbalanced in the last decade in russia,[],{'compare'},[''],[],[],0,1,1,0,0
show me the gdp ranking of european countries,[],"{'rank', 'sort'}","['', '']",[],[],0,2,2,0,0
"to cluster the states in the us, i wish to use middle income",['cluster'],set(),[],[],[],1,0,0,0,0
do all the countries in africa have a lower average pci than all the countries in europe,[],{'compare'},[''],[],[],0,1,1,0,0
could you tell me the continental location of the poorest ( lowest income ) country,['retrieve value'],{'find extremum'},['retrieve value'],['retrieve value'],['retrieve value'],1,1,1,1,1
"when looking at the average income in european countries, what is the variance",['characterize distribution'],{'summarize'},['characterize distribution'],['characterize distribution'],['characterize distribution'],1,1,1,1,1
what is the average height of the floors of these buildings,[],{'retrieve value'},['characterize distribution'],[],[],0,1,1,0,0
compare the number of tall buildings in hong kong with taiwan,['compare'],set(),[],[],[],1,0,0,0,0
compare the number of tall buildings in hong kong with taiwan,['compare'],set(),[],[],[],1,0,0,0,0
what location has the highest number of tall buildings,['find extremum'],set(),[],['find extremum'],['find extremum'],1,0,0,1,1
"provide the total sum of all the separated, divorced, and widowed people in lindi",['compute derived value'],set(),[],['compute derived value'],['compute derived value'],1,0,0,1,1
does simiyu have a similar structure of peope as that of katavi,['similarity'],set(),[],[],[],1,0,0,0,0
can you tell me how mara attributes are distributed,[],{'Characterize Distribution'},"['distribution', ' filter']",[],[],0,2,2,0,0
is the total attribute of one area equal to the sum of the other attributes in any area,['compare'],set(),[],['compare'],['compare'],1,0,0,1,1
relationship between imdb rating and rotten tomatoes rating,['correlate'],set(),[],[],[],1,0,0,0,0
what's the production budget for movies in different years,[],"{'trend', 'retrieve value', 'summarize'}","['characterize distribution', 'characterize distribution', 'characterize distribution']",[],[],0,3,3,0,0
movie gross and budget relationship based on genre,[],{'Correlate'},['dependency'],[],[],0,1,1,0,0
show me imdb rating versus rotten tomatoes rating,[],{'compare'},['correlate'],[],[],0,1,1,0,0
what creative type of movie had the highest production budget for each content rating,[],"{'compare', 'find extremum'}","['characterize distribution', 'characterize distribution']",[],[],0,2,2,0,0
what is the relationship between production budget and worldwide gross for each major genre,[],{'correlate'},['dependency'],[],[],0,1,1,0,0
what is the relationship between release year and average production budget,[],{'correlation'},['dependency'],[],[],0,1,1,0,0
what major genre had the highest average worldwide gross,['find extremum'],set(),[],['find extremum'],['find extremum'],1,0,0,1,1
what major genre had the lowest average worldwide gross,['find extremum'],set(),[],['find extremum'],['find extremum'],1,0,0,1,1
how much did average worldwide gross vary by major genre,[],{'compare'},['find extremum'],[],[],0,1,1,0,0
how many movies are there are of each creative type,[],{'summarize'},['characterize distribution'],[],[],0,1,1,0,0
which creative type had the most movies,[],"{'retrieve value', 'find extremum'}","['characterize distribution', 'characterize distribution']",[],[],0,2,2,0,0
which creative type had the fewest movies,[],"{'retrieve value', 'find extremum'}","['characterize distribution', 'characterize distribution']",[],[],0,2,2,0,0
what is the total worldwide gross for each major genre across time,['summarize'],{'trend'},['summarize'],[],[],1,1,1,0,0
is there a relationship between production budget and worldwide gross for each content rating,[],{'correlation'},['correlate'],[],[],0,1,1,0,0
what is the distribution of running times for each movie,['characterize distribution'],set(),[],[],[],1,0,0,0,0
is there a relationship between imdb rating and rotten tomatoes rating,['correlate'],set(),[],[],[],1,0,0,0,0
movie run time distribution,['characterize distribution'],set(),[],[],[],1,0,0,0,0
how production budget changes over release years,['trend'],set(),[],[],[],1,0,0,0,0
what was the average production budget of movies by year,['trend'],{'compute derived value'},['trend'],['trend'],['trend'],1,1,1,1,1
"what's the average production budget of the different rated movies, separated by creative type",[],"{'compute derived value', 'summarize'}","['compare', 'compare']",[],[],0,2,2,0,0
which genre movie makes most worldwide gross,['find extremum'],set(),[],['find extremum'],['find extremum'],1,0,0,1,1
are imdb rating and rotten tomatoes rating related,['correlate'],set(),[],[],[],1,0,0,0,0
what is the worldwide gross distribution per genre,[],{'summarize'},['characterize distribution'],[],[],0,1,1,0,0
what's the breakdown of production budget by creative type per content rating,[],{'characterize distribution'},['compare'],[],[],0,1,1,0,0
how does rotten tomatoes rating change as imdb rating,[],{'correlation'},['correlate'],[],[],0,1,1,0,0
what is the total worldwide gross earned by each major genre and content rating,[],{'Summarize'},['compare'],[],[],0,1,1,0,0
"for each genre and rating, what is the total world-wide gross earnings",[],"{'Summarize', 'Find Extremum'}","['compare', 'compare']",[],[],0,2,2,0,0
how much did each type of movie earn in across the whole world,[],{'summarize'},['compare'],[],[],0,1,1,0,0
how much money did movies of each genre and rating make,[],"{'comparison', 'summarize'}","['compare', 'compare']",[],[],0,2,2,0,0
"what was the average budget for each content rating and creative type, as multiple column charts",['compare'],{'summarize'},['compare'],['compare'],['compare'],1,1,1,1,1
what is the average production budget in each year,[],"{'trend', 'retrieve value', 'summarize'}","['characterize distribution', 'characterize distribution', 'characterize distribution']",[],[],0,3,3,0,0
compare imdb rating to rotten tomatoes rating,['compare'],set(),[],[],[],1,0,0,0,0
which creative types have the most movies,[],"{'retrieve value', 'find extremum'}","['characterize distribution', 'characterize distribution']",[],[],0,2,2,0,0
"on average, how much was earned by movies of each genre",[],"{'average', 'retrieve value'}","['compare', ' characterize distribution', 'compare', ' characterize distribution']",[],[],0,4,4,0,0
how many movies are of each length,['Characterize Distribution'],{'Retrieve Value'},['characterize distribution'],['characterize distribution'],['characterize distribution'],1,1,1,1,1
help me see outliers in imdb and rotten tomatoes ratings,['find anomalies'],set(),[],[],[],1,0,0,0,0
what was the average worldwide gross of movies by genre,[],{'compute derived value'},['characterize distribution'],[],[],0,1,1,0,0
how much did major genres gross in total,[],"{'compute derived value', 'summarize'}","['compare', 'compare']",[],[],0,2,2,0,0
gross across genres regarding content rating,[],{'Correlate'},['compare'],[],[],0,1,1,0,0
what's the distribution of running times by movie,['characterize distribution'],set(),[],[],[],1,0,0,0,0
how many movies are there in 20 minute bins of running time,['Characterize Distribution'],set(),[],['characterize distribution'],['characterize distribution'],1,0,0,1,1
how many movies are there for each creative type,[],{'summarize'},['characterize distribution'],[],[],0,1,1,0,0
show me the variation in the amount ordered by different entities in different orders,[],"{'compare', 'summarize'}","['', '']",[],[],0,2,2,0,0
worldwide gross for each genre for each year 1995 to now,[],"{'trend', 'retrieve value'}","['filter', ' compare', 'filter', ' compare']",[],[],0,4,4,0,0
"cumulative gross for each content rating, by major genre",[],{'summarize'},['compare'],[],[],0,1,1,0,0
relation between worldwide gross and production budget for each major genre,[],{'correlation'},['dependency'],[],[],0,1,1,0,0
which position has the highest average of playing time,['find extremum'],{'summarize'},['find extremum'],[],[],1,1,1,0,0
name movies released in 2017,[],{'retrieve value'},['filter'],[],[],0,1,1,0,0
is the normal distribuition satisfied by the length of the movies,['characterize distribution'],set(),[],['characterize distribution'],['characterize distribution'],1,0,0,1,1
sort the movies by length,['sort'],set(),[],[],[],1,0,0,0,0
how long is the run time of average r-rated movies,[],{'retrieve value'},"['characterize distribution', ' filter']",[],[],0,2,2,0,0
give me the numbers of movies that were released in 2017,['filter'],{'retrieve value'},"['compute derived value', ' filter', 'compute derived value']",[],[],1,3,3,0,0
is there an average run time for movies,[],{'retrieve value'},['characterize distribution'],[],[],0,1,1,0,0
is the running time of movies recently longer than it used to be,['trend'],{'compare'},['trend'],[],[],1,1,1,0,0
do movie tags and duration have a connection,[],{'correlate'},['dependency'],[],[],0,1,1,0,0
determine if the running time of movies has increased in recent years,['Trend'],set(),[],[],[],1,0,0,0,0
show me the dates that netflix released movies,[],"{'retrieve value', 'sort'}","['characterize distribution', ' filter', 'characterize distribution', ' filter']",[],[],0,4,4,0,0
does any movies not have a description,[],{'find anomalies'},['summarize'],[],[],0,1,1,0,0
at what point was data added to the table for netflix,[],{'find extremum'},['retrieve value'],[],[],0,1,1,0,0
"what is the percentage of the white population in blount county, alabama",[],{'retrieve value'},"['compute derived value', ' compare', ' filter']",[],[],0,3,3,0,0
"what percentage of the blount county, alabama population is white",[],{'retrieve value'},"['compute derived value', ' compare', ' filter']",[],[],0,3,3,0,0
sort all the counties in connecticut by the percentages of the hispanic population,['sort'],set(),[],[],[],1,0,0,0,0
tell me which county has the greatest number of female residents,['find extremum'],set(),[],['find extremum'],['find extremum'],1,0,0,1,1
calculate the average black population for each state,['compute derived value'],{'summarize'},['compute derived value'],[],[],1,1,1,0,0
i want to see the distribution of the school rankings in geita in 2006,['characterize distribution'],set(),[],[],[],1,0,0,0,0
create a list of schools showing the descending order by change_p,['sort'],set(),[],[],[],1,0,0,0,0
can you provide a list of school names in geita,['retrieve value'],set(),[],['retrieve value'],['retrieve value'],1,0,0,1,1
determine if there are any schools in neighboring regions that have similar avg_m,[],{'find similarity'},['similarity'],[],[],0,1,1,0,0
can you tell me what peacland english medium school's change pre is in 2016,['retrieve value'],set(),[],[],[],1,0,0,0,0
list the values of kwema modern pr school's change_p in all the years,['retrieve value'],set(),[],[],[],1,0,0,0,0
what schools have similar avg_m in the neighboring region,['similarity'],set(),[],[],[],1,0,0,0,0
which of these school have a pass rate of over 90,['filter'],set(),['compare'],[],[],1,1,1,0,0
they want to know what tactic is most effective during football,[],{'find extremum'},['compare'],[],[],0,1,1,0,0
were you aware of the most recent news,[],set(),[],[],[],0,0,0,0,0
the clubs should be arranged by their shooting attempts,[],{'sort'},['compare'],[],[],0,1,1,0,0
what was the total amount of goals scored in the game that liverpool played in,[],{'retrieve value'},['compute derived value'],[],[],0,1,1,0,0
the games are sorted by experts by their date,['sort'],set(),[],[],[],1,0,0,0,0
rank these clubs by their shooting attempts,['rank'],{'retrieve value'},['rank'],[],[],1,1,1,0,0
are the students who are younger more likely to use wechat,[],{'correlation'},"['correlate', ' filter']",[],[],0,2,2,0,0
can lower study times among students cause greater failure rates in class,[],{'correlation'},['correlate'],[],[],0,1,1,0,0
can you name an unusual reason for choosing this school,[],{'retrieve value'},['characterize distribution'],[],[],0,1,1,0,0
could you show me the list sorted by study time ( longest to shortest ),['sort'],set(),[],[],[],1,0,0,0,0
find the distribution by age,['characterize distribution'],set(),[],[],[],1,0,0,0,0
can you tell me which students have fathers that are teachers,['filter'],set(),[],[],[],1,0,0,0,0
retrieve the students with fathers who work as teachers,['filter'],{'retrieve value'},['filter'],[],[],1,1,1,0,0
tell me the youngest students in the dataset,['find extremum'],set(),[],['find extremum'],['find extremum'],1,0,0,1,1
tell me the types of jobs the student's mothers have,[],{'summarize'},['characterize distribution'],[],[],0,1,1,0,0
i 'm wondering would the travel time decrease for students if they spent more time studying,[],{'correlation'},['correlate'],[],[],0,1,1,0,0
would more time spent on studying reduce travel time for students,[],{'correlation'},['correlate'],[],[],0,1,1,0,0
can you tell me the state which may have the largest average population in the next year,[],"{'summarize', 'find extremum'}","['compare', 'compare']",[],[],0,2,2,0,0
can you see any abnormalities in the suicide rates,[],{'find extremum'},['find anomalies'],[],[],0,1,1,0,0
name the country with the lowest suicide rate,['find extremum'],{'retrieve value'},['find extremum'],['find extremum'],['find extremum'],1,1,1,1,1
do you know the average number of suicides in europe,[],{'retrieve value'},['compute derived data'],[],[],0,1,1,0,0
are there any countries with anomalously low suicides rates,['find anomalies'],set(),[],['find anomalies'],['find anomalies'],1,0,0,1,1
is there similarities between gdp per capita and suicide rates,[],{'compare'},['similarity'],[],[],0,1,1,0,0
were there any countries with abnormally low suicide rates,['find anomalies'],set(),[],['find anomalies'],['find anomalies'],1,0,0,1,1
"with the suicide larger than 100, determine the ages in albania",[],"{'retrieve value', 'filter'}","['characterize distribution', 'characterize distribution']",[],[],0,2,2,0,0
the country with the lowest suicide rate is,['find extremum'],{'retrieve value'},['find extremum'],['find extremum'],['find extremum'],1,1,1,1,1
what is the distribution rate of suicide,['characterize distribution'],set(),[],[],[],1,0,0,0,0
what is the total number of all suicides in 1999,[],{'retrieve value'},"['characterize distribution', ' filter']",[],[],0,2,2,0,0
would there be any clustering of countries in terms of suicide rates,['cluster'],set(),[],[],[],1,0,0,0,0
create a list showing the ages of people who committed suicide in albania,['retrieve value'],set(),[],[],[],1,0,0,0,0
"for the gdp of china, has it gone up or down over the last decade",['trend'],set(),[],['trend'],['trend'],1,0,0,1,1
"of all countries, how is the gdp distribution",['Characterize Distribution'],set(),[],[],[],1,0,0,0,0
has there been an increase or decrease in the gdp of china over the last 10 years,['trend'],set(),[],['trend'],['trend'],1,0,0,1,1
how much is the average of profit of each state,[],"{'compute derived value', 'summarize'}","['compare', 'compare']",[],[],0,2,2,0,0
how do the company earn in each state,[],"{'summarize', 'find extremum'}","['compare', 'compare']",[],[],0,2,2,0,0
what were the total sales for each date in each category,['compare'],"{'retrieve value', 'summarize'}","['compare', 'compare']",['compare'],['compare'],1,2,2,1,1
how much was sold each day for each category,[],{'retrieve value'},['compare'],[],[],0,1,1,0,0
what is the average profit for each state,[],{'summarize'},['compare'],[],[],0,1,1,0,0
what is the relationship between profit and sales,[],{'correlation'},['dependency'],[],[],0,1,1,0,0
what is the average profit of each ship mode divided by segment,['compare'],"{'compute derived value', 'summarize'}","['compare', 'compare']",['compare'],['compare'],1,2,2,1,1
what is the sales forecast for each date,[],{'trend'},['compare'],[],[],0,1,1,0,0
how many orders were placed for each order quantity,[],"{'count', 'summarize'}","['characterize distribution', 'characterize distribution']",[],[],0,2,2,0,0
what is the relationship between sales and profit for each region,[],{'correlate'},['dependency'],[],[],0,1,1,0,0
how many orders were placed for each sub-category,[],{'retrieve value'},['characterize distribution'],[],[],0,1,1,0,0
"what is the total profit for each region, based on ship status",[],{'summarize'},['compare'],[],[],0,1,1,0,0
what is the sales trend of the different product categories,['trend'],set(),[],[],[],1,0,0,0,0
how many products have 3 or more quantity ordered,[],{'compute derived value'},['compare'],[],[],0,1,1,0,0
how many products are ordered in single quantity,[],{'retrieve value'},['compare'],[],[],0,1,1,0,0
density of sales across regions and their profitability,[],"{'characterize distribution', 'summarize'}","['compare', 'compare']",[],[],0,2,2,0,0
what are the profits across different states,[],{'retrieve value'},['compare'],[],[],0,1,1,0,0
what product category has more orders placed,[],{'find extremum'},['compare'],[],[],0,1,1,0,0
sales forecast between jan 2016 and july 2017,[],{'trend'},"['retrieve value', ' filter']",[],[],0,2,2,0,0
i want to know how many orders there are by the quantity of the order,[],{'count'},['compute derived value'],[],[],0,1,1,0,0
what is our profit based on shipping mode by customer segment,[],"{'compute derived value', 'summarize'}","['compare', 'compare']",[],[],0,2,2,0,0
what is the sales vs profit ratio of the four regions,[],"{'retrieve value', 'comparison'}","['compare', 'compare']",[],[],0,2,2,0,0
what is the average profit of each state,[],{'summarize'},['compare'],[],[],0,1,1,0,0
what is the sales vs profit ratio of all the zones,['compare'],set(),[],[],[],1,0,0,0,0
what is the average profit of different segments on the ship modes of transport,[],{'retrieve value'},['compare'],[],[],0,1,1,0,0
how much is the profit for sales for each,[],{'retrieve value'},['compare'],[],[],0,1,1,0,0
what is the correlation between sales and profit by region,['correlate'],set(),[],[],[],1,0,0,0,0
can you create a graph showing sales and profit by region,['compare'],set(),[],[],[],1,0,0,0,0
"from all of the universities in london, list the one who has the most faculties",[],{'find extremum'},['filter'],[],[],0,1,1,0,0
show me a university that has more than 30 faculties and more than 50 teachers,['filter'],set(),[],['filter'],['filter'],1,0,0,1,1
universities with similar number of teachers,[],"{'find similarity', 'compare'}","['similarity', 'similarity']",[],[],0,2,2,0,0
"from all of the universities in london, list the one who has the most faculties",[],{'find extremum'},['filter'],[],[],0,1,1,0,0
the universities cover which locations,[],{'retrieve value'},['characterize distribution'],[],[],0,1,1,0,0
what is the teacher distribution of new york universities,['characterize distribution'],set(),[],[],[],1,0,0,0,0
would teachers in harvard be considered outliers if the university was in new york,['Find Anomalies'],set(),[],[],[],1,0,0,0,0
which movie is the highest-grossing,['find extremum'],set(),[],[],[],1,0,0,0,0
do you feel that midfield players have a lower market value than front court players,['compare'],set(),[],['compare'],['compare'],1,0,0,1,1
in the premier league how are the transferred players ages distributed,['characterize distribution'],set(),[],[],[],1,0,0,0,0
tell me a reason why top backcourt players have a higher market value than the top frontcourt player,[],"{'comparison', 'find extremum'}","['filter', 'filter']",[],[],0,2,2,0,0
which player had an abnormal transfer_fee,['find anomalies'],set(),[],[],[],1,0,0,0,0
how old was david when he was transferred in 2010,['retrieve value'],set(),[],[],[],1,0,0,0,0
"what player had a market value of 50,000,000 and was transferred for 58,500,000 in the 2010鈥毭劽011",[],{'retrieve value'},"['filter', ' filter']",[],[],0,2,2,0,0
"for the center forward position, what was the highest market value for the 2011-2012 season",['find extremum'],set(),[],['find extremum'],['find extremum'],1,0,0,1,1
tell me the numbers of the transferred players in different leagues in the 2010-2011 season,[],{'retrieve value'},"['compare', ' filter']",[],[],0,2,2,0,0
"what player had a market value of 50,000,000 and was transferred for 58,500,000 in the 2010‚äì2011",[],{'retrieve value'},"['filter', ' filter']",[],[],0,2,2,0,0
could you buy a player with his market value higher than a transfer fee,['filter'],set(),[],['filter'],['filter'],1,0,0,1,1
what is the average transfer_fee for players who transferred to the premier league,[],{'summarize'},"['characterize distribution', ' filter']",[],[],0,2,2,0,0
list center-backs by what their transfer_fee was,[],{'sort'},"['retrieve value', ' filter']",[],[],0,2,2,0,0
which player was the oldest that was transferred,['find extremum'],set(),[],['find extremum'],['find extremum'],1,0,0,1,1
what is the distribution of the leagues who paid for transferred players in 2010,['characterize distribution'],set(),[],[],[],1,0,0,0,0
are you aware of any clustering of the seasons in which players were transferred to the premier league,['clustering'],set(),[],[],[],1,0,0,0,0
"if you were to average it out, how upbeat would you say the songs are",[],{'summarize'},['characterize distribution'],[],[],0,1,1,0,0
describe the popularity of the loudest song,[],{'summarize'},['retrieve value'],[],[],0,1,1,0,0
can you help me find some popular songs,[],{'find extremum'},['sort'],[],[],0,1,1,0,0
"in terms of length, how long is ' beautiful people '",['retrieve value'],set(),[],['retrieve value'],['retrieve value'],1,0,0,1,1
tell me which genres were mentioned,[],{'retrieve value'},['summarize'],[],[],0,1,1,0,0
what songs of the pop genrea has sam smith released,['filter'],{'retrieve value'},"['compare', 'compare', ' filter']",[],[],1,3,3,0,0
are there singers who span multiple genres,[],{'find anomalies'},['retrieve value'],[],[],0,1,1,0,0
determine in what year the income of undergraduate students was higher,[],{'find extremum'},"['compare', ' trend']",[],[],0,2,2,0,0
how are postgraduate student numbers distributed every year,['characterize distribution'],set(),[],['characterize distribution'],['characterize distribution'],1,0,0,1,1
could you tell me if there is any correlation between the number of undergraduate and postgraduate students,[],{'correlation'},['correlate'],[],[],0,1,1,0,0
state the average income of postgraduate students in each country,[],"{'retrieve value', 'summarize'}","['compare', 'compare']",[],[],0,2,2,0,0
what is the number of postgraduate students for each year,[],{'retrieve value'},['characterize distribution'],[],[],0,1,1,0,0
"in each year, what is the distribution of the number of postgraduates",['characterize distribution'],set(),[],[],[],1,0,0,0,0
the chart teaches them the horsepower range,['determine range'],set(),[],['determine range'],['determine range'],1,0,0,1,1
name me a country that's happiness score does not coincide with the region it belongs to,[],{'find anomalies'},['dependency'],[],[],0,1,1,0,0
tell me the country with the lowest trust score,['find extremum'],set(),[],[],[],1,0,0,0,0
is there a correlation between happiness scores and other attributes,['correlate'],set(),[],[],[],1,0,0,0,0
"what countries, other than finland, have higher happiness scores and lower gdp",[],{'comparison'},['compare'],[],[],0,1,1,0,0
can you tell me the area in the previous decade that increased rapidly in the happiness score,['trend'],{'find extremum'},['trend'],['trend'],['trend'],1,1,1,1,1
"can you tell me, in terms of economy, what is the range across all countries",['determine range'],set(),[],[],[],1,0,0,0,0
show me any clustering there may be in the gdp that has a happiness score of larger than 5,['clustering'],{'filter'},['clustering'],[],[],1,1,1,0,0
within the last year have any countries experienced a sudden decrease in happiness score,[],{'Find Anomalies'},['trend'],[],[],0,1,1,0,0
can you tell me the range of happiness score in western europe,['determine range'],set(),[],[],[],1,0,0,0,0
"out of all the countries, which ones have a happiness score higher then finland",['filter'],"{'retrieve value', 'compare'}","['filter', 'filter']",['filter'],['filter'],1,2,2,1,1
can you tell me in what range will the number of countries in each region fall,[],{'determine range'},['characterize distribution'],[],[],0,1,1,0,0
please identify the parameters of the happiness score in western europe,[],{'retrieve value'},"['characterize distribution', ' filter']",[],[],0,2,2,0,0
show all the countries with happiness scores higher than 5,['filter'],{'retrieve value'},['filter'],[],[],1,1,1,0,0
name the continent that contains the greatest number of countries that are top 10 on the happiness index,['find extremum'],set(),[],['find extremum'],['find extremum'],1,0,0,1,1
do any countries have happiness scores that don 't match with their gdp,[],{'Compare'},['characterize distribution'],[],[],0,1,1,0,0
"of all the countries trust score, which country has the lowest",['find extremum'],{'retrieve value'},['find extremum'],['find extremum'],['find extremum'],1,1,1,1,1
name the country that scores the least on trust,['find extremum'],set(),[],['find extremum'],['find extremum'],1,0,0,1,1
what is the range across all the countries in terms of economy,[],{'determine range'},['find extremum'],[],[],0,1,1,0,0
"organize the countries based on happiness score, with the score limit on each group being 10",[],{'sort'},['characterize distribution'],[],[],0,1,1,0,0
show me the distribution of the health score as it is presented in different regions,['characterize distribution'],set(),[],[],[],1,0,0,0,0
tell me the average gdp of countries in western europe,[],{'retrieve value'},"['characterize distribution', ' filter']",[],[],0,2,2,0,0
organize the countries by their region,['Sort'],set(),[],[],[],1,0,0,0,0
"for all the regions, can you show me the pattern of the happiness score",[],{'trend'},['cluster'],[],[],0,1,1,0,0
what are all the countries that have a happiness score similar to fineland 5 is an acceptable error score,['similarity'],set(),['filter'],[],[],1,1,1,0,0
what is the range of economy across all the countries,['determine range'],set(),[],[],[],1,0,0,0,0
rank countries high to low by their family score,['sort'],{'rank'},['sort'],[],[],1,1,1,0,0
can we conclude that higher happiness comes from higher freedom,[],{'compare'},['correlate'],[],[],0,1,1,0,0
what dimension of the happiness index has the maximum fluctuation,['summarize'],{'find extremum'},"['summarize', ' compare']",['summarize'],['summarize'],1,2,2,1,1
retrieve the country that has had a sudden decrease in happiness score within a year,[],{'find anomalies'},['filter'],[],[],0,1,1,0,0
"across all regions, what is the happiness score pattern",[],"{'trend', 'summarize'}","['characterize distribution', 'characterize distribution']",[],[],0,2,2,0,0
the health score is highest in which country,['find extremum'],set(),[],['find extremum'],['find extremum'],1,0,0,1,1
the highest health score is held by which country,['find extremum'],set(),[],['find extremum'],['find extremum'],1,0,0,1,1
please help me identify the least common age,[],{'find extremum'},['Find Anomalies'],[],[],0,1,1,0,0
