Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
Zlatan Ibrahimovic,Centre-Forward,30,AC Milan,Serie A,Paris SG,Ligue 1,2012-2013,37000000,21000000
Javi García,Defensive Midfield,25,Benfica,Liga NOS,Man City,Premier League,2012-2013,15000000,20200000
Mario Balotelli,Centre-Forward,22,Man City,Premier League,AC Milan,Serie A,2012-2013,24000000,20000000
Alex Song,Defensive Midfield,24,Arsenal,Premier League,FC Barcelona,LaLiga,2012-2013,25000000,19000000
Santi Cazorla,Central Midfield,27,Málaga CF,LaLiga,Arsenal,Premier League,2012-2013,20000000,19000000
Mousa Dembélé,Central Midfield,25,Fulham,Premier League,Spurs,Premier League,2012-2013,13000000,19000000
Joe Allen,Central Midfield,22,Swansea,Premier League,Liverpool,Premier League,2012-2013,4000000,19000000
Kwadwo Asamoah,Left-Back,23,Udinese Calcio,Serie A,Juventus,Serie A,2012-2013,15000000,18000000
Lacina Traoré,Centre-Forward,22,Kuban Krasnodar,Premier Liga,Anzhi,Premier Liga,2012-2013,7000000,18000000
Marco Reus,Left Winger,23,Bor. M'gladbach,1.Bundesliga,Bor. Dortmund,1.Bundesliga,2012-2013,20000000,17100000
Shinji Kagawa,Attacking Midfield,23,Bor. Dortmund,1.Bundesliga,Man Utd,Premier League,2012-2013,22000000,16000000
Taison,Left Winger,25,Metalist,Premier Liga,Shakhtar D.,Premier Liga,2012-2013,12000000,15240000
Gastón Ramírez,Attacking Midfield,21,Bologna,Serie A,Southampton,Premier League,2012-2013,13500000,15200000
Steven Fletcher,Centre-Forward,25,Wolves,Championship,Sunderland,Premier League,2012-2013,6000000,15200000
Matija Nastasic,Centre-Back,19,Fiorentina,Serie A,Man City,Premier League,2012-2013,5500000,15200000
Alexandre Pato,Centre-Forward,23,AC Milan,Serie A,Corinthians,Série A,2012-2013,28500000,15000000
Lukas Podolski,Centre-Forward,27,1. FC Köln,2.Bundesliga,Arsenal,Premier League,2012-2013,20000000,15000000
Daniel Sturridge,Centre-Forward,23,Chelsea,Premier League,Liverpool,Premier League,2012-2013,16000000,15000000
Christopher Samba,Centre-Back,28,Anzhi,Premier Liga,QPR,Premier League,2012-2013,15000000,15000000
Jack Rodwell,Defensive Midfield,21,Everton,Premier League,Man City,Premier League,2012-2013,15000000,15000000
Samir Handanovic,Goalkeeper,28,Udinese Calcio,Serie A,Inter,Serie A,2012-2013,15000000,15000000
Jordi Alba,Left-Back,23,Valencia CF,LaLiga,FC Barcelona,LaLiga,2012-2013,10000000,14000000
Carlos Vela,Right Winger,23,Arsenal,Premier League,Real Sociedad,LaLiga,2012-2013,8000000,14000000
Mauricio Isla,Right-Back,24,Udinese Calcio,Serie A,Juventus,Serie A,2012-2013,14000000,13900000
Fabio Borini,Left Winger,21,AS Roma,Serie A,Liverpool,Premier League,2012-2013,9000000,13300000
Rafael van der Vaart,Attacking Midfield,29,Spurs,Premier League,Hamburger SV,1.Bundesliga,2012-2013,24500000,13000000
Mario Mandzukic,Left Winger,26,VfL Wolfsburg,1.Bundesliga,Bayern Munich ,1.Bundesliga,2012-2013,14000000,13000000
Lucas Ocampos,Left Winger,18,River Plate,Torneo Final,Monaco,Ligue 2,2012-2013,9000000,13000000
Philippe Coutinho,Attacking Midfield,20,Inter,Serie A,Liverpool,Premier League,2012-2013,9000000,13000000
Hugo Lloris,Goalkeeper,25,Olympique Lyon,Ligue 1,Spurs,Premier League,2012-2013,19000000,12600000
Adam Johnson,Right Winger,25,Man City,Premier League,Sunderland,Premier League,2012-2013,10500000,12600000
Jan Vertonghen,Centre-Back,25,AFC Ajax,Eredivisie,Spurs,Premier League,2012-2013,15000000,12500000
Giampaolo Pazzini,Centre-Forward,28,Inter,Serie A,AC Milan,Serie A,2012-2013,14500000,12500000
Yann M'Vila,Defensive Midfield,22,Stade Rennais,Ligue 1,Rubin Kazan,Premier Liga,2012-2013,15000000,12000000
Olivier Giroud,Centre-Forward,25,Montpellier,Ligue 1,Arsenal,Premier League,2012-2013,13000000,12000000
Luuk de Jong,Centre-Forward,21,FC Twente,Eredivisie,Bor. M'gladbach,1.Bundesliga,2012-2013,12000000,12000000
Marco Verratti,Central Midfield,19,Pescara,Serie A,Paris SG,Ligue 1,2012-2013,10000000,12000000
Ola John,Left Winger,20,FC Twente,Eredivisie,Benfica,Liga NOS,2012-2013,2500000,12000000
Paulo Dybala,Second Striker,18,Instituto,Primera B Nacional,US Palermo,Serie A,2012-2013,2000000,11900000
Xherdan Shaqiri,Right Winger,20,FC Basel,Super League,Bayern Munich ,1.Bundesliga,2012-2013,12500000,11800000
Wilfried Zaha,Right Winger,20,Crystal Palace,Championship,Man Utd,Premier League,2012-2013,3500000,11750000
Victor Moses,Right Midfield,21,Wigan,Premier League,Chelsea,Premier League,2012-2013,6500000,11500000
Sebastian Giovinco,Second Striker,25,Parma,Serie A,Juventus,Serie A,2012-2013,12500000,11000000
Fredy Guarín,Central Midfield,26,FC Porto,Liga NOS,Inter,Serie A,2012-2013,12000000,11000000
Eduardo Salvio,Right Winger,22,Atlético Madrid,LaLiga,Benfica,Liga NOS,2012-2013,10000000,11000000
Manolo Gabbiadini,Centre-Forward,20,Atalanta,Serie A,Juventus,Serie A,2012-2013,4500000,11000000
Mateo Kovacic,Central Midfield,18,Dinamo Zagreb,1.HNL,Inter,Serie A,2012-2013,3000000,11000000
Loïc Rémy,Centre-Forward,26,Marseille,Ligue 1,QPR,Premier League,2012-2013,15000000,10500000
Rodrigo Palacio,Centre-Forward,30,Genoa,Serie A,Inter,Serie A,2012-2013,12000000,10500000
Mário Fernandes,Right-Back,21,Grêmio,Série A,CSKA Moscow,Premier Liga,2012-2013,9000000,10500000
Jordan Rhodes,Centre-Forward,22,Huddersfield,Championship,Blackburn,Championship,2012-2013,3500000,10100000
Álvaro Pereira,Left-Back,26,FC Porto,Liga NOS,Inter,Serie A,2012-2013,16000000,10000000
Raúl Meireles,Central Midfield,29,Chelsea,Premier League,Fenerbahce,Süper Lig,2012-2013,15000000,10000000
Nilmar,Centre-Forward,28,Villarreal CF,LaLiga2,Al Rayyan,Stars League,2012-2013,15000000,10000000
Giuseppe Rossi,Centre-Forward,25,Villarreal CF,LaLiga2,Fiorentina,Serie A,2012-2013,10000000,10000000
Marvin Martin,Attacking Midfield,24,FC Sochaux,Ligue 1,LOSC Lille,Ligue 1,2012-2013,9500000,10000000
Gylfi Sigurdsson,Attacking Midfield,22,TSG Hoffenheim,1.Bundesliga,Spurs,Premier League,2012-2013,8500000,10000000
Nacho Monreal,Left-Back,26,Málaga CF,LaLiga,Arsenal,Premier League,2012-2013,6000000,10000000
Matt Jarvis,Left Winger,26,Wolves,Championship,West Ham,Premier League,2012-2013,8000000,9500000
Ganso,Attacking Midfield,22,Santos FC,Série A,São Paulo,Série A,2012-2013,18000000,9100000
Raffael,Second Striker,27,Hertha BSC,2.Bundesliga,Dynamo Kyiv,Premier Liga,2012-2013,9000000,9000000
José Salomón Rondón,Centre-Forward,22,Málaga CF,LaLiga,Rubin Kazan,Premier Liga,2012-2013,9000000,9000000
Jackson Martínez,Centre-Forward,25,Chiapas FC,Liga MX Clausura,FC Porto,Liga NOS,2012-2013,5000000,8890000
César Azpilicueta,Right-Back,23,Marseille,Ligue 1,Chelsea,Premier League,2012-2013,7500000,8800000
Christian Benteke,Centre-Forward,21,KRC Genk,Jupiler Pro League,Aston Villa,Premier League,2012-2013,3000000,8800000
Jay Rodríguez,Centre-Forward,22,Burnley,Championship,Southampton,Premier League,2012-2013,5000000,8650000
Nordin Amrabat,Left Winger,25,Kayserispor,Süper Lig,Galatasaray,Süper Lig,2012-2013,6000000,8600000
Demba Ba,Centre-Forward,27,Newcastle,Premier League,Chelsea,Premier League,2012-2013,15000000,8500000
Lucas Barrios,Centre-Forward,27,Bor. Dortmund,1.Bundesliga,GZ Evergrande,Super League,2012-2013,10000000,8500000
Granit Xhaka,Defensive Midfield,19,FC Basel,Super League,Bor. M'gladbach,1.Bundesliga,2012-2013,8500000,8500000
Vurnon Anita,Defensive Midfield,23,AFC Ajax,Eredivisie,Newcastle,Premier League,2012-2013,6000000,8500000
Diego Souza,Attacking Midfield,27,Vasco da Gama,Série A,Ittihad,Professional League,2012-2013,4500000,8200000
Marko Marin,Left Winger,23,Werder Bremen,1.Bundesliga,Chelsea,Premier League,2012-2013,13000000,8000000
Martín Cáceres,Right-Back,25,Sevilla FC,LaLiga,Juventus,Serie A,2012-2013,9500000,8000000
Mapou Yanga-Mbiwa,Centre-Back,23,Montpellier,Ligue 1,Newcastle,Premier League,2012-2013,9000000,8000000
Álvaro Domínguez,Centre-Back,23,Atlético Madrid,LaLiga,Bor. M'gladbach,1.Bundesliga,2012-2013,8000000,8000000
Valon Behrami,Defensive Midfield,27,Fiorentina,Serie A,SSC Napoli,Serie A,2012-2013,8000000,8000000
Esteban Granero,Central Midfield,25,Real Madrid,LaLiga,QPR,Premier League,2012-2013,7000000,8000000
Ivan Perisic,Left Winger,23,Bor. Dortmund,1.Bundesliga,VfL Wolfsburg,1.Bundesliga,2012-2013,7000000,8000000
Aleksandr Samedov,Right Winger,27,Dinamo Moscow,Premier Liga,Loko Moscow,Premier Liga,2012-2013,6500000,8000000
Kévin Constant,Defensive Midfield,25,Genoa,Serie A,AC Milan,Serie A,2012-2013,6000000,8000000
Marco Ruben,Centre-Forward,25,Villarreal CF,LaLiga2,Dynamo Kyiv,Premier Liga,2012-2013,6000000,8000000
Davide Faraoni,Right Midfield,20,Inter,Serie A,Udinese Calcio,Serie A,2012-2013,4000000,8000000
Rômulo,Defensive Midfield,21,Vasco da Gama,Série A,Spartak Moscow,Premier Liga,2012-2013,2500000,8000000
Scott Sinclair,Left Midfield,23,Swansea,Premier League,Man City,Premier League,2012-2013,8000000,7800000
Kevin Mirallas,Right Winger,24,Olympiacos,Super League,Everton,Premier League,2012-2013,8000000,7650000
Wesley Sneijder,Attacking Midfield,28,Inter,Serie A,Galatasaray,Süper Lig,2012-2013,19000000,7500000
Clint Dempsey,Second Striker,29,Fulham,Premier League,Spurs,Premier League,2012-2013,15000000,7500000
Asamoah Gyan,Centre-Forward,26,Sunderland,Premier League,Al-Ain FC,UAE Gulf League,2012-2013,12000000,7500000
Goran Pandev,Second Striker,28,Inter,Serie A,SSC Napoli,Serie A,2012-2013,11000000,7500000
Miguel Veloso,Defensive Midfield,26,Genoa,Serie A,Dynamo Kyiv,Premier Liga,2012-2013,8000000,7500000
Sergio Canales,Attacking Midfield,21,Real Madrid,LaLiga,Valencia CF,LaLiga,2012-2013,5000000,7500000
Yura Movsisyan,Centre-Forward,25,Krasnodar,Premier Liga,Spartak Moscow,Premier Liga,2012-2013,3200000,7500000
Nick Powell,Attacking Midfield,18,Crewe Alexandra,League One,Man Utd,Premier League,2012-2013,250000,7500000
Borja Valero,Central Midfield,27,Villarreal CF,LaLiga2,Fiorentina,Serie A,2012-2013,12000000,7000000
Milos Krasic,Central Midfield,27,Juventus,Serie A,Fenerbahce,Süper Lig,2012-2013,11000000,7000000
Mattia Destro,Centre-Forward,21,Siena,Serie A,Genoa,Serie A,2012-2013,10000000,7000000
Pablo Hernández,Right Winger,27,Valencia CF,LaLiga,Swansea,Premier League,2012-2013,9000000,7000000
Bas Dost,Centre-Forward,23,Heerenveen,Eredivisie,VfL Wolfsburg,1.Bundesliga,2012-2013,8000000,7000000
Niko Kranjcar,Attacking Midfield,27,Spurs,Premier League,Dynamo Kyiv,Premier Liga,2012-2013,7500000,7000000
Philipp Wollscheid,Centre-Back,23,1.FC Nuremberg,1.Bundesliga,Bay. Leverkusen,1.Bundesliga,2012-2013,7500000,7000000
Vedran Corluka,Centre-Back,26,Spurs,Premier League,Loko Moscow,Premier Liga,2012-2013,7500000,7000000
Sung-yong Ki,Defensive Midfield,23,Celtic,Premiership,Swansea,Premier League,2012-2013,3500000,7000000
Alessio Cerci,Right Winger,25,Fiorentina,Serie A,Torino,Serie A,2012-2013,6500000,6750000
Renato Augusto,Central Midfield,24,Bay. Leverkusen,1.Bundesliga,Corinthians,Série A,2012-2013,7000000,6700000
Luís Neto,Centre-Back,24,Siena,Serie A,Zenit S-Pb,Premier Liga,2012-2013,6000000,6500000
Alberto Paloschi,Centre-Forward,23,AC Milan,Serie A,Chievo Verona,Serie A,2012-2013,5000000,6500000
Emmanuel Adebayor,Centre-Forward,28,Man City,Premier League,Spurs,Premier League,2012-2013,25000000,6400000
Mathieu Debuchy,Right-Back,27,LOSC Lille,Ligue 1,Newcastle,Premier League,2012-2013,15000000,6200000
Charlie Adam,Central Midfield,26,Liverpool,Premier League,Stoke City,Premier League,2012-2013,8000000,6200000
Gregory van der Wiel,Right-Back,24,AFC Ajax,Eredivisie,Paris SG,Ligue 1,2012-2013,9000000,6000000
Stéphane Mbia,Defensive Midfield,26,Marseille,Ligue 1,QPR,Premier League,2012-2013,9000000,6000000
Rasmus Elm,Defensive Midfield,24,AZ Alkmaar,Eredivisie,CSKA Moscow,Premier Liga,2012-2013,8000000,6000000
Aly Cissokho,Left-Back,24,Olympique Lyon,Ligue 1,Valencia CF,LaLiga,2012-2013,7000000,6000000
Vágner Love,Centre-Forward,28,Flamengo,Série A,CSKA Moscow,Premier Liga,2012-2013,6500000,6000000
Iván Ramis,Centre-Back,27,RCD Mallorca,LaLiga,Wigan,Premier League,2012-2013,6000000,6000000
Wálter Montillo,Attacking Midfield,28,Cruzeiro,Série A,Santos FC,Série A,2012-2013,5000000,6000000
Modibo Maïga,Centre-Forward,24,FC Sochaux,Ligue 1,West Ham,Premier League,2012-2013,5000000,6000000
Luc Castaignos,Centre-Forward,19,Inter,Serie A,FC Twente,Eredivisie,2012-2013,4500000,6000000
Alex,Attacking Midfield,30,Corinthians,Série A,Al Gharafa,Stars League,2012-2013,3500000,6000000
Joselu,Centre-Forward,22,RM Castilla,LaLiga2,TSG Hoffenheim,1.Bundesliga,2012-2013,NA,6000000
Danny Graham,Centre-Forward,27,Swansea,Premier League,Sunderland,Premier League,2012-2013,4000000,5800000
André,Centre-Forward,21,Dynamo Kyiv,Premier Liga,Atlético-MG,Série A,2012-2013,2500000,5800000
Steven Pienaar,Left Winger,30,Spurs,Premier League,Everton,Premier League,2012-2013,7000000,5750000
Elkeson,Centre-Forward,23,Botafogo,Série A,GZ Evergrande,Super League,2012-2013,3000000,5700000
Marquinhos,Centre-Back,18,Corinthians,Série A,AS Roma,Serie A,2012-2013,750000,5700000
Julian Schieber,Centre-Forward,23,VfB Stuttgart,1.Bundesliga,Bor. Dortmund,1.Bundesliga,2012-2013,8000000,5500000
Eren Derdiyok,Centre-Forward,24,Bay. Leverkusen,1.Bundesliga,TSG Hoffenheim,1.Bundesliga,2012-2013,7500000,5500000
Dusan Tadic,Attacking Midfield,23,FC Groningen,Eredivisie,FC Twente,Eredivisie,2012-2013,7500000,5500000
Eljero Elia,Left Winger,25,Juventus,Serie A,Werder Bremen,1.Bundesliga,2012-2013,5000000,5500000
Ángelo Henríquez,Centre-Forward,18,U. de Chile,Primera División,Man Utd,Premier League,2012-2013,150000,5500000
Ewerton,Centre-Back,23,Coimbra-MG, Brazil,Anzhi,Premier Liga,2012-2013,5500000,5400000
Wallace Oliveira,Right-Back,18,Fluminense,Série A,Chelsea,Premier League,2012-2013,2000000,5400000
Ezequiel Schelotto,Right-Back,23,Atalanta,Serie A,Inter,Serie A,2012-2013,6500000,5300000
Maicosuel,Left Winger,26,Botafogo,Série A,Udinese Calcio,Serie A,2012-2013,2500000,5300000
Diego Tardelli,Centre-Forward,27,Al Gharafa,Stars League,Atlético-MG,Série A,2012-2013,2000000,5250000
Marko Livaja,Centre-Forward,19,Inter,Serie A,Atalanta,Serie A,2012-2013,1800000,5050000
Burak Yilmaz,Centre-Forward,27,Trabzonspor,Süper Lig,Galatasaray,Süper Lig,2012-2013,12000000,5000000
Dimitar Berbatov,Centre-Forward,31,Man Utd,Premier League,Fulham,Premier League,2012-2013,11500000,5000000
Antonio Cassano,Second Striker,30,AC Milan,Serie A,Inter,Serie A,2012-2013,10000000,5000000
Bruno César,Left Midfield,24,Benfica,Liga NOS,Ahli,Professional League,2012-2013,9000000,5000000
Lassana Diarra,Defensive Midfield,27,Real Madrid,LaLiga,Anzhi,Premier Liga,2012-2013,8000000,5000000
Dedé,Centre-Back,24,Vasco da Gama,Série A,Cruzeiro,Série A,2012-2013,7500000,5000000
Paulinho,Central Midfield,24,Coimbra-MG, Brazil,Corinthians,Série A,2012-2013,7500000,5000000
Marko Devic,Centre-Forward,28,Metalist,Premier Liga,Shakhtar D.,Premier Liga,2012-2013,7000000,5000000
Youssef El Arabi,Centre-Forward,25,Hilal,Professional League,Granada CF,LaLiga,2012-2013,6500000,5000000
Germán Denis,Centre-Forward,30,Udinese Calcio,Serie A,Atalanta,Serie A,2012-2013,5500000,5000000
Alain Traoré,Attacking Midfield,23,AJ Auxerre,Ligue 2,FC Lorient,Ligue 1,2012-2013,5000000,5000000
Ben Foster,Goalkeeper,29,Birmingham,Championship,West Brom,Premier League,2012-2013,5000000,5000000
Daniel Congré,Centre-Back,27,Toulouse,Ligue 1,Montpellier,Ligue 1,2012-2013,4500000,5000000
Dame N'Doye,Centre-Forward,27,FC Copenhagen,Superligaen,Loko Moscow,Premier Liga,2012-2013,4500000,5000000
Domagoj Vida,Centre-Back,23,Dinamo Zagreb,1.HNL,Dynamo Kyiv,Premier Liga,2012-2013,4000000,5000000
Iván Marcano,Centre-Back,25,Villarreal CF,LaLiga2,Rubin Kazan,Premier Liga,2012-2013,3750000,5000000
Alexander Büttner,Left-Back,23,Vitesse,Eredivisie,Man Utd,Premier League,2012-2013,3000000,5000000
Leandro Castán,Centre-Back,25,Corinthians,Série A,AS Roma,Serie A,2012-2013,2500000,5000000
Daniel Carvajal,Right-Back,20,RM Castilla,LaLiga2,Bay. Leverkusen,1.Bundesliga,2012-2013,NA,5000000
Naldo,Centre-Back,29,Werder Bremen,1.Bundesliga,VfL Wolfsburg,1.Bundesliga,2012-2013,6500000,4800000
Dante,Centre-Back,28,Bor. M'gladbach,1.Bundesliga,Bayern Munich ,1.Bundesliga,2012-2013,8000000,4700000
Alfred N'Diaye,Defensive Midfield,22,Bursaspor,Süper Lig,Sunderland,Premier League,2012-2013,3800000,4700000
Junior Fernandes,Left Winger,24,U. de Chile,Primera División,Bay. Leverkusen,1.Bundesliga,2012-2013,800000,4700000
Salvatore Bocchetti,Centre-Back,26,Rubin Kazan,Premier Liga,Spartak Moscow,Premier Liga,2012-2013,13000000,4500000
Federico Balzaretti,Left-Back,30,US Palermo,Serie A,AS Roma,Serie A,2012-2013,8500000,4500000
Jonathan Biabiany,Right Winger,24,Sampdoria,Serie A,Parma,Serie A,2012-2013,8000000,4500000
Mehmet Topal,Defensive Midfield,26,Valencia CF,LaLiga,Fenerbahce,Süper Lig,2012-2013,8000000,4500000
Giovanni Moreno,Attacking Midfield,26,Racing Club,Torneo Final,SH Shenhua,Super League,2012-2013,4500000,4500000
Fernandinho,Left Winger,26,Desp. Brasil, Brazil,Al-Jazira,UAE Gulf League,2012-2013,1000000,4500000
Bryan Oviedo,Left-Back,22,FC Copenhagen,Superligaen,Everton,Premier League,2012-2013,800000,4500000
Steven Nzonzi,Defensive Midfield,23,Blackburn,Championship,Stoke City,Premier League,2012-2013,4500000,4400000
Hanchao Yu,Left Winger,25,Liaoning FC,Super League,DL Yifang,Super League,2012-2013,250000,4300000
Youssef Msakni,Left Winger,22,Esperance,Ligue I Pro,Al Duhail,Stars League,2012-2013,2750000,4250000
Nenad Tomovic,Centre-Back,25,Genoa,Serie A,Fiorentina,Serie A,2012-2013,1300000,4200000
Luciano Narsingh,Right Winger,21,Heerenveen,Eredivisie,PSV Eindhoven,Eredivisie,2012-2013,7000000,4100000
Lima,Centre-Forward,29,Braga,Liga NOS,Benfica,Liga NOS,2012-2013,8000000,4000000
Oussama Assaidi,Left Winger,24,Heerenveen,Eredivisie,Liverpool,Premier League,2012-2013,7000000,4000000
Ciro Immobile,Centre-Forward,22,Juventus,Serie A,Genoa,Serie A,2012-2013,6500000,4000000
Emmanuel Mayuka,Centre-Forward,21,BSC Young Boys,Super League,Southampton,Premier League,2012-2013,6000000,4000000
Petr Jiracek,Central Midfield,26,VfL Wolfsburg,1.Bundesliga,Hamburger SV,1.Bundesliga,2012-2013,6000000,4000000
Issiar Dia,Right Winger,25,Fenerbahce,Süper Lig,Al Duhail,Stars League,2012-2013,5000000,4000000
Delvin N'Dinga,Defensive Midfield,24,AJ Auxerre,Ligue 2,Monaco,Ligue 2,2012-2013,5000000,4000000
Niklas Moisander,Centre-Back,26,AZ Alkmaar,Eredivisie,AFC Ajax,Eredivisie,2012-2013,5000000,4000000
Richmond Boakye,Centre-Forward,19,Genoa,Serie A,Juventus,Serie A,2012-2013,5000000,4000000
Chinedu Obasi,Right Winger,26,TSG Hoffenheim,1.Bundesliga,FC Schalke 04,1.Bundesliga,2012-2013,4500000,4000000
Benjamin Corgnet,Attacking Midfield,25,Dijon,Ligue 2,FC Lorient,Ligue 1,2012-2013,4500000,4000000
Samba Diakité,Defensive Midfield,23,AS Nancy,Ligue 1,QPR,Premier League,2012-2013,4500000,4000000
Emmanuel Rivière,Centre-Forward,22,Toulouse,Ligue 1,Monaco,Ligue 2,2012-2013,4500000,4000000
Romain Hamouma,Right Winger,25,SM Caen,Ligue 2,Saint-Étienne,Ligue 1,2012-2013,4500000,4000000
Francesco Acerbi,Centre-Back,24,Chievo Verona,Serie A,AC Milan,Serie A,2012-2013,4500000,4000000
Milan Badelj,Defensive Midfield,23,Dinamo Zagreb,1.HNL,Hamburger SV,1.Bundesliga,2012-2013,4500000,4000000
Vladislav Ignatjev,Right Midfield,25,Loko Moscow,Premier Liga,Krasnodar,Premier Liga,2012-2013,4000000,4000000
Francesco Acerbi,Centre-Back,24,AC Milan,Serie A,Genoa,Serie A,2012-2013,4000000,4000000
Willian,Centre-Forward,25,Coimbra-MG, Brazil,Metalist,Premier Liga,2012-2013,3000000,4000000
David Abraham,Centre-Back,26,Getafe CF,LaLiga,TSG Hoffenheim,1.Bundesliga,2012-2013,3000000,4000000
Geoffrey Kondogbia,Central Midfield,19,Lens,Ligue 2,Sevilla FC,LaLiga,2012-2013,3000000,4000000
Dorlan Pabón,Second Striker,24,Atl. Nacional,Liga Águila II,Parma,Serie A,2012-2013,2800000,4000000
Sadio Diallo,Attacking Midfield,21,SC Bastia,Ligue 1,Stade Rennais,Ligue 1,2012-2013,2500000,4000000
Ibrahima Baldé,Centre-Forward,23,CA Osasuna,LaLiga,Kuban Krasnodar,Premier Liga,2012-2013,2500000,4000000
Gabriel Silva,Left-Back,21,Granada CF,LaLiga,Udinese Calcio,Serie A,2012-2013,2500000,4000000
Marcos Rojo,Centre-Back,22,Spartak Moscow,Premier Liga,Sporting CP,Liga NOS,2012-2013,2000000,4000000
Valentín Viola,Left Winger,20,Racing Club,Torneo Final,Sporting CP,Liga NOS,2012-2013,1400000,4000000
Ismaily,Left-Back,23,Braga,Liga NOS,Shakhtar D.,Premier Liga,2012-2013,1300000,4000000
Andrey Eshchenko,Right-Back,28,Loko Moscow,Premier Liga,Anzhi,Premier Liga,2012-2013,1200000,4000000
Sadio Mané,Left Winger,20,FC Metz,Championnat National,RB Salzburg,Bundesliga,2012-2013,500000,4000000
Arouna Koné,Centre-Forward,28,Levante UD,LaLiga,Wigan,Premier League,2012-2013,7000000,3800000
Ron Vlaar,Centre-Back,27,Feyenoord,Eredivisie,Aston Villa,Premier League,2012-2013,6000000,3800000
Bakary Sako,Left Winger,24,Saint-Étienne,Ligue 1,Wolves,Championship,2012-2013,5000000,3800000
Nicola Leali,Goalkeeper,19,Brescia,Serie B,Juventus,Serie A,2012-2013,3500000,3800000
Leon Best,Centre-Forward,25,Newcastle,Premier League,Blackburn,Championship,2012-2013,3000000,3800000
Adrian Mariappa,Centre-Back,25,Watford,Championship,Reading,Premier League,2012-2013,2000000,3800000
Jack Butland,Goalkeeper,19,Birmingham,Championship,Stoke City,Premier League,2012-2013,1000000,3800000
Alexis Rolín,Centre-Back,23,Nacional,Primera División,Catania,Serie A,2012-2013,900000,3800000
Maicon,Right-Back,31,Inter,Serie A,Man City,Premier League,2012-2013,14500000,3750000
Junior Hoilett,Left Winger,22,Blackburn,Championship,QPR,Premier League,2012-2013,9000000,3750000
Hasan Ali Kaldirim,Left-Back,22,Kayserispor,Süper Lig,Fenerbahce,Süper Lig,2012-2013,4000000,3750000
Michael Bradley,Central Midfield,24,Chievo Verona,Serie A,AS Roma,Serie A,2012-2013,3500000,3750000
Matthew Lowton,Right-Back,23,Sheffield Utd.,League One,Aston Villa,Premier League,2012-2013,3500000,3750000
Josef,Defensive Midfield,23,FC Porto,Liga NOS,Grêmio,Série A,2012-2013,2500000,3750000
João Pereira,Right-Back,28,Sporting CP,Liga NOS,Valencia CF,LaLiga,2012-2013,10500000,3700000
Ante Vukusic,Centre-Forward,21,Hajduk Split,1.HNL,Pescara,Serie A,2012-2013,5000000,3700000
Jirès Kembo-Ekoko,Left Winger,24,Stade Rennais,Ligue 1,Al-Ain FC,UAE Gulf League,2012-2013,4000000,3700000
Jonathas,Centre-Forward,23,Brescia,Serie B,Pescara,Serie A,2012-2013,2000000,3700000
Luís Neto,Centre-Back,24,Nacional,Liga NOS,Siena,Serie A,2012-2013,3000000,3650000
Andrea Rossi,Left-Back,25,Siena,Serie A,Parma,Serie A,2012-2013,300000,3600000
Barreto,Second Striker,27,Udinese Calcio,Serie A,Torino,Serie A,2012-2013,2000000,3550000
Nigel de Jong,Defensive Midfield,27,Man City,Premier League,AC Milan,Serie A,2012-2013,13000000,3500000
Emiliano Insúa,Left-Back,24,Sporting CP,Liga NOS,Atlético Madrid,LaLiga,2012-2013,10000000,3500000
Sokratis,Centre-Back,24,Genoa,Serie A,Werder Bremen,1.Bundesliga,2012-2013,10000000,3500000
Diego López,Goalkeeper,30,Villarreal CF,LaLiga2,Sevilla FC,LaLiga,2012-2013,8000000,3500000
Zvjezdan Misimovic,Attacking Midfield,30,Dinamo Moscow,Premier Liga,BJ Renhe,Super League,2012-2013,6500000,3500000
Fernando Gago,Defensive Midfield,26,Real Madrid,LaLiga,Valencia CF,LaLiga,2012-2013,6500000,3500000
Anthony Mounier,Left Winger,24,OGC Nice,Ligue 1,Montpellier,Ligue 1,2012-2013,6000000,3500000
Paolo Guerrero,Centre-Forward,28,Hamburger SV,1.Bundesliga,Corinthians,Série A,2012-2013,6000000,3500000
Artjoms Rudnevs,Centre-Forward,24,Lech Poznan,Ekstraklasa,Hamburger SV,1.Bundesliga,2012-2013,5500000,3500000
Hamit Altintop,Central Midfield,29,Real Madrid,LaLiga,Galatasaray,Süper Lig,2012-2013,5000000,3500000
Mattia Cassani,Right-Back,28,US Palermo,Serie A,Fiorentina,Serie A,2012-2013,4500000,3500000
Marquinho,Left Midfield,26,Fluminense,Série A,AS Roma,Serie A,2012-2013,4500000,3500000
Éder,Second Striker,25,RC Cesena,Serie B,Sampdoria,Serie A,2012-2013,4000000,3500000
Razak Boukari,Right Winger,25,Stade Rennais,Ligue 1,Wolves,Championship,2012-2013,3500000,3500000
Gareth Bale,Right Winger,24,Spurs,Premier League,Real Madrid,LaLiga,2013-2014,65000000,101000000
Neymar,Left Winger,21,Santos FC,Série A,FC Barcelona,LaLiga,2013-2014,50000000,88200000
Edinson Cavani,Centre-Forward,26,SSC Napoli,Serie A,Paris SG,Ligue 1,2013-2014,55000000,64500000
Mesut Özil,Attacking Midfield,24,Real Madrid,LaLiga,Arsenal,Premier League,2013-2014,40000000,47000000
James Rodríguez,Attacking Midfield,21,FC Porto,Liga NOS,Monaco,Ligue 1,2013-2014,23000000,45000000
