Station,Air Quality,Longitude,Latitude,O3 Hour,O3 Quality,O3 Value,NO2 Hour,NO2 Quality,NO2 Value,PM10 Hour,PM10 Quality,PM10 Value,Generated
Barcelona - Gr_cia,Good,2.1534,41.3987,3h,Good,28,3h,Good,25,NA,NA,NA,02/11/2018 4:00
Barcelona - Ciutadella,Good,2.1874,41.3864,3h,Good,28,3h,Good,20,NA,NA,NA,02/11/2018 4:00
Barcelona - Vall Hebron,Good,2.148,41.4261,3h,Good,41,3h,Good,14,NA,NA,NA,02/11/2018 4:00
Barcelona - Palau Reial,Good,2.1151,41.3875,3h,Good,43,3h,Good,6,4h,Good,9,02/11/2018 4:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,3h,Good,33,4h,Good,9,02/11/2018 4:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,3h,Good,72,3h,Good,2,4h,Good,7,02/11/2018 4:00
Barcelona - Sants,--,2.1331,41.3788,NA,NA,NA,3h,--,NA,NA,NA,NA,02/11/2018 5:00
Barcelona - Eixample,Good,2.1538,41.3853,4h,Good,2,4h,Good,52,5h,Good,15,02/11/2018 5:00
Barcelona - Gr_cia,Good,2.1534,41.3987,4h,Good,20,4h,Good,33,NA,NA,NA,02/11/2018 5:00
Barcelona - Ciutadella,Good,2.1874,41.3864,4h,Good,14,4h,Good,28,NA,NA,NA,02/11/2018 5:00
Barcelona - Vall Hebron,Good,2.148,41.4261,4h,Good,26,4h,Good,31,NA,NA,NA,02/11/2018 5:00
Barcelona - Palau Reial,Good,2.1151,41.3875,4h,Good,30,4h,Good,11,5h,Good,9,02/11/2018 5:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,4h,Good,26,5h,Good,10,02/11/2018 5:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,4h,Good,77,4h,Good,1,5h,Good,7,02/11/2018 5:00
Barcelona - Sants,--,2.1331,41.3788,NA,NA,NA,4h,--,NA,NA,NA,NA,02/11/2018 6:00
Barcelona - Eixample,Good,2.1538,41.3853,5h,Good,2,5h,Good,48,6h,Good,15,02/11/2018 6:00
Barcelona - Gr_cia,Good,2.1534,41.3987,5h,Good,14,5h,Good,37,NA,NA,NA,02/11/2018 6:00
Barcelona - Ciutadella,Good,2.1874,41.3864,5h,Good,8,5h,Good,32,NA,NA,NA,02/11/2018 6:00
Barcelona - Vall Hebron,Good,2.148,41.4261,5h,Good,12,5h,Good,53,NA,NA,NA,02/11/2018 6:00
Barcelona - Palau Reial,Good,2.1151,41.3875,5h,Good,30,5h,Good,10,6h,Good,9,02/11/2018 6:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,5h,Good,27,6h,Good,10,02/11/2018 6:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,5h,Good,76,5h,Good,1,6h,Good,7,02/11/2018 6:00
Barcelona - Sants,--,2.1331,41.3788,NA,NA,NA,5h,--,NA,NA,NA,NA,02/11/2018 7:00
Barcelona - Eixample,Good,2.1538,41.3853,6h,Good,23,6h,Good,30,6h,Good,15,02/11/2018 7:00
Barcelona - Gr_cia,Good,2.1534,41.3987,6h,Good,16,6h,Good,40,NA,NA,NA,02/11/2018 7:00
Barcelona - Ciutadella,Good,2.1874,41.3864,6h,Good,8,6h,Good,34,NA,NA,NA,02/11/2018 7:00
Barcelona - Vall Hebron,Good,2.148,41.4261,6h,Good,14,6h,Good,39,NA,NA,NA,02/11/2018 7:00
Barcelona - Palau Reial,Good,2.1151,41.3875,6h,Good,30,6h,Good,11,6h,Good,9,02/11/2018 7:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,6h,Good,29,6h,Good,10,02/11/2018 7:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,6h,Good,75,6h,Good,1,7h,Good,7,02/11/2018 7:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,7h,Good,38,NA,NA,NA,02/11/2018 8:00
Barcelona - Eixample,Good,2.1538,41.3853,7h,Good,2,7h,Good,52,8h,Good,15,02/11/2018 8:00
Barcelona - Gr_cia,Good,2.1534,41.3987,7h,Good,2,7h,Good,64,NA,NA,NA,02/11/2018 8:00
Barcelona - Ciutadella,Good,2.1874,41.3864,7h,Good,3,7h,Good,46,NA,NA,NA,02/11/2018 8:00
Barcelona - Vall Hebron,Good,2.148,41.4261,7h,Good,6,7h,Good,53,NA,NA,NA,02/11/2018 8:00
Barcelona - Palau Reial,Good,2.1151,41.3875,7h,Good,28,7h,Good,17,8h,Good,9,02/11/2018 8:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,7h,Good,35,8h,Good,10,02/11/2018 8:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,7h,Good,78,7h,Good,1,8h,Good,7,02/11/2018 8:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,8h,Good,43,NA,NA,NA,02/11/2018 9:00
Barcelona - Eixample,Good,2.1538,41.3853,8h,Good,7,8h,Good,52,9h,Good,15,02/11/2018 9:00
Barcelona - Gr_cia,Good,2.1534,41.3987,8h,Good,3,8h,Good,65,NA,NA,NA,02/11/2018 9:00
Barcelona - Ciutadella,Good,2.1874,41.3864,8h,Good,2,8h,Good,50,NA,NA,NA,02/11/2018 9:00
Barcelona - Vall Hebron,Good,2.148,41.4261,8h,Good,11,8h,Good,50,NA,NA,NA,02/11/2018 9:00
Barcelona - Palau Reial,Good,2.1151,41.3875,8h,Good,18,8h,Good,31,9h,Good,9,02/11/2018 9:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,8h,Good,39,9h,Good,11,02/11/2018 9:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,8h,Good,65,8h,Good,2,9h,Good,7,02/11/2018 9:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,9h,Good,45,NA,NA,NA,02/11/2018 10:00
Barcelona - Eixample,Good,2.1538,41.3853,9h,Good,7,9h,Good,60,10h,Good,15,02/11/2018 10:00
Barcelona - Gr_cia,Good,2.1534,41.3987,9h,Good,4,9h,Good,70,NA,NA,NA,02/11/2018 10:00
Barcelona - Ciutadella,Good,2.1874,41.3864,9h,Good,3,9h,Good,59,NA,NA,NA,02/11/2018 10:00
Barcelona - Vall Hebron,Good,2.148,41.4261,9h,Good,8,9h,Good,51,NA,NA,NA,02/11/2018 10:00
Barcelona - Palau Reial,Good,2.1151,41.3875,9h,Good,20,9h,Good,27,9h,Good,9,02/11/2018 10:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,9h,Good,40,9h,Good,11,02/11/2018 10:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,9h,Good,67,9h,Good,1,10h,Good,7,02/11/2018 10:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,10h,Good,40,NA,NA,NA,02/11/2018 11:00
Barcelona - Eixample,Good,2.1538,41.3853,10h,Good,6,10h,Good,61,11h,Good,15,02/11/2018 11:00
Barcelona - Gr_cia,Good,2.1534,41.3987,10h,Good,9,10h,Good,65,NA,NA,NA,02/11/2018 11:00
Barcelona - Ciutadella,Good,2.1874,41.3864,10h,Good,3,10h,Good,54,NA,NA,NA,02/11/2018 11:00
Barcelona - Vall Hebron,Good,2.148,41.4261,10h,Good,15,10h,Good,42,NA,NA,NA,02/11/2018 11:00
Barcelona - Palau Reial,Good,2.1151,41.3875,10h,Good,15,10h,Good,28,11h,Good,9,02/11/2018 11:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,10h,Good,39,11h,Good,12,02/11/2018 11:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,10h,Good,72,10h,Good,1,11h,Good,7,02/11/2018 11:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,11h,Good,39,NA,NA,NA,02/11/2018 12:00
Barcelona - Eixample,Good,2.1538,41.3853,11h,Good,4,11h,Good,76,12h,Good,16,02/11/2018 12:00
Barcelona - Gr_cia,Good,2.1534,41.3987,11h,Good,9,11h,Good,57,NA,NA,NA,02/11/2018 12:00
Barcelona - Ciutadella,Good,2.1874,41.3864,11h,Good,6,11h,Good,48,NA,NA,NA,02/11/2018 12:00
Barcelona - Vall Hebron,Good,2.148,41.4261,11h,Good,33,11h,Good,25,NA,NA,NA,02/11/2018 12:00
Barcelona - Palau Reial,Good,2.1151,41.3875,11h,Good,21,11h,Good,24,12h,Good,9,02/11/2018 12:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,11h,Good,39,12h,Good,13,02/11/2018 12:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,11h,Good,75,11h,Good,1,12h,Good,7,02/11/2018 12:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,11h,Good,39,NA,NA,NA,02/11/2018 12:00
Barcelona - Eixample,Good,2.1538,41.3853,11h,Good,4,11h,Good,76,12h,Good,16,02/11/2018 12:00
Barcelona - Gr_cia,Good,2.1534,41.3987,11h,Good,9,11h,Good,57,NA,NA,NA,02/11/2018 12:00
Barcelona - Ciutadella,Good,2.1874,41.3864,11h,Good,6,11h,Good,48,NA,NA,NA,02/11/2018 12:00
Barcelona - Vall Hebron,Good,2.148,41.4261,11h,Good,33,11h,Good,25,NA,NA,NA,02/11/2018 12:00
Barcelona - Palau Reial,Good,2.1151,41.3875,11h,Good,21,11h,Good,24,12h,Good,9,02/11/2018 12:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,11h,Good,39,12h,Good,13,02/11/2018 12:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,11h,Good,75,11h,Good,1,12h,Good,7,02/11/2018 12:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,13h,Good,19,NA,NA,NA,02/11/2018 14:00
Barcelona - Eixample,Good,2.1538,41.3853,13h,Good,21,13h,Good,47,14h,Good,17,02/11/2018 14:00
Barcelona - Gr_cia,Good,2.1534,41.3987,13h,Good,28,13h,Good,37,NA,NA,NA,02/11/2018 14:00
Barcelona - Ciutadella,Good,2.1874,41.3864,13h,Good,26,13h,Good,29,NA,NA,NA,02/11/2018 14:00
Barcelona - Vall Hebron,Good,2.148,41.4261,13h,Good,44,13h,Good,15,NA,NA,NA,02/11/2018 14:00
Barcelona - Palau Reial,Good,2.1151,41.3875,13h,Good,46,13h,Good,5,14h,Good,10,02/11/2018 14:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,13h,Good,43,14h,Good,14,02/11/2018 14:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,13h,Good,65,13h,Good,4,14h,Good,7,02/11/2018 14:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,14h,Good,15,NA,NA,NA,02/11/2018 15:00
Barcelona - Eixample,Good,2.1538,41.3853,14h,Good,35,14h,Good,36,15h,Good,17,02/11/2018 15:00
Barcelona - Gr_cia,Good,2.1534,41.3987,14h,Good,38,14h,Good,31,NA,NA,NA,02/11/2018 15:00
Barcelona - Ciutadella,Good,2.1874,41.3864,14h,Good,31,14h,Good,31,NA,NA,NA,02/11/2018 15:00
Barcelona - Vall Hebron,Good,2.148,41.4261,14h,Good,49,14h,Good,14,NA,NA,NA,02/11/2018 15:00
Barcelona - Palau Reial,Good,2.1151,41.3875,14h,Good,48,14h,Good,5,15h,Good,10,02/11/2018 15:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,14h,Good,41,15h,Good,15,02/11/2018 15:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,14h,Good,59,14h,Good,6,15h,Good,7,02/11/2018 15:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,15h,Good,20,NA,NA,NA,02/11/2018 16:00
Barcelona - Eixample,Good,2.1538,41.3853,15h,Good,34,15h,Good,40,16h,Good,17,02/11/2018 16:00
Barcelona - Gr_cia,Good,2.1534,41.3987,15h,Good,42,15h,Good,27,NA,NA,NA,02/11/2018 16:00
Barcelona - Ciutadella,Good,2.1874,41.3864,15h,Good,28,15h,Good,38,NA,NA,NA,02/11/2018 16:00
Barcelona - Vall Hebron,Good,2.148,41.4261,15h,Good,50,15h,Good,15,NA,NA,NA,02/11/2018 16:00
Barcelona - Palau Reial,Good,2.1151,41.3875,15h,Good,45,15h,Good,11,15h,Good,10,02/11/2018 16:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,15h,Good,35,15h,Good,15,02/11/2018 16:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,15h,Good,59,15h,Good,8,16h,Good,7,02/11/2018 16:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,16h,Good,13,NA,NA,NA,02/11/2018 17:00
Barcelona - Eixample,Good,2.1538,41.3853,16h,Good,33,16h,Good,46,17h,Good,17,02/11/2018 17:00
Barcelona - Gr_cia,Good,2.1534,41.3987,16h,Good,48,16h,Good,25,NA,NA,NA,02/11/2018 17:00
Barcelona - Ciutadella,Good,2.1874,41.3864,16h,Good,42,16h,Good,29,NA,NA,NA,02/11/2018 17:00
Barcelona - Vall Hebron,Good,2.148,41.4261,16h,Good,49,16h,Good,15,NA,NA,NA,02/11/2018 17:00
Barcelona - Palau Reial,Good,2.1151,41.3875,16h,Good,55,16h,Good,5,17h,Good,10,02/11/2018 17:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,16h,Good,30,17h,Good,15,02/11/2018 17:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,16h,Good,66,16h,Good,5,17h,Good,7,02/11/2018 17:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,17h,Good,54,NA,NA,NA,02/11/2018 18:00
Barcelona - Eixample,Good,2.1538,41.3853,17h,Good,11,17h,Good,76,18h,Good,17,02/11/2018 18:00
Barcelona - Gr_cia,Good,2.1534,41.3987,17h,Good,28,17h,Good,56,NA,NA,NA,02/11/2018 18:00
Barcelona - Ciutadella,Good,2.1874,41.3864,17h,Good,60,17h,Good,18,NA,NA,NA,02/11/2018 18:00
Barcelona - Vall Hebron,Good,2.148,41.4261,17h,Good,48,17h,Good,25,NA,NA,NA,02/11/2018 18:00
Barcelona - Palau Reial,Good,2.1151,41.3875,17h,Good,33,17h,Good,33,18h,Good,10,02/11/2018 18:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,17h,Good,35,18h,Good,15,02/11/2018 18:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,17h,Good,56,17h,Good,18,18h,Good,7,02/11/2018 18:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,18h,Good,41,NA,NA,NA,02/11/2018 19:00
Barcelona - Eixample,Good,2.1538,41.3853,18h,Good,8,18h,Good,79,19h,Good,17,02/11/2018 19:00
Barcelona - Gr_cia,Good,2.1534,41.3987,18h,Good,23,18h,Good,63,NA,NA,NA,02/11/2018 19:00
Barcelona - Ciutadella,Good,2.1874,41.3864,18h,Good,39,18h,Good,30,NA,NA,NA,02/11/2018 19:00
Barcelona - Vall Hebron,Good,2.148,41.4261,18h,Good,30,18h,Good,52,NA,NA,NA,02/11/2018 19:00
Barcelona - Palau Reial,Good,2.1151,41.3875,18h,Good,27,18h,Good,43,18h,Good,10,02/11/2018 19:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,18h,Good,55,18h,Good,15,02/11/2018 19:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,18h,Good,19,18h,Good,60,19h,Good,7,02/11/2018 19:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,19h,Good,65,NA,NA,NA,02/11/2018 20:00
Barcelona - Eixample,Good,2.1538,41.3853,19h,Good,2,19h,Good,89,20h,Good,17,02/11/2018 20:00
Barcelona - Gr_cia,Good,2.1534,41.3987,19h,Good,8,19h,Good,75,NA,NA,NA,02/11/2018 20:00
Barcelona - Ciutadella,Good,2.1874,41.3864,19h,Good,9,19h,Good,61,NA,NA,NA,02/11/2018 20:00
Barcelona - Vall Hebron,Good,2.148,41.4261,19h,Good,4,19h,Good,84,NA,NA,NA,02/11/2018 20:00
Barcelona - Palau Reial,Good,2.1151,41.3875,19h,Good,1,19h,Good,76,20h,Good,10,02/11/2018 20:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,19h,Good,88,20h,Good,16,02/11/2018 20:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,19h,Good,44,19h,Good,35,20h,Good,7,02/11/2018 20:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,20h,Good,83,NA,NA,NA,02/11/2018 21:00
Barcelona - Eixample,Moderate,2.1538,41.3853,20h,Good,1,20h,Moderate,92,21h,Good,17,02/11/2018 21:00
Barcelona - Gr_cia,Good,2.1534,41.3987,20h,Good,2,20h,Good,85,NA,NA,NA,02/11/2018 21:00
Barcelona - Ciutadella,Good,2.1874,41.3864,19h,Good,9,19h,Good,61,NA,NA,NA,02/11/2018 21:00
Barcelona - Vall Hebron,Good,2.148,41.4261,20h,Good,11,20h,Good,67,NA,NA,NA,02/11/2018 21:00
Barcelona - Palau Reial,Good,2.1151,41.3875,20h,Good,1,20h,Good,76,21h,Good,10,02/11/2018 21:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,20h,Good,84,21h,Good,16,02/11/2018 21:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,20h,Good,49,20h,Good,21,21h,Good,7,02/11/2018 21:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,21h,Good,75,NA,NA,NA,02/11/2018 22:00
Barcelona - Eixample,Good,2.1538,41.3853,21h,Good,2,21h,Good,88,22h,Good,18,02/11/2018 22:00
Barcelona - Gr_cia,Good,2.1534,41.3987,21h,Good,4,21h,Good,68,NA,NA,NA,02/11/2018 22:00
Barcelona - Ciutadella,--,2.1874,41.3864,20h,--,NA,20h,--,NA,NA,NA,NA,02/11/2018 22:00
Barcelona - Vall Hebron,Good,2.148,41.4261,21h,Good,11,21h,Good,53,NA,NA,NA,02/11/2018 22:00
Barcelona - Palau Reial,Good,2.1151,41.3875,21h,Good,21,21h,Good,40,21h,Good,10,02/11/2018 22:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,21h,Good,83,21h,Good,16,02/11/2018 22:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,21h,Good,33,21h,Good,28,22h,Good,7,02/11/2018 22:00
Barcelona - Sants,--,2.1331,41.3788,NA,NA,NA,NA,NA,NA,NA,NA,NA,02/11/2018 23:00
Barcelona - Eixample,Good,2.1538,41.3853,NA,NA,NA,NA,NA,NA,23h,Good,18,02/11/2018 23:00
Barcelona - Gr_cia,--,2.1534,41.3987,NA,NA,NA,NA,NA,NA,NA,NA,NA,02/11/2018 23:00
Barcelona - Ciutadella,--,2.1874,41.3864,NA,NA,NA,NA,NA,NA,NA,NA,NA,02/11/2018 23:00
Barcelona - Vall Hebron,--,2.148,41.4261,NA,NA,NA,NA,NA,NA,NA,NA,NA,02/11/2018 23:00
Barcelona - Palau Reial,Good,2.1151,41.3875,NA,NA,NA,NA,NA,NA,23h,Good,10,02/11/2018 23:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,NA,NA,NA,23h,Good,16,02/11/2018 23:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,NA,NA,NA,NA,NA,NA,23h,Good,7,02/11/2018 23:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,0h,Good,61,NA,NA,NA,03/11/2018 0:00
Barcelona - Eixample,Good,2.1538,41.3853,0h,Good,2,0h,Good,76,0h,Good,19,03/11/2018 0:00
Barcelona - Gr_cia,Good,2.1534,41.3987,0h,Good,3,0h,Good,72,NA,NA,NA,03/11/2018 0:00
Barcelona - Ciutadella,Good,2.1874,41.3864,0h,Good,9,0h,Good,61,NA,NA,NA,03/11/2018 0:00
Barcelona - Vall Hebron,Good,2.148,41.4261,0h,Good,3,0h,Good,58,NA,NA,NA,03/11/2018 0:00
Barcelona - Palau Reial,Good,2.1151,41.3875,0h,Good,1,0h,Good,63,0h,Good,10,03/11/2018 0:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,0h,Good,60,0h,Good,17,03/11/2018 0:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,0h,Good,67,0h,Good,4,0h,Good,7,03/11/2018 0:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,0h,Good,58,NA,NA,NA,03/11/2018 1:00
Barcelona - Eixample,Good,2.1538,41.3853,0h,Good,2,0h,Good,70,1h,Good,19,03/11/2018 1:00
Barcelona - Gr_cia,Good,2.1534,41.3987,0h,Good,4,0h,Good,54,NA,NA,NA,03/11/2018 1:00
Barcelona - Ciutadella,Good,2.1874,41.3864,0h,Good,2,0h,Good,54,NA,NA,NA,03/11/2018 1:00
Barcelona - Vall Hebron,Good,2.148,41.4261,0h,Good,2,0h,Good,55,NA,NA,NA,03/11/2018 1:00
Barcelona - Palau Reial,Good,2.1151,41.3875,0h,Good,9,0h,Good,41,0h,Good,10,03/11/2018 1:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,0h,Good,56,0h,Good,17,03/11/2018 1:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,0h,Good,53,0h,Good,11,0h,Good,7,03/11/2018 1:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,1h,Good,51,NA,NA,NA,03/11/2018 2:00
Barcelona - Eixample,Good,2.1538,41.3853,1h,Good,1,1h,Good,63,2h,Good,19,03/11/2018 2:00
Barcelona - Gr_cia,Good,2.1534,41.3987,1h,Good,2,1h,Good,52,NA,NA,NA,03/11/2018 2:00
Barcelona - Ciutadella,Good,2.1874,41.3864,1h,Good,1,1h,Good,48,NA,NA,NA,03/11/2018 2:00
Barcelona - Vall Hebron,Good,2.148,41.4261,1h,Good,3,1h,Good,48,NA,NA,NA,03/11/2018 2:00
Barcelona - Palau Reial,Good,2.1151,41.3875,1h,Good,9,1h,Good,34,2h,Good,11,03/11/2018 2:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,1h,Good,46,2h,Good,17,03/11/2018 2:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,1h,Good,49,1h,Good,12,2h,Good,8,03/11/2018 2:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,2h,Good,47,NA,NA,NA,03/11/2018 3:00
Barcelona - Eixample,Good,2.1538,41.3853,2h,Good,1,2h,Good,57,2h,Good,20,03/11/2018 3:00
Barcelona - Gr_cia,Good,2.1534,41.3987,2h,Good,5,2h,Good,45,NA,NA,NA,03/11/2018 3:00
Barcelona - Ciutadella,Good,2.1874,41.3864,2h,Good,1,2h,Good,46,NA,NA,NA,03/11/2018 3:00
Barcelona - Vall Hebron,Good,2.148,41.4261,2h,Good,6,2h,Good,44,NA,NA,NA,03/11/2018 3:00
Barcelona - Palau Reial,Good,2.1151,41.3875,2h,Good,16,2h,Good,25,3h,Good,11,03/11/2018 3:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,2h,Good,41,3h,Good,18,03/11/2018 3:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,2h,Good,40,2h,Good,17,3h,Good,8,03/11/2018 3:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,3h,Good,25,NA,NA,NA,03/11/2018 4:00
Barcelona - Eixample,Good,2.1538,41.3853,3h,Good,10,3h,Good,39,4h,Good,20,03/11/2018 4:00
Barcelona - Gr_cia,Good,2.1534,41.3987,3h,Good,16,3h,Good,31,NA,NA,NA,03/11/2018 4:00
Barcelona - Ciutadella,Good,2.1874,41.3864,3h,Good,3,3h,Good,47,NA,NA,NA,03/11/2018 4:00
Barcelona - Vall Hebron,Good,2.148,41.4261,3h,Good,19,3h,Good,31,NA,NA,NA,03/11/2018 4:00
Barcelona - Palau Reial,Good,2.1151,41.3875,3h,Good,30,3h,Good,11,4h,Good,11,03/11/2018 4:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,3h,Good,39,4h,Good,18,03/11/2018 4:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,3h,Good,52,3h,Good,6,3h,Good,8,03/11/2018 4:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,4h,Good,14,NA,NA,NA,03/11/2018 5:00
Barcelona - Eixample,Good,2.1538,41.3853,4h,Good,11,4h,Good,32,5h,Good,20,03/11/2018 5:00
Barcelona - Gr_cia,Good,2.1534,41.3987,4h,Good,28,4h,Good,19,NA,NA,NA,03/11/2018 5:00
Barcelona - Ciutadella,Good,2.1874,41.3864,4h,Good,22,4h,Good,27,NA,NA,NA,03/11/2018 5:00
Barcelona - Vall Hebron,Good,2.148,41.4261,4h,Good,40,4h,Good,9,NA,NA,NA,03/11/2018 5:00
Barcelona - Palau Reial,Good,2.1151,41.3875,4h,Good,36,4h,Good,4,5h,Good,11,03/11/2018 5:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,4h,Good,32,5h,Good,18,03/11/2018 5:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,4h,Good,51,4h,Good,4,5h,Good,9,03/11/2018 5:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,5h,Good,13,NA,NA,NA,03/11/2018 6:00
Barcelona - Eixample,Good,2.1538,41.3853,5h,Good,18,5h,Good,24,5h,Good,19,03/11/2018 6:00
Barcelona - Gr_cia,Good,2.1534,41.3987,5h,Good,25,5h,Good,19,NA,NA,NA,03/11/2018 6:00
Barcelona - Ciutadella,Good,2.1874,41.3864,5h,Good,21,5h,Good,23,NA,NA,NA,03/11/2018 6:00
Barcelona - Vall Hebron,Good,2.148,41.4261,5h,Good,26,5h,Good,23,NA,NA,NA,03/11/2018 6:00
Barcelona - Palau Reial,Good,2.1151,41.3875,5h,Good,35,5h,Good,4,6h,Good,11,03/11/2018 6:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,5h,Good,18,6h,Good,18,03/11/2018 6:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,5h,Good,52,5h,Good,3,6h,Good,9,03/11/2018 6:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,6h,Good,9,NA,NA,NA,03/11/2018 7:00
Barcelona - Eixample,Good,2.1538,41.3853,6h,Good,29,6h,Good,18,7h,Good,20,03/11/2018 7:00
Barcelona - Gr_cia,Good,2.1534,41.3987,6h,Good,34,6h,Good,14,NA,NA,NA,03/11/2018 7:00
Barcelona - Ciutadella,Good,2.1874,41.3864,6h,Good,19,6h,Good,21,NA,NA,NA,03/11/2018 7:00
Barcelona - Vall Hebron,Good,2.148,41.4261,6h,Good,30,6h,Good,21,7h,Good,2,03/11/2018 7:00
Barcelona - Palau Reial,Good,2.1151,41.3875,6h,Good,40,6h,Good,3,7h,Good,11,03/11/2018 7:00
Barcelona - Poblenou,Good,2.2045,41.4039,NA,NA,NA,6h,Good,15,7h,Good,18,03/11/2018 7:00
Barcelona - Observ Fabra,Good,2.1239,41.4183,6h,Good,53,6h,Good,3,6h,Good,9,03/11/2018 7:00
Barcelona - Sants,Good,2.1331,41.3788,NA,NA,NA,7h,Good,14,NA,NA,NA,03/11/2018 8:00
Barcelona - Eixample,Good,2.1538,41.3853,7h,Good,28,7h,Good,19,8h,Good,19,03/11/2018 8:00
Barcelona - Gr_cia,Good,2.1534,41.3987,7h,Good,33,7h,Good,18,NA,NA,NA,03/11/2018 8:00
Barcelona - Ciutadella,Good,2.1874,41.3864,7h,Good,15,7h,Good,22,NA,NA,NA,03/11/2018 8:00
Barcelona - Vall Hebron,Good,2.148,41.4261,7h,Good,32,7h,Good,21,8h,Good,2,03/11/2018 8:00
