year_film,year_award,ceremony,category,nominee,film,win
2006,2007,64,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Ben Kingsley,Mrs. Harris,FALSE
2006,2007,64,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Matthew Perry,"Ron Clark Story, The",FALSE
2006,2007,64,Best Performance by an Actress In A Television Series - Drama,Kyra Sedgwick,"Closer, The",TRUE
2006,2007,64,Best Performance by an Actress In A Television Series - Drama,Patricia Arquette,Medium,FALSE
2006,2007,64,Best Performance by an Actress In A Television Series - Drama,Edie Falco,"Sopranos, The",FALSE
2006,2007,64,Best Performance by an Actress In A Television Series - Drama,Ellen Pompeo,Grey's Anatomy,FALSE
2006,2007,64,Best Performance by an Actress In A Television Series - Drama,Evangeline Lilly,Lost,FALSE
2006,2007,64,Best Performance by an Actor In A Television Series - Drama,Hugh Laurie,House,TRUE
2006,2007,64,Best Performance by an Actor In A Television Series - Drama,Bill Paxton,Big Love,FALSE
2006,2007,64,Best Performance by an Actor In A Television Series - Drama,Kiefer Sutherland,24,FALSE
2006,2007,64,Best Performance by an Actor In A Television Series - Drama,Patrick Dempsey,Grey's Anatomy,FALSE
2006,2007,64,Best Performance by an Actor In A Television Series - Drama,Michael C. Hall,Dexter,FALSE
2006,2007,64,Best Performance by an Actress in a Television Series - Musical or Comedy,America Ferrera,Ugly Betty,TRUE
2006,2007,64,Best Performance by an Actress in a Television Series - Musical or Comedy,Marcia Cross,Desperate Housewives,FALSE
2006,2007,64,Best Performance by an Actress in a Television Series - Musical or Comedy,Felicity Huffman,Desperate Housewives,FALSE
2006,2007,64,Best Performance by an Actress in a Television Series - Musical or Comedy,Julia Louis-Dreyfus,"New Adventures Of Old Christine, The",FALSE
2006,2007,64,Best Performance by an Actress in a Television Series - Musical or Comedy,Mary-Louise Parker,Weeds,FALSE
2006,2007,64,Best Performance by an Actor in a Television Series - Musical or Comedy,Alec Baldwin,30 Rock,TRUE
2006,2007,64,Best Performance by an Actor in a Television Series - Musical or Comedy,Tony Shalhoub,Monk,FALSE
2006,2007,64,Best Performance by an Actor in a Television Series - Musical or Comedy,Zach Braff,Scrubs,FALSE
2006,2007,64,Best Performance by an Actor in a Television Series - Musical or Comedy,Steve Carell,"Office, The",FALSE
2006,2007,64,Best Performance by an Actor in a Television Series - Musical or Comedy,Jason Lee,My Name Is Earl,FALSE
2006,2007,64,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Emily Blunt,Gideon's Daughter,TRUE
2006,2007,64,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Toni Collette,"Tsunami, The Aftermath",FALSE
2006,2007,64,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Katherine Heigl,Grey's Anatomy,FALSE
2006,2007,64,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Sarah Paulson,Studio 60 on the Sunset Strip,FALSE
2006,2007,64,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Elizabeth Perkins,Weeds,FALSE
2006,2007,64,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Jeremy Irons,Elizabeth I,TRUE
2006,2007,64,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Justin Kirk,Weeds,FALSE
2006,2007,64,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Masi Oka,Heroes,FALSE
2006,2007,64,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Jeremy Piven,Entourage,FALSE
2006,2007,64,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Thomas Haden Church,Broken Trail,FALSE
2006,2007,64,Cecil B. deMille Award,Warren Beatty,,FALSE
2007,2008,65,Best Motion Picture - Drama,Atonement,,TRUE
2007,2008,65,Best Motion Picture - Drama,Michael Clayton,,FALSE
2007,2008,65,Best Motion Picture - Drama,No Country for Old Men,,FALSE
2007,2008,65,Best Motion Picture - Drama,There Will Be Blood,,FALSE
2007,2008,65,Best Motion Picture - Drama,American Gangster,,FALSE
2007,2008,65,Best Motion Picture - Drama,Eastern Promises,,FALSE
2007,2008,65,Best Motion Picture - Drama,"Great Debaters, The",,FALSE
2007,2008,65,Best Motion Picture - Musical or Comedy,Sweeney Todd: The Demon Barber of Fleet Street,,TRUE
2007,2008,65,Best Motion Picture - Musical or Comedy,Across The Universe,,FALSE
2007,2008,65,Best Motion Picture - Musical or Comedy,Charlie Wilson's War,,FALSE
2007,2008,65,Best Motion Picture - Musical or Comedy,Hairspray,,FALSE
2007,2008,65,Best Motion Picture - Musical or Comedy,Juno,,FALSE
2007,2008,65,Best Performance by an Actress in a Motion Picture - Drama,Julie Christie,Away From Her,TRUE
2007,2008,65,Best Performance by an Actress in a Motion Picture - Drama,Cate Blanchett,Elizabeth:  The Golden Age,FALSE
2007,2008,65,Best Performance by an Actress in a Motion Picture - Drama,Jodie Foster,"Brave One, The",FALSE
2007,2008,65,Best Performance by an Actress in a Motion Picture - Drama,Angelina Jolie,"Mighty Heart, A",FALSE
2007,2008,65,Best Performance by an Actress in a Motion Picture - Drama,Keira Knightley,Atonement,FALSE
2007,2008,65,Best Performance by an Actor in a Motion Picture - Drama,Daniel Day-Lewis,There Will Be Blood,TRUE
2007,2008,65,Best Performance by an Actor in a Motion Picture - Drama,Denzel Washington,American Gangster,FALSE
2007,2008,65,Best Performance by an Actor in a Motion Picture - Drama,George Clooney,Michael Clayton,FALSE
2007,2008,65,Best Performance by an Actor in a Motion Picture - Drama,James McAvoy,Atonement,FALSE
2007,2008,65,Best Performance by an Actor in a Motion Picture - Drama,Viggo Mortensen,Eastern Promises,FALSE
2007,2008,65,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Marion Cotillard,La Vie En Rose,TRUE
2007,2008,65,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Nikki Blonsky,Hairspray,FALSE
2007,2008,65,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Amy Adams,Enchanted,FALSE
2007,2008,65,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Helena Bonham Carter,Sweeney Todd: The Demon Barber of Fleet Street,FALSE
2007,2008,65,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Ellen Page,Juno,FALSE
2007,2008,65,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Johnny Depp,Sweeney Todd: The Demon Barber of Fleet Street,TRUE
2007,2008,65,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Ryan Gosling,Lars and the Real Girl,FALSE
2007,2008,65,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Tom Hanks,Charlie Wilson's War,FALSE
2007,2008,65,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Philip Seymour Hoffman,"Savages, The",FALSE
2007,2008,65,Best Performance by an Actor in a Motion Picture - Musical or Comedy,John C. Reilly,Walk Hard: The Dewey Cox Story,FALSE
2007,2008,65,Best Performance by an Actress in a Supporting Role in any Motion Picture,Cate Blanchett,I'm Not There,TRUE
2007,2008,65,Best Performance by an Actress in a Supporting Role in any Motion Picture,Julia Roberts,Charlie Wilson's War,FALSE
2007,2008,65,Best Performance by an Actress in a Supporting Role in any Motion Picture,Saoirse Ronan,Atonement,FALSE
2007,2008,65,Best Performance by an Actress in a Supporting Role in any Motion Picture,Amy Ryan,Gone Baby Gone,FALSE
2007,2008,65,Best Performance by an Actress in a Supporting Role in any Motion Picture,Tilda Swinton,Michael Clayton,FALSE
2007,2008,65,Best Performance by an Actor in a Supporting Role in any Motion Picture,Javier Bardem,No Country for Old Men,TRUE
2007,2008,65,Best Performance by an Actor in a Supporting Role in any Motion Picture,Casey Affleck,"Assassination of Jesse James by the Coward Robert Ford, The",FALSE
2007,2008,65,Best Performance by an Actor in a Supporting Role in any Motion Picture,Philip Seymour Hoffman,Charlie Wilson's War,FALSE
2007,2008,65,Best Performance by an Actor in a Supporting Role in any Motion Picture,John Travolta,Hairspray,FALSE
2007,2008,65,Best Performance by an Actor in a Supporting Role in any Motion Picture,Tom Wilkinson,Michael Clayton,FALSE
2007,2008,65,Best Director - Motion Picture,Julian Schnabel,The Diving Bell and the Butterfly,TRUE
2007,2008,65,Best Director - Motion Picture,Ridley Scott,American Gangster,FALSE
2007,2008,65,Best Director - Motion Picture,Joe Wright,Atonement,FALSE
2007,2008,65,Best Director - Motion Picture,Tim Burton,Sweeney Todd: The Demon Barber of Fleet Street,FALSE
2007,2008,65,Best Director - Motion Picture,"Ethan Coen, Joel Coen",No Country for Old Men,FALSE
2007,2008,65,Best Screenplay - Motion Picture,"Joel Coen, Ethan Coen",No Country for Old Men,TRUE
2007,2008,65,Best Screenplay - Motion Picture,Diablo Cody,Juno,FALSE
2007,2008,65,Best Screenplay - Motion Picture,Christopher Hampton,Atonement,FALSE
2007,2008,65,Best Screenplay - Motion Picture,Ronald Harwood,The Diving Bell and the Butterfly,FALSE
2007,2008,65,Best Screenplay - Motion Picture,Aaron Sorkin,Charlie Wilson's War,FALSE
2007,2008,65,Best Motion Picture - Animated,Ratatouille,,TRUE
2007,2008,65,Best Motion Picture - Animated,Bee Movie,,FALSE
2007,2008,65,Best Motion Picture - Animated,"Simpsons Movie, The",,FALSE
2007,2008,65,Best Motion Picture - Foreign Language,The Diving Bell and the Butterfly,"France, United States, Julian Schnabel",TRUE
2007,2008,65,Best Motion Picture - Foreign Language,The Kite Runner,"United States, Marc Forster",FALSE
2007,2008,65,Best Motion Picture - Foreign Language,"Lust, Caution","Taiwan, Ang Lee",FALSE
2007,2008,65,Best Motion Picture - Foreign Language,Persepolis,"France, Marjane Satrapi, Vincent Paronnaud",FALSE
2007,2008,65,Best Motion Picture - Foreign Language,"4 Months, 3 Weeks And 2 Days","Romania, Cristian Mungiu",FALSE
2007,2008,65,Best Original Score - Motion Picture,Dario Marianelli,Atonement,TRUE
2007,2008,65,Best Original Score - Motion Picture,Clint Eastwood,Grace Is Gone,FALSE
2007,2008,65,Best Original Score - Motion Picture,Alberto Iglesias,The Kite Runner,FALSE
2007,2008,65,Best Original Score - Motion Picture,Howard Shore,Eastern Promises,FALSE
2007,2008,65,Best Original Score - Motion Picture,"Kaki King, Eddie Vedder, Michael Brook",Into The Wild,FALSE
2007,2008,65,Best Original Song - Motion Picture,"""Guaranteed"", Eddie Vedder",Into The Wild,TRUE
2007,2008,65,Best Original Song - Motion Picture,"That's How You Know, Alan Menken, Stephen Schwartz",Enchanted,FALSE
2007,2008,65,Best Original Song - Motion Picture,"""Walk Hard"", John C. Reilly, Jake Kasdan, Judd Apatow, Marshall Crenshaw",Walk Hard: The Dewey Cox Story,FALSE
2007,2008,65,Best Original Song - Motion Picture,"""Despedida"", Shakira, Antonio Pinto",Love in the Time of Cholera,FALSE
2007,2008,65,Best Original Song - Motion Picture,"Grace Is Gone, Clint Eastwood, Carole Bayer Sager",Grace Is Gone,FALSE
2007,2008,65,Best Television Series - Drama,Mad Men,,TRUE
2007,2008,65,Best Television Series - Drama,Big Love,,FALSE
2007,2008,65,Best Television Series - Drama,Damages,,FALSE
2007,2008,65,Best Television Series - Drama,Grey's Anatomy,,FALSE
2007,2008,65,Best Television Series - Drama,House,,FALSE
2007,2008,65,Best Television Series - Drama,"Tudors, The",,FALSE
2007,2008,65,Best Television Series - Musical or Comedy,Extras,,TRUE
2007,2008,65,Best Television Series - Musical or Comedy,Pushing Daisies,,FALSE
2007,2008,65,Best Television Series - Musical or Comedy,30 Rock,,FALSE
2007,2008,65,Best Television Series - Musical or Comedy,Californication,,FALSE
2007,2008,65,Best Television Series - Musical or Comedy,Entourage,,FALSE
2007,2008,65,Best Television Limited Series or Motion Picture Made for Television,Longford,,TRUE
2007,2008,65,Best Television Limited Series or Motion Picture Made for Television,Bury My Heart at Wounded Knee,,FALSE
2007,2008,65,Best Television Limited Series or Motion Picture Made for Television,The Company,,FALSE
2007,2008,65,Best Television Limited Series or Motion Picture Made for Television,Five Days,,FALSE
2007,2008,65,Best Television Limited Series or Motion Picture Made for Television,The State Within,,FALSE
2007,2008,65,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Queen Latifah,Life Support,TRUE
2007,2008,65,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Sissy Spacek,Pictures of Hollis Woods,FALSE
2007,2008,65,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Ruth Wilson,Jane Eyre,FALSE
2007,2008,65,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Bryce Dallas Howard,As You Like It,FALSE
2007,2008,65,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Debra Messing,"Starter Wife, The",FALSE
2007,2008,65,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Jim Broadbent,Longford,TRUE
2007,2008,65,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Adam Beach,Bury My Heart at Wounded Knee,FALSE
2007,2008,65,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Ernest Borgnine,"Grandpa for Christmas, A",FALSE
2007,2008,65,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Jason Isaacs,The State Within,FALSE
2007,2008,65,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,James Nesbitt,Jekyll,FALSE
2007,2008,65,Best Performance by an Actress In A Television Series - Drama,Glenn Close,Damages,TRUE
2007,2008,65,Best Performance by an Actress In A Television Series - Drama,Edie Falco,"Sopranos, The",FALSE
2007,2008,65,Best Performance by an Actress In A Television Series - Drama,Sally Field,Brothers & Sisters,FALSE
2007,2008,65,Best Performance by an Actress In A Television Series - Drama,Holly Hunter,Saving Grace,FALSE
2007,2008,65,Best Performance by an Actress In A Television Series - Drama,Kyra Sedgwick,"Closer, The",FALSE
2007,2008,65,Best Performance by an Actress In A Television Series - Drama,Patricia Arquette,Medium,FALSE
2007,2008,65,Best Performance by an Actress In A Television Series - Drama,Minnie Driver,"Riches, The",FALSE
2007,2008,65,Best Performance by an Actor In A Television Series - Drama,Jon Hamm,Mad Men,TRUE
2007,2008,65,Best Performance by an Actor In A Television Series - Drama,Michael C. Hall,Dexter,FALSE
2007,2008,65,Best Performance by an Actor In A Television Series - Drama,Hugh Laurie,House,FALSE
2007,2008,65,Best Performance by an Actor In A Television Series - Drama,Jonathan Rhys Meyers,"Tudors, The",FALSE
2007,2008,65,Best Performance by an Actor In A Television Series - Drama,Bill Paxton,Big Love,FALSE
2007,2008,65,Best Performance by an Actress in a Television Series - Musical or Comedy,Tina Fey,30 Rock,TRUE
2007,2008,65,Best Performance by an Actress in a Television Series - Musical or Comedy,Christina Applegate,Samantha Who?,FALSE
2007,2008,65,Best Performance by an Actress in a Television Series - Musical or Comedy,America Ferrera,Ugly Betty,FALSE
2007,2008,65,Best Performance by an Actress in a Television Series - Musical or Comedy,Anna Friel,Pushing Daisies,FALSE
2007,2008,65,Best Performance by an Actress in a Television Series - Musical or Comedy,Mary-Louise Parker,Weeds,FALSE
2007,2008,65,Best Performance by an Actor in a Television Series - Musical or Comedy,David Duchovny,Californication,TRUE
2007,2008,65,Best Performance by an Actor in a Television Series - Musical or Comedy,Steve Carell,"Office, The",FALSE
2007,2008,65,Best Performance by an Actor in a Television Series - Musical or Comedy,Ricky Gervais,Extras,FALSE
2007,2008,65,Best Performance by an Actor in a Television Series - Musical or Comedy,Lee Pace,Pushing Daisies,FALSE
2007,2008,65,Best Performance by an Actor in a Television Series - Musical or Comedy,Alec Baldwin,30 Rock,FALSE
2007,2008,65,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Samantha Morton,Longford,TRUE
2007,2008,65,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Rose Byrne,Damages,FALSE
2007,2008,65,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Rachel Griffiths,Brothers & Sisters,FALSE
2007,2008,65,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Katherine Heigl,Grey's Anatomy,FALSE
2007,2008,65,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Anna Paquin,Bury My Heart at Wounded Knee,FALSE
2007,2008,65,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Jaime Pressly,My Name Is Earl,FALSE
2007,2008,65,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Jeremy Piven,Entourage,TRUE
2007,2008,65,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Ted Danson,Damages,FALSE
2007,2008,65,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Kevin Dillon,Entourage,FALSE
2007,2008,65,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Andy Serkis,Longford,FALSE
2007,2008,65,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",William Shatner,Boston Legal,FALSE
2007,2008,65,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Donald Sutherland,Dirty Sexy Money,FALSE
2008,2009,66,Best Motion Picture - Drama,Slumdog Millionaire,,TRUE
2008,2009,66,Best Motion Picture - Drama,The Curious Case of Benjamin Button,,FALSE
2008,2009,66,Best Motion Picture - Drama,Frost/Nixon,,FALSE
2008,2009,66,Best Motion Picture - Drama,"Reader, The",,FALSE
2008,2009,66,Best Motion Picture - Drama,Revolutionary Road,,FALSE
2008,2009,66,Best Motion Picture - Musical or Comedy,Vicky Cristina Barcelona,,TRUE
2008,2009,66,Best Motion Picture - Musical or Comedy,Burn After Reading,,FALSE
2008,2009,66,Best Motion Picture - Musical or Comedy,Happy-Go-Lucky,,FALSE
2008,2009,66,Best Motion Picture - Musical or Comedy,In Bruges,,FALSE
2008,2009,66,Best Motion Picture - Musical or Comedy,Mamma Mia!,,FALSE
2008,2009,66,Best Performance by an Actress in a Motion Picture - Drama,Kate Winslet,Revolutionary Road,TRUE
2008,2009,66,Best Performance by an Actress in a Motion Picture - Drama,Meryl Streep,Doubt,FALSE
2008,2009,66,Best Performance by an Actress in a Motion Picture - Drama,Anne Hathaway,Rachel Getting Married,FALSE
2008,2009,66,Best Performance by an Actress in a Motion Picture - Drama,Angelina Jolie,Changeling,FALSE
2008,2009,66,Best Performance by an Actress in a Motion Picture - Drama,Kristin Scott Thomas,I've Loved You So Long,FALSE
2008,2009,66,Best Performance by an Actor in a Motion Picture - Drama,Mickey Rourke,The Wrestler,TRUE
2008,2009,66,Best Performance by an Actor in a Motion Picture - Drama,Brad Pitt,The Curious Case of Benjamin Button,FALSE
2008,2009,66,Best Performance by an Actor in a Motion Picture - Drama,Leonardo DiCaprio,Revolutionary Road,FALSE
2008,2009,66,Best Performance by an Actor in a Motion Picture - Drama,Frank Langella,Frost/Nixon,FALSE
2008,2009,66,Best Performance by an Actor in a Motion Picture - Drama,Sean Penn,Milk,FALSE
2008,2009,66,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Sally Hawkins,Happy-Go-Lucky,TRUE
2008,2009,66,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Rebecca Hall,Vicky Cristina Barcelona,FALSE
2008,2009,66,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Frances McDormand,Burn After Reading,FALSE
2008,2009,66,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Meryl Streep,Mamma Mia!,FALSE
2008,2009,66,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Emma Thompson,Last Chance Harvey,FALSE
2008,2009,66,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Colin Farrell,In Bruges,TRUE
2008,2009,66,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Javier Bardem,Vicky Cristina Barcelona,FALSE
2008,2009,66,Best Performance by an Actor in a Motion Picture - Musical or Comedy,James Franco,Pineapple Express,FALSE
2008,2009,66,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Brendan Gleeson,In Bruges,FALSE
2008,2009,66,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Dustin Hoffman,Last Chance Harvey,FALSE
2008,2009,66,Best Performance by an Actress in a Supporting Role in any Motion Picture,Kate Winslet,"Reader, The",TRUE
2008,2009,66,Best Performance by an Actress in a Supporting Role in any Motion Picture,Penélope Cruz,Vicky Cristina Barcelona,FALSE
2008,2009,66,Best Performance by an Actress in a Supporting Role in any Motion Picture,Viola Davis,Doubt,FALSE
2008,2009,66,Best Performance by an Actress in a Supporting Role in any Motion Picture,Marisa Tomei,The Wrestler,FALSE
2008,2009,66,Best Performance by an Actress in a Supporting Role in any Motion Picture,Amy Adams,Doubt,FALSE
2008,2009,66,Best Performance by an Actor in a Supporting Role in any Motion Picture,Heath Ledger,"Dark Knight, The",TRUE
2008,2009,66,Best Performance by an Actor in a Supporting Role in any Motion Picture,Tom Cruise,Tropic Thunder,FALSE
2008,2009,66,Best Performance by an Actor in a Supporting Role in any Motion Picture,Robert Downey Jr.,Tropic Thunder,FALSE
2008,2009,66,Best Performance by an Actor in a Supporting Role in any Motion Picture,Ralph Fiennes,"Duchess, The",FALSE
2008,2009,66,Best Performance by an Actor in a Supporting Role in any Motion Picture,Philip Seymour Hoffman,Doubt,FALSE
2008,2009,66,Best Director - Motion Picture,Danny Boyle,Slumdog Millionaire,TRUE
2008,2009,66,Best Director - Motion Picture,Stephen Daldry,"Reader, The",FALSE
2008,2009,66,Best Director - Motion Picture,David Fincher,The Curious Case of Benjamin Button,FALSE
2008,2009,66,Best Director - Motion Picture,Ron Howard,Frost/Nixon,FALSE
2008,2009,66,Best Director - Motion Picture,Sam Mendes,Revolutionary Road,FALSE
2008,2009,66,Best Screenplay - Motion Picture,Simon Beaufoy,Slumdog Millionaire,TRUE
2008,2009,66,Best Screenplay - Motion Picture,Eric Roth,The Curious Case of Benjamin Button,FALSE
2008,2009,66,Best Screenplay - Motion Picture,John Patrick Shanley,Doubt,FALSE
2008,2009,66,Best Screenplay - Motion Picture,David Hare,"Reader, The",FALSE
2008,2009,66,Best Screenplay - Motion Picture,Peter Morgan,Frost/Nixon,FALSE
2008,2009,66,Best Motion Picture - Animated,Wall-E,,TRUE
2008,2009,66,Best Motion Picture - Animated,Bolt,,FALSE
2008,2009,66,Best Motion Picture - Animated,Kung Fu Panda,,FALSE
2008,2009,66,Best Motion Picture - Foreign Language,Waltz with Bashir,"Israel, Ari Folman",TRUE
2008,2009,66,Best Motion Picture - Foreign Language,The Baader Meinhof Complex,"Germany, Uli Edel",FALSE
2008,2009,66,Best Motion Picture - Foreign Language,Everlasting Moments,"Sweden, Denmark, Jan Troell",FALSE
2008,2009,66,Best Motion Picture - Foreign Language,Gomorrah,"Italy, Matteo Garrone",FALSE
2008,2009,66,Best Motion Picture - Foreign Language,I've Loved You So Long,"France, Philippe Claudel",FALSE
2008,2009,66,Best Original Score - Motion Picture,A. R. Rahman,Slumdog Millionaire,TRUE
2008,2009,66,Best Original Score - Motion Picture,Alexandre Desplat,The Curious Case of Benjamin Button,FALSE
2008,2009,66,Best Original Score - Motion Picture,Clint Eastwood,Changeling,FALSE
2008,2009,66,Best Original Score - Motion Picture,James Newton Howard,Defiance,FALSE
2008,2009,66,Best Original Score - Motion Picture,Hans Zimmer,Frost/Nixon,FALSE
2008,2009,66,Best Original Song - Motion Picture,"The Wrestler, Bruce Springsteen",The Wrestler,TRUE
2008,2009,66,Best Original Song - Motion Picture,"Gran Torino, Clint Eastwood, Jamie Cullum, Kyle Eastwood, Michael Stevens",Gran Torino,FALSE
2008,2009,66,Best Original Song - Motion Picture,"""I Thought I Lost You"", Miley Cyrus, Jeffrey Steele",Bolt,FALSE
2008,2009,66,Best Original Song - Motion Picture,"""Once In A Lifetime"", Beyoncé, Scott McFarnon, Ian Dench, James Dring, Jody Street, Amanda Ghost",Cadillac Records,FALSE
2008,2009,66,Best Original Song - Motion Picture,"""Down To Earth"", Peter Gabriel, Thomas Newman",Wall-E,FALSE
2008,2009,66,Best Television Series - Drama,Mad Men,,TRUE
2008,2009,66,Best Television Series - Drama,Dexter,,FALSE
2008,2009,66,Best Television Series - Drama,House,,FALSE
2008,2009,66,Best Television Series - Drama,In Treatment,,FALSE
2008,2009,66,Best Television Series - Drama,True Blood,,FALSE
2008,2009,66,Best Television Series - Musical or Comedy,30 Rock,,TRUE
2008,2009,66,Best Television Series - Musical or Comedy,Californication,,FALSE
2008,2009,66,Best Television Series - Musical or Comedy,Entourage,,FALSE
2008,2009,66,Best Television Series - Musical or Comedy,"Office, The",,FALSE
2008,2009,66,Best Television Series - Musical or Comedy,Weeds,,FALSE
2008,2009,66,Best Television Limited Series or Motion Picture Made for Television,John Adams,,TRUE
2008,2009,66,Best Television Limited Series or Motion Picture Made for Television,A Raisin In The Sun,,FALSE
2008,2009,66,Best Television Limited Series or Motion Picture Made for Television,Bernard And Doris,,FALSE
2008,2009,66,Best Television Limited Series or Motion Picture Made for Television,Cranford,,FALSE
2008,2009,66,Best Television Limited Series or Motion Picture Made for Television,Recount,,FALSE
2008,2009,66,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Laura Linney,John Adams,TRUE
2008,2009,66,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Susan Sarandon,Bernard And Doris,FALSE
2008,2009,66,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Judi Dench,Cranford,FALSE
2008,2009,66,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Catherine Keener,"American Crime, An",FALSE
2008,2009,66,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Shirley MacLaine,Coco Chanel,FALSE
2008,2009,66,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Paul Giamatti,John Adams,TRUE
2008,2009,66,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Ralph Fiennes,Bernard And Doris,FALSE
2008,2009,66,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Kevin Spacey,Recount,FALSE
2008,2009,66,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Kiefer Sutherland,24,FALSE
2008,2009,66,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Tom Wilkinson,Recount,FALSE
2008,2009,66,Best Performance by an Actress In A Television Series - Drama,Anna Paquin,True Blood,TRUE
2008,2009,66,Best Performance by an Actress In A Television Series - Drama,Kyra Sedgwick,"Closer, The",FALSE
2008,2009,66,Best Performance by an Actress In A Television Series - Drama,Sally Field,Brothers & Sisters,FALSE
2008,2009,66,Best Performance by an Actress In A Television Series - Drama,Mariska Hargitay,Law & Order,FALSE
2008,2009,66,Best Performance by an Actress In A Television Series - Drama,January Jones,Mad Men,FALSE
2008,2009,66,Best Performance by an Actor In A Television Series - Drama,Gabriel Byrne,In Treatment,TRUE
2008,2009,66,Best Performance by an Actor In A Television Series - Drama,Michael C. Hall,Dexter,FALSE
2008,2009,66,Best Performance by an Actor In A Television Series - Drama,Jon Hamm,Mad Men,FALSE
2008,2009,66,Best Performance by an Actor In A Television Series - Drama,Hugh Laurie,House,FALSE
2008,2009,66,Best Performance by an Actor In A Television Series - Drama,Jonathan Rhys Meyers,"Tudors, The",FALSE
2008,2009,66,Best Performance by an Actress in a Television Series - Musical or Comedy,Tina Fey,30 Rock,TRUE
2008,2009,66,Best Performance by an Actress in a Television Series - Musical or Comedy,America Ferrera,Ugly Betty,FALSE
2008,2009,66,Best Performance by an Actress in a Television Series - Musical or Comedy,Debra Messing,"Starter Wife, The",FALSE
