trip_id,start_time,end_time,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthyear
17537077,######,######,4556,354,110,Dearborn St & Erie St,176,Clark St & Elm St,Subscriber,Male,1993
17537078,######,######,2471,274,74,Kingsbury St & Erie St,110,Dearborn St & Erie St,Subscriber,Male,1986
17537079,######,######,2214,399,76,Lake Shore Dr & Monroe St,52,Michigan Ave & Lake St,Subscriber,Male,1991
17537080,######,######,1525,249,188,Greenview Ave & Fullerton Ave,87,Racine Ave & Fullerton Ave,Subscriber,Male,1967
17537084,######,######,2679,469,44,State St & Randolph St,77,Clinton St & Madison St,Subscriber,Male,1970
17537085,######,######,2928,218,59,Wabash Ave & Roosevelt Rd,626,Delano Ct & Roosevelt Rd,Subscriber,Male,1992
17537086,######,######,4621,790,110,Dearborn St & Erie St,176,Clark St & Elm St,Subscriber,Male,1994
17537087,######,######,3817,344,364,Larrabee St & Oak St,133,Kingsbury St & Kinzie St,Subscriber,Male,1985
17537090,######,######,4019,241,575,Cottage Grove Ave & 78th St,574,Eberhart (Vernon) Ave & 79th St,Subscriber,Male,1997
17537091,######,######,2928,242,626,Delano Ct & Roosevelt Rd,414,Canal St & Taylor St,Subscriber,Male,1992
17537092,######,######,180,"1,060.00",340,Clark St & Wrightwood Ave,58,Marshfield Ave & Cortland St,Subscriber,Male,1964
17537094,######,######,2928,"1,317.00",414,Canal St & Taylor St,103,Clinton St & Polk St (*),Subscriber,Male,1992
17537097,######,######,2833,455,144,Larrabee St & Webster Ave,223,Clifton Ave & Armitage Ave,Subscriber,Female,1993
17537098,######,######,6141,763,214,Damen Ave & Grand Ave,219,Damen Ave & Cortland St,Subscriber,Male,1971
17537099,######,######,2120,851,575,Cottage Grove Ave & 78th St,575,Cottage Grove Ave & 78th St,Subscriber,Male,1997
17537100,######,######,6189,"1,521.00",53,Wells St & Huron St,52,Michigan Ave & Lake St,Customer,,
17537101,######,######,5235,228,211,St. Clair St & Erie St,53,Wells St & Huron St,Subscriber,Male,1987
17537102,######,######,4089,660,290,Kedzie Ave & Palmer Ct,502,California Ave & Altgeld St,Subscriber,Female,1987
17537103,######,######,2045,721,26,McClurg Ct & Illinois St,174,Canal St & Madison St,Subscriber,Male,1964
17537104,######,######,3241,224,160,Campbell Ave & North Ave,276,California Ave & North Ave,Subscriber,Male,1975
17537105,######,######,4589,727,199,Wabash Ave & Grand Ave,192,Canal St & Adams St,Subscriber,Male,1975
17537106,######,######,6265,405,53,Wells St & Huron St,364,Larrabee St & Oak St,Subscriber,Male,1987
17537107,######,######,3839,375,140,Dearborn Pkwy & Delaware Pl,364,Larrabee St & Oak St,Subscriber,Male,1966
17537108,######,######,5518,776,502,California Ave & Altgeld St,491,Talman Ave & Addison St,Subscriber,Female,1987
17537109,######,######,2727,"2,445.00",574,Eberhart (Vernon) Ave & 79th St,575,Cottage Grove Ave & 78th St,Subscriber,Male,1997
17537110,######,######,6265,"1,257.00",364,Larrabee St & Oak St,90,Millennium Park,Subscriber,Male,1963
17537111,######,######,2928,502,103,Clinton St & Polk St (*),103,Clinton St & Polk St (*),Subscriber,Male,1992
17537112,######,######,1815,331,133,Kingsbury St & Kinzie St,174,Canal St & Madison St,Subscriber,Male,1982
17537117,######,######,4698,197,52,Michigan Ave & Lake St,38,Clark St & Lake St,Subscriber,Female,1976
17537120,######,######,6127,330,195,Columbus Dr & Randolph St,49,Dearborn St & Monroe St,Subscriber,Male,1981
17537121,######,######,6189,"1,173.00",52,Michigan Ave & Lake St,181,LaSalle St & Illinois St,Customer,,
17537122,######,######,2928,391,103,Clinton St & Polk St (*),626,Delano Ct & Roosevelt Rd,Subscriber,Male,1992
17537125,######,######,433,"1,900.00",160,Campbell Ave & North Ave,113,Bissell St & Armitage Ave,Subscriber,Male,1987
17537126,######,######,2928,482,626,Delano Ct & Roosevelt Rd,626,Delano Ct & Roosevelt Rd,Subscriber,Male,1992
17537130,######,######,2471,328,110,Dearborn St & Erie St,74,Kingsbury St & Erie St,Subscriber,Male,1986
17537131,######,######,2941,817,26,McClurg Ct & Illinois St,77,Clinton St & Madison St,Subscriber,Male,1985
17537132,######,######,5179,800,303,Broadway & Cornelia Ave,251,Clarendon Ave & Leland Ave,Subscriber,Female,1964
17537133,######,######,5520,282,164,Franklin St & Lake St,49,Dearborn St & Monroe St,Subscriber,Male,1991
17537134,######,######,3817,395,133,Kingsbury St & Kinzie St,364,Larrabee St & Oak St,Subscriber,Male,1985
17537135,######,######,3,340,51,Clark St & Randolph St,195,Columbus Dr & Randolph St,Subscriber,Male,1993
17537136,######,######,5285,106,321,Wabash Ave & 9th St,59,Wabash Ave & Roosevelt Rd,Subscriber,Male,1978
17537137,######,######,3806,427,211,St. Clair St & Erie St,74,Kingsbury St & Erie St,Subscriber,Male,1983
17537138,######,######,5429,333,116,Western Ave & Winnebago Ave,160,Campbell Ave & North Ave,Subscriber,Female,1980
17537139,######,######,5646,738,258,Logan Blvd & Elston Ave,290,Kedzie Ave & Palmer Ct,Subscriber,Male,1994
17537145,######,######,3806,197,74,Kingsbury St & Erie St,133,Kingsbury St & Kinzie St,Subscriber,Male,1978
17537148,######,######,4267,260,507,Humboldt Blvd & Armitage Ave,123,California Ave & Milwaukee Ave,Subscriber,Male,1986
17537149,######,######,5285,161,59,Wabash Ave & Roosevelt Rd,321,Wabash Ave & 9th St,Subscriber,Male,1978
17537150,######,######,3855,484,286,Franklin St & Quincy St,198,Green St & Madison St,Subscriber,Male,1969
17537151,######,######,1336,203,183,Damen Ave & Thomas St (Augusta Blvd),374,Western Ave & Walton St,Subscriber,Male,1992
17537152,######,######,6088,258,180,Ritchie Ct & Banks St,268,Lake Shore Dr & North Blvd,Subscriber,Female,1994
17537153,######,######,6158,"4,405.00",77,Clinton St & Madison St,71,Morgan St & Lake St,Customer,,
17537154,######,######,1798,305,94,Clark St & Armitage Ave,118,Sedgwick St & North Ave,Subscriber,Male,1994
17537155,######,######,2928,181,626,Delano Ct & Roosevelt Rd,394,Clark St & 9th St (AMLI),Subscriber,Male,1987
17537156,######,######,4640,358,280,Morgan St & 31st St,279,Halsted St & 35th St (*),Subscriber,Male,1992
17537157,######,######,1936,"1,405.00",106,State St & Pearson St,176,Clark St & Elm St,Subscriber,Male,1994
17537158,######,######,1715,933,24,Fairbanks Ct & Grand Ave,283,LaSalle St & Jackson Blvd,Subscriber,Male,1963
17537159,######,######,5967,240,338,Calumet Ave & 18th St,72,Wabash Ave & 16th St,Subscriber,Male,1975
17537160,######,######,6215,260,112,Green St & Randolph St,80,Aberdeen St & Monroe St,Subscriber,Male,1978
17537162,######,######,3386,"1,261.00",626,Delano Ct & Roosevelt Rd,74,Kingsbury St & Erie St,Subscriber,Male,1992
17537163,######,######,3713,813,198,Green St & Madison St,137,Morgan Ave & 14th Pl,Subscriber,Male,1969
17537165,######,######,3149,398,423,University Ave & 57th St,322,Kimbark Ave & 53rd St,Subscriber,Male,1982
