gemini_query,gemini_llm_transform,gemini_gt_transform,gemini_same_data,gemini_llm_output,gemini_gt_output
make a list of the number of total hfs in descending order,"df = df.sort_values(by='Total HFs', ascending=False)","df.sort_values(by=[""Total HFs""], ascending=False); df[""Total HFs""]",FALSE,"{""Region"": ""object"", ""Total HFs"": ""int64"", ""Hospital"": ""int64"", ""Health Centre"": ""int64"", ""Dispensary"": ""int64"", ""Clinic"": ""int64"", ""Population"": ""int64"", ""ration of population over HF"": ""float64""}","{""index"": ""int64"", ""Total HFs"": ""int64""}"
what is the average count of hospitals,df.groupby('Region')['Hospital'].mean(),df['Hospital'],FALSE,"{""Region"": ""object"", ""Hospital"": ""float64""}","{""index"": ""int64"", ""Hospital"": ""int64""}"
what is the number of clinics that are in mara,df[df['Region'] == 'Mara']['Clinic'].iloc[0],df.loc[df['Region'] == 'Mara'][ 'Clinic'],FALSE,5,"{""index"": ""int64"", ""Clinic"": ""int64""}"
what's the distribution of the entire hfs,df[df['Total HFs']!=0],"df[['Hospital', 'Health Centre', 'Dispensary', 'Clinic', 'Total HFs']]",FALSE,"{""Region"": ""object"", ""Total HFs"": ""int64"", ""Hospital"": ""int64"", ""Health Centre"": ""int64"", ""Dispensary"": ""int64"", ""Clinic"": ""int64"", ""Population"": ""int64"", ""ration of population over HF"": ""float64""}","{""Hospital"": ""int64"", ""Health Centre"": ""int64"", ""Dispensary"": ""int64"", ""Clinic"": ""int64"", ""Total HFs"": ""int64""}"
which region has the lowest population ratio of hf,df[df['ration of population over HF'] == df['ration of population over HF'].min()],"df[['ration of population over HF', 'Region']]",FALSE,"{""Region"": ""object"", ""Total HFs"": ""int64"", ""Hospital"": ""int64"", ""Health Centre"": ""int64"", ""Dispensary"": ""int64"", ""Clinic"": ""int64"", ""Population"": ""int64"", ""ration of population over HF"": ""float64""}","{""ration of population over HF"": ""float64"", ""Region"": ""object""}"
enter the regions from this table,df = df[['Region']],df['Region'].unique(),"[False False False False False False False False False False False False
 False False False False False False False False False False False False
 False]","{""Region"": ""object""}","['Arusha' 'Dar Es Salaam' 'Dodoma' 'Geita' 'Iringa' 'Kagera ' 'Katavi'
 'Kigoma' 'Kilimanjaro' 'Lindi' 'Manyara' 'Mara' 'Mbeya ' 'Morogoro '
 'Mtwara' 'Mwanza' 'Njombe' 'Pwani' 'Rukwa' 'Ruvuma' 'Shinyanga' 'Simiyu '
 'Singida' 'Tabora' 'Tanga']"
look for the region that has the most people living in it,df[df['Population'] == df['Population'].max()],"df[['Population', 'Region']]",FALSE,"{""Region"": ""object"", ""Total HFs"": ""int64"", ""Hospital"": ""int64"", ""Health Centre"": ""int64"", ""Dispensary"": ""int64"", ""Clinic"": ""int64"", ""Population"": ""int64"", ""ration of population over HF"": ""float64""}","{""Population"": ""int64"", ""Region"": ""object""}"
remove any regions with a population ratio of hf lower than 15,df = df[df['ration of population over HF'] > 1.5],df[df['ration of population over HF'] >= 1.5],TRUE,"{""Region"": ""object"", ""Total HFs"": ""int64"", ""Hospital"": ""int64"", ""Health Centre"": ""int64"", ""Dispensary"": ""int64"", ""Clinic"": ""int64"", ""Population"": ""int64"", ""ration of population over HF"": ""float64""}","{""Region"": ""object"", ""Total HFs"": ""int64"", ""Hospital"": ""int64"", ""Health Centre"": ""int64"", ""Dispensary"": ""int64"", ""Clinic"": ""int64"", ""Population"": ""int64"", ""ration of population over HF"": ""float64""}"
the population range needs to be discovered,"df.groupby('Region')['Population'].agg(['min', 'max'])",df['Population'],FALSE,"{""min"": ""int64"", ""max"": ""int64""}","{""index"": ""int64"", ""Population"": ""int64""}"
do any regions have their population ratio over 20 hf,df[df['ration of population over HF']>2],df[df['ration of population over HF'] > 2.0],TRUE,"{""Region"": ""object"", ""Total HFs"": ""int64"", ""Hospital"": ""int64"", ""Health Centre"": ""int64"", ""Dispensary"": ""int64"", ""Clinic"": ""int64"", ""Population"": ""int64"", ""ration of population over HF"": ""float64""}","{""Region"": ""object"", ""Total HFs"": ""int64"", ""Hospital"": ""int64"", ""Health Centre"": ""int64"", ""Dispensary"": ""int64"", ""Clinic"": ""int64"", ""Population"": ""int64"", ""ration of population over HF"": ""float64""}"
"when the score difference is more than 5, please list the extreme matches to this","df = df[abs(df['home_score'] - df['away_score']) > 5][['home_team', 'away_team', 'home_score', 'away_score']]","df[""score diff""] = abs(df['home_score'] - df['away_score']) ; df[df[""score diff""] > 5]",FALSE,"{""home_team"": ""object"", ""away_team"": ""object"", ""home_score"": ""int64"", ""away_score"": ""int64""}","{""date"": ""object"", ""home_team"": ""object"", ""away_team"": ""object"", ""home_score"": ""int64"", ""away_score"": ""int64"", ""tournament"": ""object"", ""city"": ""object"", ""country"": ""object"", ""neutral"": ""bool"", ""score diff"": ""int64""}"
please indicate the friendly tournament matches in which the home team beat the away team,df = df[(df['home_score'] > df['away_score']) & (df['tournament'] == 'Friendly')],df[(df['tournament'] == 'Friendly') & (df['home_score'] > df['away_score'])],TRUE,"{""date"": ""object"", ""home_team"": ""object"", ""away_team"": ""object"", ""home_score"": ""int64"", ""away_score"": ""int64"", ""tournament"": ""object"", ""city"": ""object"", ""country"": ""object"", ""neutral"": ""bool""}","{""date"": ""object"", ""home_team"": ""object"", ""away_team"": ""object"", ""home_score"": ""int64"", ""away_score"": ""int64"", ""tournament"": ""object"", ""city"": ""object"", ""country"": ""object"", ""neutral"": ""bool""}"
tell me all the tournament matches that the home team won against the away team,"df = df[['home_team', 'away_team', 'home_score', 'away_score']]",df[df['home_score'] > df['away_score']],FALSE,"{""home_team"": ""object"", ""away_team"": ""object"", ""home_score"": ""int64"", ""away_score"": ""int64""}","{""date"": ""object"", ""home_team"": ""object"", ""away_team"": ""object"", ""home_score"": ""int64"", ""away_score"": ""int64"", ""tournament"": ""object"", ""city"": ""object"", ""country"": ""object"", ""neutral"": ""bool""}"
which group of nations won the most games,"df['winning_team'] = df['home_team'].mask(df['home_score'] < df['away_score'], df['away_team']); df['wins'] = df['winning_team'].groupby(df['winning_team']).transform('size')","df[""home_won""] =  df[""home_score""] > df[""away_score""]; df[""away_won""] = df[""away_score""] > df[""home_score""]; home_res = df[df[""home_won""]==True][""country""].value_counts(); away_res = df[df[""away_won""]==True][""country""].value_counts(); r = home_res.add(away_res, fill_value=0)",FALSE,Error running code,"{""country"": ""object"", ""count"": ""float64""}"
"based on the number of matches, can you tell me what the distribution of cities is",df.groupby('city').size(),df['city'].value_counts(),FALSE,"{""city"": ""object"", ""0"": ""int64""}","{""city"": ""object"", ""count"": ""int64""}"
what group of nations of have the most games,df['home_team_count'] = df.groupby('home_team')['home_team'].transform('count'); df['away_team_count'] = df.groupby('away_team')['away_team'].transform('count'); df = df[df['home_team_count'] > 0 | df['away_team_count'] > 0]; df['total_games'] = df['home_team_count'] + df['away_team_count'],games_played = df['home_team'].value_counts() + df['away_team'].value_counts(),FALSE,Error running code,"{""index"": ""object"", ""count"": ""float64""}"
what countries have won a similar number of games,"df.groupby(['home_team', 'away_team']).size().to_frame('count').reset_index().merge(df.groupby(['home_team', 'away_team']).size().to_frame('count').reset_index(), left_on=['home_team', 'count'], right_on=['away_team', 'count']).drop('away_team_y', axis=1).rename(columns={'away_team_x':'opponent_team', 'count_y':'opponent_team_wins'}).drop_duplicates(['home_team', 'opponent_team']).sort_values(['home_team', 'opponent_team_wins'])","df[""home_won""] = df[""home_score""] > df[""away_score""]; df[""away_won""] = df[""away_score""] > df[""home_score""]; home_res = df[df[""home_won""]==True][""country""].value_counts(); away_res = df[df[""away_won""]==True][""country""].value_count(); r = home_res.add(away_res, fill_value=0)",TRUE,Error running code,Error running code
do you know which videos have more than 100 tags,"df_filtered = df[df['tags'].str.split(',').str.len() > 100]",df['tag_count'] = df['tags'].apply(lambda x: len(x.split('|'))); videos_over_100_tags = df[df['tag_count'] > 100],FALSE,"{""video_id"": ""object"", ""trending_date"": ""object"", ""title"": ""object"", ""channel_title"": ""object"", ""category_id"": ""object"", ""publish_time"": ""object"", ""tags"": ""object"", ""views"": ""int64"", ""likes"": ""object"", ""dislikes"": ""object"", ""comment_count"": ""object"", ""thumbnail_link"": ""object"", ""comments_disabled"": ""object"", ""ratings_disabled"": ""object"", ""video_error_or_removed"": ""object"", ""description"": ""object"", ""Unnamed: 16"": ""float64"", ""Unnamed: 17"": ""float64"", ""Unnamed: 18"": ""object"", ""Unnamed: 19"": ""object"", ""Unnamed: 20"": ""object"", ""Unnamed: 21"": ""object"", ""Unnamed: 22"": ""object"", ""Unnamed: 23"": ""object""}","{""video_id"": ""object"", ""trending_date"": ""object"", ""title"": ""object"", ""channel_title"": ""object"", ""category_id"": ""object"", ""publish_time"": ""object"", ""tags"": ""object"", ""views"": ""int64"", ""likes"": ""object"", ""dislikes"": ""object"", ""comment_count"": ""object"", ""thumbnail_link"": ""object"", ""comments_disabled"": ""object"", ""ratings_disabled"": ""object"", ""video_error_or_removed"": ""object"", ""description"": ""object"", ""Unnamed: 16"": ""float64"", ""Unnamed: 17"": ""float64"", ""Unnamed: 18"": ""object"", ""Unnamed: 19"": ""object"", ""Unnamed: 20"": ""object"", ""Unnamed: 21"": ""object"", ""Unnamed: 22"": ""object"", ""Unnamed: 23"": ""object"", ""tag_count"": ""int64""}"
"in the videos by ' eminemvevo ', what are the average number of comments made",df = df[df['channel_title'] == 'EminemVevo'],"df.groupby(""channel_title"")['comment_count'].mean()",FALSE,"{""video_id"": ""object"", ""trending_date"": ""object"", ""title"": ""object"", ""channel_title"": ""object"", ""category_id"": ""object"", ""publish_time"": ""object"", ""tags"": ""object"", ""views"": ""int64"", ""likes"": ""object"", ""dislikes"": ""object"", ""comment_count"": ""object"", ""thumbnail_link"": ""object"", ""comments_disabled"": ""object"", ""ratings_disabled"": ""object"", ""video_error_or_removed"": ""object"", ""description"": ""object"", ""Unnamed: 16"": ""float64"", ""Unnamed: 17"": ""float64"", ""Unnamed: 18"": ""object"", ""Unnamed: 19"": ""object"", ""Unnamed: 20"": ""object"", ""Unnamed: 21"": ""object"", ""Unnamed: 22"": ""object"", ""Unnamed: 23"": ""object""}",Error running code
filter all the videos published before yesterday,df = df[df['trending_date'] < yesterday],,FALSE,Error running code,data transforms is empty
which videos are missing thumbnail links,df = df[df['thumbnail_link'].isnull()],df[df['thumbnail_link'].isna()],TRUE,"{""video_id"": ""object"", ""trending_date"": ""object"", ""title"": ""object"", ""channel_title"": ""object"", ""category_id"": ""object"", ""publish_time"": ""object"", ""tags"": ""object"", ""views"": ""int64"", ""likes"": ""object"", ""dislikes"": ""object"", ""comment_count"": ""object"", ""thumbnail_link"": ""object"", ""comments_disabled"": ""object"", ""ratings_disabled"": ""object"", ""video_error_or_removed"": ""object"", ""description"": ""object"", ""Unnamed: 16"": ""float64"", ""Unnamed: 17"": ""float64"", ""Unnamed: 18"": ""object"", ""Unnamed: 19"": ""object"", ""Unnamed: 20"": ""object"", ""Unnamed: 21"": ""object"", ""Unnamed: 22"": ""object"", ""Unnamed: 23"": ""object""}","{""video_id"": ""object"", ""trending_date"": ""object"", ""title"": ""object"", ""channel_title"": ""object"", ""category_id"": ""object"", ""publish_time"": ""object"", ""tags"": ""object"", ""views"": ""int64"", ""likes"": ""object"", ""dislikes"": ""object"", ""comment_count"": ""object"", ""thumbnail_link"": ""object"", ""comments_disabled"": ""object"", ""ratings_disabled"": ""object"", ""video_error_or_removed"": ""object"", ""description"": ""object"", ""Unnamed: 16"": ""float64"", ""Unnamed: 17"": ""float64"", ""Unnamed: 18"": ""object"", ""Unnamed: 19"": ""object"", ""Unnamed: 20"": ""object"", ""Unnamed: 21"": ""object"", ""Unnamed: 22"": ""object"", ""Unnamed: 23"": ""object""}"
' plush- bad unboxing fan mail ' belongs to which specific channel,df = df[df['tags'].str.contains('plush') & df['tags'].str.contains('bad') & df['tags'].str.contains('unboxing') & df['tags'].str.contains('fan mail')],df[df['title'].str == 'Plush - Bad Unboxing Fan Mail']['channel_title'].iloc[0],FALSE,"{""video_id"": ""object"", ""trending_date"": ""object"", ""title"": ""object"", ""channel_title"": ""object"", ""category_id"": ""object"", ""publish_time"": ""object"", ""tags"": ""object"", ""views"": ""int64"", ""likes"": ""object"", ""dislikes"": ""object"", ""comment_count"": ""object"", ""thumbnail_link"": ""object"", ""comments_disabled"": ""object"", ""ratings_disabled"": ""object"", ""video_error_or_removed"": ""object"", ""description"": ""object"", ""Unnamed: 16"": ""float64"", ""Unnamed: 17"": ""float64"", ""Unnamed: 18"": ""object"", ""Unnamed: 19"": ""object"", ""Unnamed: 20"": ""object"", ""Unnamed: 21"": ""object"", ""Unnamed: 22"": ""object"", ""Unnamed: 23"": ""object""}",Error running code
which video has the most tags,df.groupby('video_id')['tags'].apply(lambda x: len(x.split('|'))).max(),,FALSE,Error running code,data transforms is empty
"give me a list of videos, ordered by the number of likes, that are on the channel ' eminemvevo '","df = df[df['channel_title'] == ""eminemvevo""]; df = df.sort_values('likes', ascending=False); df[['video_id', 'likes', 'channel_title']]","df[df['channel_title'].str == 'eminemvevo'].sort_values('likes', ascending=False); df[[{""title"",""channel_title"", ""likes""]]",FALSE,"{""video_id"": ""object"", ""trending_date"": ""object"", ""title"": ""object"", ""channel_title"": ""object"", ""category_id"": ""object"", ""publish_time"": ""object"", ""tags"": ""object"", ""views"": ""int64"", ""likes"": ""object"", ""dislikes"": ""object"", ""comment_count"": ""object"", ""thumbnail_link"": ""object"", ""comments_disabled"": ""object"", ""ratings_disabled"": ""object"", ""video_error_or_removed"": ""object"", ""description"": ""object"", ""Unnamed: 16"": ""float64"", ""Unnamed: 17"": ""float64"", ""Unnamed: 18"": ""object"", ""Unnamed: 19"": ""object"", ""Unnamed: 20"": ""object"", ""Unnamed: 21"": ""object"", ""Unnamed: 22"": ""object"", ""Unnamed: 23"": ""object""}",Error running code
show me the video with the highest number of tags,"df_copy = df.copy()
df_copy['tag_count'] = df_copy['tags'].apply(lambda x: len(x.split('|')))
df_copy = df_copy.sort_values('tag_count', ascending=False)
df_copy = df_copy.head(1)","df['tag_count'] = df['tags'].apply(lambda x: len(x.split('|'))); df[""tag_count""]",FALSE,Error running code,"{""index"": ""int64"", ""tag_count"": ""int64""}"
indicate the number of likes that ' plush- bad unboxing fan mail ' receives,"df = df[df['title'] == "" plush - bad unboxing fan mail ""]","df[['title','likes']]",FALSE,"{""video_id"": ""object"", ""trending_date"": ""object"", ""title"": ""object"", ""channel_title"": ""object"", ""category_id"": ""object"", ""publish_time"": ""object"", ""tags"": ""object"", ""views"": ""int64"", ""likes"": ""object"", ""dislikes"": ""object"", ""comment_count"": ""object"", ""thumbnail_link"": ""object"", ""comments_disabled"": ""object"", ""ratings_disabled"": ""object"", ""video_error_or_removed"": ""object"", ""description"": ""object"", ""Unnamed: 16"": ""float64"", ""Unnamed: 17"": ""float64"", ""Unnamed: 18"": ""object"", ""Unnamed: 19"": ""object"", ""Unnamed: 20"": ""object"", ""Unnamed: 21"": ""object"", ""Unnamed: 22"": ""object"", ""Unnamed: 23"": ""object""}","{""title"": ""object"", ""likes"": ""object""}"
what is the number if likes from the ' plush- bad unboxing fan mail ' video,,"df[['title','likes']]",FALSE,data transforms is empty,"{""title"": ""object"", ""likes"": ""object""}"
discover the most liked removed video,df = df[df['video_error_or_removed']==True]; df[df['likes']==df['likes'].max()],"df.sort_values('likes', ascending=False); df[[""likes"", ""video_error_or_removed""]]",FALSE,"{""video_id"": ""object"", ""trending_date"": ""object"", ""title"": ""object"", ""channel_title"": ""object"", ""category_id"": ""object"", ""publish_time"": ""object"", ""tags"": ""object"", ""views"": ""int64"", ""likes"": ""object"", ""dislikes"": ""object"", ""comment_count"": ""object"", ""thumbnail_link"": ""object"", ""comments_disabled"": ""object"", ""ratings_disabled"": ""object"", ""video_error_or_removed"": ""object"", ""description"": ""object"", ""Unnamed: 16"": ""float64"", ""Unnamed: 17"": ""float64"", ""Unnamed: 18"": ""object"", ""Unnamed: 19"": ""object"", ""Unnamed: 20"": ""object"", ""Unnamed: 21"": ""object"", ""Unnamed: 22"": ""object"", ""Unnamed: 23"": ""object""}","{""likes"": ""object"", ""video_error_or_removed"": ""object""}"
are there are special characters included in the title,,"df['special_chars_in_title'] = df['title'].apply(lambda x: re.search(r'[^a-zA-Z0-9 ]', x).group(0)); special_chars_videos = df[df['special_chars_in_title']].value_counts()",TRUE,Error running code,Error running code
do videos with longer titles get more attention,,"df['title_length'] = df['title'].str.len(); title_length_attention_corr = df[['title_length','views']]",FALSE,Error running code,"{""title_length"": ""int64"", ""views"": ""int64""}"
tell me about the ' plush- bad unboxing fan mail ' video,"df = df[df['title'] == ""plush - bad unboxing fan mail ""]; df = df.sort_values('views', ascending=False).head(1)",df[df['title'].astype(str) == 'Plush - Bad Unboxing Fan Mail']['channel_title'],FALSE,"{""video_id"": ""object"", ""trending_date"": ""object"", ""title"": ""object"", ""channel_title"": ""object"", ""category_id"": ""object"", ""publish_time"": ""object"", ""tags"": ""object"", ""views"": ""int64"", ""likes"": ""object"", ""dislikes"": ""object"", ""comment_count"": ""object"", ""thumbnail_link"": ""object"", ""comments_disabled"": ""object"", ""ratings_disabled"": ""object"", ""video_error_or_removed"": ""object"", ""description"": ""object"", ""Unnamed: 16"": ""float64"", ""Unnamed: 17"": ""float64"", ""Unnamed: 18"": ""object"", ""Unnamed: 19"": ""object"", ""Unnamed: 20"": ""object"", ""Unnamed: 21"": ""object"", ""Unnamed: 22"": ""object"", ""Unnamed: 23"": ""object""}","{""index"": ""float64"", ""channel_title"": ""float64""}"
can you show me how the likes are distributed,"df.groupby('Entity', 'Year')['likes'].agg(['min', 'max', 'mean'])",df['likes'],FALSE,Error running code,"{""index"": ""int64"", ""likes"": ""object""}"
what is the propensity of the number of vehicles in japan and korea from the year 2000 to 2010,,,TRUE,data transforms is empty,data transforms is empty
does life expectancy have any relation with the percentage of smokers,"df[['Percentage of Smokers', 'Life Expectancy (by years)']]"," df[['Life Expectancy (by years)','Percentage of Smokers']]",FALSE,"{""Percentage of Smokers"": ""float64"", ""Life Expectancy (by years)"": ""float64""}","{""Life Expectancy (by years)"": ""float64"", ""Percentage of Smokers"": ""float64""}"
is the male to female ratio more imbalanced in the last decade in russia,,,TRUE,data transforms is empty,data transforms is empty
show me the gdp ranking of european countries,,,TRUE,data transforms is empty,data transforms is empty
"to cluster the states in the us, i wish to use middle income","df['Median Income 2007'] = pd.cut(df['Median Income 2007'], bins=[0, 30000, 40000, 50000, 60000, 70000, 80000], labels=['low', 'middle', 'high', 'very high'])","df[[""State"", ""Median Income 2007""]]",FALSE,Error running code,"{""State"": ""object"", ""Median Income 2007"": ""int64""}"
do all the countries in africa have a lower average pci than all the countries in europe,"df = df.groupby('Continent')['GDP per capita'].mean(); df = df[df['Continent'].isin(['Africa', 'Europe'])]",,FALSE,Error running code,data transforms is empty
could you tell me the continental location of the poorest ( lowest income ) country,df.groupby('State')['Median Income 2007'].min().sort_values();,"df.sort_values(by=[""Median Income 2007""]); df[[""State"", ""Median Income 2007""]]",TRUE,"{""State"": ""object"", ""Median Income 2007"": ""int64""}","{""State"": ""object"", ""Median Income 2007"": ""int64""}"
"when looking at the average income in european countries, what is the variance",df = df[df['State'].isin(european_countries)]; df['Median Income 2007'].var(),"df[""Median Income 2007""]",FALSE,Error running code,"{""index"": ""int64"", ""Median Income 2007"": ""int64""}"
what is the average height of the floors of these buildings,df['Average_Floor_Height'] = df['Meters'] / df['Stories'],"df['Floor Height'] = df['Meters'] / df['Stories']; df[""Floor Height""]",FALSE,Error running code,"{""index"": ""int64"", ""Floor Height"": ""float64""}"
compare the number of tall buildings in hong kong with taiwan,filtered_df = df[df['Meters'] > 400],"df = df[(df[""Building/City""] ==""Hong Kong"") | (df[""Building/City""]==""Taiwan"")]; df[""Building/City""].value_counts()",TRUE,"{""Rank"": ""int64"", ""name"": ""object"", ""Building/City"": ""object"", ""Country/Region"": ""object"", ""Year"": ""int64"", ""Stories"": ""int64"", ""Meters"": ""int64"", ""Feet"": ""float64"", ""Unnamed: 8"": ""float64""}","{""Rank"": ""int64"", ""name"": ""object"", ""Building/City"": ""object"", ""Country/Region"": ""object"", ""Year"": ""int64"", ""Stories"": ""int64"", ""Meters"": ""int64"", ""Feet"": ""float64"", ""Unnamed: 8"": ""float64""}"
compare the number of tall buildings in hong kong with taiwan,filtered_df = df[df['Meters'] > 400],"df = df[(df[""Building/City""] ==""Hong Kong"") | (df[""Building/City""]==""Taiwan"")]; df[""Building/City""].value_counts()",TRUE,"{""Rank"": ""int64"", ""name"": ""object"", ""Building/City"": ""object"", ""Country/Region"": ""object"", ""Year"": ""int64"", ""Stories"": ""int64"", ""Meters"": ""int64"", ""Feet"": ""float64"", ""Unnamed: 8"": ""float64""}","{""Rank"": ""int64"", ""name"": ""object"", ""Building/City"": ""object"", ""Country/Region"": ""object"", ""Year"": ""int64"", ""Stories"": ""int64"", ""Meters"": ""int64"", ""Feet"": ""float64"", ""Unnamed: 8"": ""float64""}"
what location has the highest number of tall buildings,df.groupby('Country/Region')['Building/City'].count(),"df[[""Building/City"", ""Country/Region""]].value_counts()",FALSE,"{""Country/Region"": ""object"", ""Building/City"": ""int64""}","{""Building/City"": ""object"", ""Country/Region"": ""object"", ""count"": ""int64""}"
"provide the total sum of all the separated, divorced, and widowed people in lindi",,"df[df['Regions'] == 'Lindi'][['Separated', 'Divorced', 'Widowed']]",FALSE,data transforms is empty,"{""Separated"": ""int64"", ""Divorced"": ""int64"", ""Widowed"": ""int64""}"
does simiyu have a similar structure of peope as that of katavi,,"df[df[""Regions""].isin([""Simiyu"", ""Katavi""])]",FALSE,data transforms is empty,"{""Regions"": ""object"", ""Total"": ""int64"", ""Never Married"": ""int64"", ""Married"": ""int64"", ""Living Together"": ""int64"", ""Separated"": ""int64"", ""Divorced"": ""int64"", ""Widowed"": ""int64""}"
can you tell me how mara attributes are distributed,,df[df['Regions'] == 'Mara'],FALSE,data transforms is empty,"{""Regions"": ""object"", ""Total"": ""int64"", ""Never Married"": ""int64"", ""Married"": ""int64"", ""Living Together"": ""int64"", ""Separated"": ""int64"", ""Divorced"": ""int64"", ""Widowed"": ""int64""}"
is the total attribute of one area equal to the sum of the other attributes in any area,,"df['calculated_total'] = df[['Never Married', 'Married', 'Living Together', 'Separated', 'Divorced', 'Widowed']].sum(axis=1); df['total_matches'] = df['Total'] == df['calculated_total']; areas_matching = df[df['total_matches']]",FALSE,data transforms is empty,"{""Regions"": ""object"", ""Total"": ""int64"", ""Never Married"": ""int64"", ""Married"": ""int64"", ""Living Together"": ""int64"", ""Separated"": ""int64"", ""Divorced"": ""int64"", ""Widowed"": ""int64"", ""calculated_total"": ""int64"", ""total_matches"": ""bool""}"
relationship between imdb rating and rotten tomatoes rating,,"df[['IMDB Rating','Rotten Tomatoes Rating']]",FALSE,data transforms is empty,"{""IMDB Rating"": ""float64"", ""Rotten Tomatoes Rating"": ""int64""}"
what's the production budget for movies in different years,df.groupby('Release Year')['Production Budget'].mean(),df.groupby('Release Year')['Production Budget'].mean(),TRUE,"{""Release Year"": ""int64"", ""Production Budget"": ""float64""}","{""Release Year"": ""int64"", ""Production Budget"": ""float64""}"
movie gross and budget relationship based on genre,df = df[df['Major Genre'] != 'Contemporary Fiction'],"df.groupby('Major Genre')[['Worldwide Gross', 'Production Budget']].mean()",FALSE,"{""Title"": ""object"", ""Worldwide Gross"": ""int64"", ""Production Budget"": ""int64"", ""Release Year"": ""int64"", ""Content Rating"": ""object"", ""Running Time"": ""int64"", ""Major Genre"": ""object"", ""Creative Type"": ""object"", ""Rotten Tomatoes Rating"": ""int64"", ""IMDB Rating"": ""float64""}","{""Worldwide Gross"": ""float64"", ""Production Budget"": ""float64""}"
show me imdb rating versus rotten tomatoes rating,df[df['IMDB Rating'].notnull() & df['Rotten Tomatoes Rating'].notnull()],"df[['IMDB Rating','Rotten Tomatoes Rating']]",FALSE,"{""Title"": ""object"", ""Worldwide Gross"": ""int64"", ""Production Budget"": ""int64"", ""Release Year"": ""int64"", ""Content Rating"": ""object"", ""Running Time"": ""int64"", ""Major Genre"": ""object"", ""Creative Type"": ""object"", ""Rotten Tomatoes Rating"": ""int64"", ""IMDB Rating"": ""float64""}","{""IMDB Rating"": ""float64"", ""Rotten Tomatoes Rating"": ""int64""}"
what creative type of movie had the highest production budget for each content rating,df.groupby('Content Rating')['Production Budget'].max(),"df.groupby(['Content Rating', 'Creative Type'])['Production Budget'].mean()",FALSE,"{""Content Rating"": ""object"", ""Production Budget"": ""int64""}","{""Content Rating"": ""object"", ""Creative Type"": ""object"", ""Production Budget"": ""float64""}"
what is the relationship between production budget and worldwide gross for each major genre,," df[['Production Budget', 'Worldwide Gross', ""Major Genre""]]",FALSE,data transforms is empty,"{""Production Budget"": ""int64"", ""Worldwide Gross"": ""int64"", ""Major Genre"": ""object""}"
what is the relationship between release year and average production budget,df.groupby('Release Year').mean(),df.groupby('Release Year')['Production Budget'].sum(),FALSE,Error running code,"{""Release Year"": ""int64"", ""Production Budget"": ""int64""}"
what major genre had the highest average worldwide gross,df.groupby('Major Genre')['Worldwide Gross'].mean(),avg_gross_by_genre = df.groupby('Major Genre')['Worldwide Gross'].mean(),TRUE,"{""Major Genre"": ""object"", ""Worldwide Gross"": ""float64""}","{""Major Genre"": ""object"", ""Worldwide Gross"": ""float64""}"
what major genre had the lowest average worldwide gross,df.groupby('Major Genre')['Worldwide Gross'].mean(),avg_gross_by_genre = df.groupby('Major Genre')['Worldwide Gross'].mean(),TRUE,"{""Major Genre"": ""object"", ""Worldwide Gross"": ""float64""}","{""Major Genre"": ""object"", ""Worldwide Gross"": ""float64""}"
how much did average worldwide gross vary by major genre,df.groupby('Major Genre')['Worldwide Gross'].mean(),avg_gross_by_genre = df.groupby('Major Genre')['Worldwide Gross'].mean(),TRUE,"{""Major Genre"": ""object"", ""Worldwide Gross"": ""float64""}","{""Major Genre"": ""object"", ""Worldwide Gross"": ""float64""}"
how many movies are there are of each creative type,df.groupby('Creative Type').size().to_frame('count').reset_index(), df['Creative Type'].value_counts(),TRUE,"{""Creative Type"": ""object"", ""count"": ""int64""}","{""Creative Type"": ""object"", ""count"": ""int64""}"
which creative type had the most movies,df.groupby('Creative Type').size().reset_index(name='count').sort_values('count').head(1),df['Creative Type'].value_counts(),TRUE,"{""Creative Type"": ""object"", ""count"": ""int64""}","{""Creative Type"": ""object"", ""count"": ""int64""}"
which creative type had the fewest movies,df.groupby('Creative Type').size().reset_index(name='count').sort_values('count').head(1),df['Creative Type'].value_counts(),TRUE,"{""Creative Type"": ""object"", ""count"": ""int64""}","{""Creative Type"": ""object"", ""count"": ""int64""}"
what is the total worldwide gross for each major genre across time,df.groupby(['Major Genre'])['Worldwide Gross'].sum(),"df.groupby(['Major Genre', 'Release Year'])['Worldwide Gross'].sum()",FALSE,"{""Major Genre"": ""object"", ""Worldwide Gross"": ""int64""}","{""Major Genre"": ""object"", ""Release Year"": ""int64"", ""Worldwide Gross"": ""int64""}"
is there a relationship between production budget and worldwide gross for each content rating,,"df[['Content Rating','Production Budget', 'Worldwide Gross']]",FALSE,data transforms is empty,"{""Content Rating"": ""object"", ""Production Budget"": ""int64"", ""Worldwide Gross"": ""int64""}"
what is the distribution of running times for each movie,,df['Running Time'],FALSE,data transforms is empty,"{""index"": ""int64"", ""Running Time"": ""int64""}"
is there a relationship between imdb rating and rotten tomatoes rating,,"df[['IMDB Rating','Rotten Tomatoes Rating']]",FALSE,data transforms is empty,"{""IMDB Rating"": ""float64"", ""Rotten Tomatoes Rating"": ""int64""}"
movie run time distribution,df[['Running Time']], df['Running Time'],FALSE,"{""Running Time"": ""int64""}","{""index"": ""int64"", ""Running Time"": ""int64""}"
